Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Peanut Free,Gluten Free
Apothic Red Blend,$9.99,$13.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ac57b8b-9af6-4650-8ce2-41605c6b3631.png 4x,"Apothic Red is a complex and inviting wine that offers a symphony of flavors. This rich blend boasts notes of dark berries, hints of mocha, and a touch of spice. Perfect for gathering with a group of friends at home, it pairs wonderfully with grilled meats, aged cheeses, and spiced desserts. Whether it's complementing a hearty dinner or enhancing the warmth of after-dinner conversation, let Apothic Red be your companion, making every moment vibrant and lively.,• One (1) 750 mL wine bottle of Apothic Red Wine Blend,• Blend of Merlot, Cabernet Sauvignon, Syrah and Zinfandel grapes,• Smooth, medium-bodied red wine blend with notes of dark berries, hints of mocha, and a touch of spice,• Enjoy drinking a glass of this red wine at room temperature,• Pairs perfectly with a variety of foods like tomato-based pasta dishes or cheeses,• Each 750 mL bottle contains about 6 glasses of wine with 13.5% alcohol by volume,• Produced and bottled by Apothic using California grapes","Zinfandel, Merlot, Syrah, Cabernet, Jammy Dark Red Fruit, Hints of Vanilla and Mocha.",{},Contains sulfites,,,
Barefoot Moscato White Wine,$9.29,$11.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6fde1a18-bfba-4c4a-aae1-b6525f1ba41f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0263e553-b735-488e-8c4f-887d2908c992.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_600abf62-cc82-4474-8a06-3a8ca685b73c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bc5ad2ee-9726-4b9a-8099-558ce4c50d6f.png 4x","Barefoot Moscato Sweet White Wine delivers a refreshing blend of juicy peaches and sweet apricots in a convenient 750 mL bottle. Barefoot Moscato features lush, fruity aromas and a crisp, bright finish with a tantalizing twist of lemon and citrus. Perfect for pairing with spicy Asian cuisine, artisanal cheeses or light desserts, this Barefoot Moscato is best served chilled. A screw top cap allows for easy opening and secure storage. The sweet white Moscato comes from Barefoot, the most awarded wine brand in US competitions. Let's get Barefoot.,• One 750 mL bottle of Barefoot Moscato Sweet White Wine,• Light wine with lush, fruity aromas and a crisp, bright finish,• Refreshing notes of juicy peaches and sweet apricots,• Convenient screw top bottle for easy opening and secure storage,• Enjoy this sweet wine with spicy Asian cuisine, artisanal cheeses or light desserts,• Moscato wine from California,• From Barefoot, the most awarded wine brand in US competitions,• Serve chilled","Peach, Apricot, Lemon and Orange Citrus, Sulfites.","Barefoot Moscato is perfect with spicy Asian cuisine, light desserts, fresh fruit, and mild cheeses. Tasty!,Refrigerate after opening.",Contains sulfites,,,
Barefoot Pinot Grigio,$6.99,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_343ff142-20ef-4272-ba76-cd5b2d6fdb36.png 4x,"Barefoot Pinot Grigio White Wine features tart notes of green apples and the juiciness of fresh white peaches along with the floral aroma of jasmine. Crisp and refreshing, this light bodied Pinot Grigio wine pairs perfectly with traditional dishes like pasta, poultry and pizza. Ideal for sharing at outdoor parties on warm summer days, this Barefoot wine is best served chilled. This 750 mL bottle comes with a screw cap for easy opening and secure storage. This Pinot Grigio comes from Barefoot, the most awarded wine brand in US competitions. Let's get barefoot.,• One 750 mL bottle of Barefoot Pinot Grigio White Wine,• Light bodied white wine with a refreshing finish,• Tart notes of green apples and the juiciness of fresh white peaches,• Convenient screw cap for easy opening and secure storage,• Enjoy this white wine with traditional dishes like pasta, poultry and pizza,• From Barefoot, the most awarded wine brand in US competitions,• Serve this Barefoot white wine chilled","Pinot Grigio, Green Apple Flavor, Jasmine.","Barefoot Pinot Grigio is a perfect match with poultry, seafood, spicy pasta, and pizza. Refreshing!,Refrigerate after opening.",Contains sulfites,,,
Menage A Trois Red Wine,,$11.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0eeefe14-01b7-47ce-aba3-67ac2c3f5d9f.png 4x,"Menage a Trois California Red Blend exposes the fresh, ripe, jam-like fruit that is the calling card of California wine. This red wine blend includes Zinfandel with blackberry and raspberry jam flavors on top, Merlot with a generous mouthfeel and red fruits in the middle, and Cabernet Sauvignon with rich flavors and firm tannins as the bottom layer. The resulting red wine is forward, silky and soft, making it the perfect accompaniment for grilled meats and chicken. The 2020 vintage received 90 Points from the Tasting panel in May 2023. This red blend is crafted with grapes sourced from California vineyards. To add complexity and retain character, each varietal is fermented separately, then blended together prior to bottling. This bottled wine has 13.75% alcohol by volume. As you gather around the table this holiday season, enjoy Menage a Trois wine in your favorite wine glasses with mashed potatoes, chicken, turkey, stuffing and all the pumpkin & apple pies. Or get cozy around the fireplace and warm up while enjoying a glass of wine. Menage a Trois wines is the perfect holiday gift. Whether you gift wine as a stocking stuffer, to your neighbor across the street, or serve at your own holiday table. Menage a Trois wines are a great addition to holiday wine gift sets! Menage a Trois offers a robust portfolio of award-winning wines that consistently delight with a high-quality experience.,• Red wine blend of Zinfandel, Merlot and Cabernet Sauvignon with blackberry and raspberry jam flavors,• Fresh, silky, soft dry red wine has firm tannins and a generous mouthfeel,• The 2020 vintage received 90 Points from the Tasting Panel in the May 2023 issue; try the latest release,• Pairs well with grilled meats and chicken,• Made using grapes sourced from premier California vineyards,• To add complexity and retain character, each California grape variety is fermented separately, then blended together,• One 750mL wine bottle of Menage a Trois California Red Blend Wine, 13.75% ABV","Red Wine, Sulfites.","Cosmo,2 ounces Ménage à Trois California Red,2 ounces Vodka,1 ounce Lime juice,2 ounces Triple Sec,Orange twist for Garnish,1. In a shaker, combine Ménage à Trois Red Blend, vodka, lime juice, triple sec, and ice.,2. Cover and shake vigorously for 20 secs.,3. Strain into a martini glass and garnish with an orange twist.",Contains sulfites,,,
Josh Cellars Cabernet Sauvignon,$15.99,$17.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0da91d6c-bfb0-4eda-9168-b4ada56ab5f3.png 4x,"Cabernet Sauvignon was the first wine Josh Cellars ever made. This is the red wine cabernet that started it all, setting the exacting standards that the brand holds itself to for all varietals. Round and juicy, Josh Cellars Cabernet Sauvignon is a California wine that has flavors of blackberry, toasted hazelnut and cinnamon, complemented by hints of vanilla and toasted oak. Josh Cellars works with California's best growers to source and assemble wine of great character and complexity. Pair this red wine cabernet with well-seasoned meats like beef, pork, or lamb, and indulgent chocolate desserts. The 2016 vintage of Josh Cellars Cabernet Sauvignon is rated as one of the top 5% of wines in the world by Vivino and the 2019 vintage was awarded 91 points by Wine Enthusiast. A Josh Cellars Cabernet Sauvignon bottle of wine is 750 ml and 13.5% ABV. Created by Joseph Carr and named after his father, Josh Cellars makes high-quality, well-balanced, delicious wines that are expressions of gratitude grounded in hard work, high standards and the recognition of others. Josh wine is worth sharing with those who matter.","Cabernet Sauvignon Wine, Ripe Blackberry and Cherry Flavors, Spices, Toasted Oak, Sulfites.",{},Contains sulfites,,,
André Extra Dry,$9.29,$14.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1a815df5-540e-4b28-9978-416ff36cfd2c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56e9b20d-a36e-41e7-918a-4d09c1ca68b3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3fac1fe7-09d5-4325-bd0a-2e40cb8f9f1f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0b1c9b4d-b173-4d00-90cf-1307913a7527.png 4x","Andre Extra Dry Champagne is refreshing, fruity and slightly sweet. A perfect balance, along with the fresh pear and apple flavors make this sparkling wine a crowd favorite. Celebrate a bachelorette party or bridal shower with a well-chilled bottle of this crisp bubbly. This semi sweet wine also makes an excellent mix for mimosas and cocktails. Andre California champagne brings fun and festivity to every occasion.,• One 750 mL bottle of Andre Extra Dry Champagne,• Crisp, fruity and refreshing sparkling wine,• Extra dry sparkling wine with notes of pear, apple, sweet lemon and honey,• Semi sweet wine ideal for mimosas and cocktails,• Sparkling white wine from California,• Best served chilled,• Glass bottle that is 100% recyclable,• This wine bottle is made with a significant amount of recycled glass",California Champagne Extra Dry.,Chill well before opening.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
La Marca Prosecco,$17.99,$19.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3e301e81-763b-4ba1-bd56-4110bd68230c.png 4x,"Add some sparkle to your day with La Marca Prosecco Sparkling Wine. This luxurious Prosecco wine features aromas of citrus, honey and white flowers, with fresh, clean flavors of ripe lemon, green apple and juicy peach. A hint of sweetness leads to a light and refreshing finish. Lively and versatile, La Marca Prosecco Sparkling Wine is perfect for drinking chilled on its own, in a bubbly cocktail or mimosa for brunch. This Italian wine can stand alone as an aperitif and also has the body and acidity to pair well with a range of foods, like seafood, mild cheese, rich pasta dishes and decadent desserts. You can count on La Marca Prosecco Sparkling Wine to bring joy to any occasion. Each 750 mL bottle contains about 6 glasses of sparkling wine with 11% alcohol by volume. With a zest for life and roots in effortless Italian style, La Marca’s inviting and flavorful wines have captured the hearts and flutes of all those who seek joy and believe a chilled glass of bubbles can brighten days and mark all of life’s most joyful moments.,• One (1) 750 mL bottle of La Marca Prosecco Sparkling Wine,• A lively wine that sparkles with bubbles and flavors of ripe lemon, green apple and juicy peach,• Hint of sweetness with a light and refreshing finish,• Delicious served chilled in a glass on its own, in a cocktail or paired with everything from rich pasta dishes to decadent desserts,• Each 750 mL bottle contains about 6 glasses of sparkling wine with 11% alcohol by volume,• Serve at Sunday brunch, girls night out, bridal showers or any occasion",Prosecco Sparkling Wine.,{},Contains sulfites,,,
Josh Cellars Chardonnay,$13.99,$17.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_300b16c7-4446-49f9-b378-8701583a9853.png 4x,"Josh Cellars Chardonnay is a great balance of bright citrus and honey with a touch of oak character and hints of juicy peach. Crafted with care so that no single flavor overpowers another, this white wine is simply delicious. Josh Cellars sources and assembles wines from California that have great character and complexity. Josh Cellars Chardonnay wine pairs beautifully with shrimp, steamed mussels, creamy pastas, roasted chicken, and grilled vegetables. This Josh Cellars Chardonnay bottle of wine is 750 ml and is 13.5% ABV. Created by Joseph Carr and named after his father, Josh Cellars makes high-quality, well-balanced, delicious wines that are expressions of gratitude grounded in hard work, high standards and the recognition of others. Josh wine is worth sharing with those who matter.","Chardonnay, Tropical Flavors, French Oak, Sulfites.",{},Contains sulfites,,,
Kendall-Jackson Vintners Reserve Chardonnay,$14.99,$21.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3890af30-63d6-4a07-b4a6-b4525cbf59d4.png 4x,"Kendall-Jackson Vintner’s Reserve Chardonnay White Wine is primarily sourced from California’s Monterey County, Santa Barbara County and Mendocino County and has been America’s number one selling Chardonnay for nearly 30 years. This Kendall-Jackson Chardonnay beautifully combines tropical flavors such as pineapple, mango and papaya for a divinely complex and approachable white wine. Additionally, there are notes of citrus and aromas of vanilla and honey. A hint of toasty oak round out the lingering finish. It is barrel aged in French and American oak for richness, toastiness and complexity. Pair this white wine Chardonnay with salmon, grilled chicken breast, fettucine alfredo or fish tacos for an excellent meal. The 2022 vintage of this dry white wine bottle received 90 points from Decanter in July 2023. One aspect that distinguishes a Kendall-Jackson wine is vineyard sourcing. Kendall-Jackson is committed to producing only the finest quality wines from Chardonnay grape varietals grown in California. The majority of fruit sourced for Kendall-Jackson wine is grown on the 12,000 acres of estate vineyards owned by the Jackson family. All of the estate vineyards are certified sustainable by the CCSW (Certified California Sustainable Winegrowing) program and Kendall-Jackson is a Gold Member of IWCA (International Wineries for Climate Action). The proprietary approach to winemaking has earned Kendall-Jackson a world-renowned reputation for white wines that consistently exhibit signature rich layers of flavor, combined with a delicate balance. This bottled wine has a 13.5% ABV.",Chardonnay,Drink Responsibly,Contains sulfites,,,
Barefoot Pink Moscato Wine,,$9.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_26740d96-3bc5-4df8-a849-11caac9adcdc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0fd0438e-c293-442d-add7-b16110913ec3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f1d8220b-3696-4f9c-8de6-307fb20e9aee.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b09ddc25-136b-44b8-aef3-06c177669a75.png 4x","Barefoot Pink Moscato Sweet Pink Wine delivers fruity notes of juicy cherry, tart raspberry and sweet pomegranate in a convenient 750 mL screw top bottle. This Barefoot Pink Moscato offers all the flavors of a traditional Moscato with layers of vibrant red fruit. With aromas of mandarin orange and sweet jasmine, this Barefoot Pink Moscato pairs perfectly with spicy appetizers or fresh strawberries. Barefoot Pink Moscato is best served chilled at poolside parties or beach barbecues. The screw top bottle is ideal for easy opening and secure storage. This California Pink Moscato comes from Barefoot, the most awarded wine brand in US competitions. Let's get Barefoot.,• One 750 mL bottle of Barefoot Pink Moscato Sweet Pink Wine,• Pink Moscato wine with aromas of mandarin orange and sweet jasmine,• Sweet Pink Moscato with juicy, fruity notes of cherry, raspberry and pomegranate,• Convenient screw top for easy opening and secure storage,• Enjoy this sweet wine with spicy appetizers or fresh strawberries,• Pink Moscato from California,• Best served chilled,• From Barefoot, the most awarded wine brand in US competitions","Ripe Nectarine, Raspberry, Pomegranate, Sweet Citrus, Sulfites.",Refrigerate after opening.,Contains sulfites,,,
Kim Crawford Sauvignon Blanc,$21.99,$24.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_456473f5-91c1-47a3-8fc5-5f2a43b95456.png 4x,"Kim Crawford Sauvignon Blanc White Wine is fresh and juicy with ripe, tropical flavors of passion fruit, melon, and stone fruit. Each sip of wine reveals classic Marlborough sauvignon blanc aromas of lifted citrus, tropical fruit, and crushed herbs, along with vibrant acidity and plenty of weight and length on the palate. This New Zealand sauvignon blanc is made with grapes specially selected from vineyards in Marlborough's Wairau Valley and the neighboring Awatere Valley. The climate and fast-draining soil in this region offer winemakers a selection of grapes that deliver the consistently flavorful wine for which Kim Crawford is known. Pair this Kim Crawford white wine with fresh oysters, asparagus, lobster, or a light salad. For optimal taste, refrigerate this sauvignon blanc wine for at least two hours then serve chilled. Make it Amazing with Kim Crawford wine. Please enjoy our wines responsibly. © 2025 Constellation Imports, Rutherford, CA,• One 750 mL bottle of Kim Crawford Sauvignon Blanc White Wine containing five 5-oz servings of wine,• White wine with citrus, tropical fruit, and crushed herb aromas plus flavors of passion fruit, melon, and stone fruit,• Fruity wine that pairs well with fresh oysters, asparagus, lobster, or light salads,• Juicy New Zealand wine with bright acidity and a weighted finish on the palate,• Table white wine featuring grapes from select vineyards in Marlborough's Wairau Valley and Awatere Valley",Sauvignon Blanc,{},Contains sulfites,,,
