Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free,"Imagine drizzling rich, fruity goodness onto your pancakes or waffles. Picture yourself sipping a refreshing drink bursting with flavors of juicy blackberries. With Torani Blackberry Syrup, you can make these delicious dreams a reality. Made with real sugar and natural flavors, this syrup is perfect for adding a touch of sweetness to your drinks and desserts. At only 90 calories per serving, it's an indulgent treat that won't derail your healthy eating goals. And with Instacart's same-day delivery or pickup, you can enjoy the tangy taste of ripe blackberries whenever you want them!","Indulge in the sweet, tropical taste of fresh passion fruit with Torani Passion Fruit Syrup. This golden syrup delivers a distinct, ripe flavor without being too strong or tart. Made with natural ingredients like pure cane sugar and cold-filtered water, this syrup is perfect for adding a fruity twist to your iced teas, lemonades, cocktails, and more. Torani's expertly crafted syrups have been a go-to for mixologists since 1925 and are now available for Instacart same-day delivery or pickup. Elevate your beverage game with the lush taste of fresh passion fruit—your taste buds will thank you!","Satisfy your craving for tart and fruity with Torani Pomegranate Syrup. This intense red syrup packs a punch of pomegranate flavor that is never too sweet. Thanks to its gluten- and fat-free formulation, Torani Pomegranate Syrup makes a great addition to drinks, desserts, and more without adding extra calories. Impress your guests with a pomegranate soda or add this syrup to your favorite cocktail for an elevated drink experience. Made with natural flavors and pure cane sugar, this kosher-certified syrup is a must-have for any food lover's pantry. Get Torani Pomegranate Syrup today through Instacart's same-day delivery or pickup!",Egg Free,"Savor the taste of freshly toasted marshmallows in your drink with Torani Toasted Marshmallow Syrup! Made with natural flavors, pure cane sugar, and cold-filtered water, this syrup delivers an authentic and not-too-sweet taste to your favorite drinks. Perfect for hot or iced coffee-based beverages, espresso drinks, dessert cocktails, and shakes, this syrup pairs well with chocolate and caramel flavors. Torani Original Syrups provide gold-standard flavors without curdling in milk. Founded in 1925 in San Francisco, Torani has a portfolio of over 150 syrups used globally. Instacart offers same-day delivery or pickup—indulge today!","Make your coffee a masterpiece with Torani Tiramisu Syrup, perfect for Instacart same-day delivery or pickup. This non-alcoholic and caffeine-free syrup evokes the flavors of the celebrated Italian dessert, with rich mascarpone, coffee-soaked ladyfingers, and Marsala wine. Made with natural ingredients like pure cane sugar and citric acid, it's also suitable for vegans, vegetarians, and those who keep kosher. You'll love how this syrup adds a touch of decadence to your drinks without any added fats or gluten. Try it in your latte or mocha and experience the delicious taste of tiramisu in every sip.","Craving the taste of raw cookie dough? Look no further than Torani Chocolate Chip Cookie Dough Syrup, now available on Instacart for same-day delivery or pickup. This syrup packs bakery notes and rich butter flavor into every drop, with just a touch of salt to balance the sweetness. And the best part? It's fat-free, gluten-free, and kosher, so everyone can enjoy it guilt-free. With only 90 calories per serving and 22 grams of sugar, you can add this syrup to your mocha or any drink for a delicious treat. Don't wait—indulge in the taste of cookie dough without the raw eggs!","Satisfy your coffee cravings with Bosco Coffee Flavored Syrup, now available on Instacart for same-day delivery or pickup. This 22 oz bottle of goodness is made with high fructose corn syrup, water, natural coffee flavor, potassium sorbate, sodium benzoate, salt, sodium bisulfate, and caramel color. The fat-free and gluten-free syrup is also kosher and vegetarian-friendly. Each serving of 20 g contains only 50 calories and no cholesterol or fat. With a delicious taste of coffee in every pour, you can elevate your morning pancakes or french toast to the next level. Try Bosco Coffee Flavored Syrup today on Instacart!","Savor the sweet taste of summer with Torani Peach Puree Blend, perfect for smoothie lovers. Made from real peaches, this puree blend packs a punch of natural fruity flavor without any artificial sweeteners. Each serving contains only 70 calories, making it an excellent option for those who want to indulge in a delicious beverage without the guilt. This product is conveniently available on Instacart for same-day delivery or pickup at your local store, making it easier than ever to enjoy a refreshing smoothie whenever you want. Simply blend with your favorite ingredients and you'll be transported to a sunny day no matter where you are!"
Torani Vanilla Syrup,,$8.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_852879f0-d610-49fb-9b32-969cf0070797.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bede912a-85c8-4fa4-b684-da28726f6a98.png 4x",Gluten Free,,Torani Vanilla Syrup has the authentic coffeehouse flavor you are craving. Made with quality ingredients like cane sugar (no high fructose corn syrup ever!) and natural flavors and colors. The perfect addition to your morning coffee or cold brew.,"Pure Cane Sugar, Water, Natural Flavors, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Citric Acid.","Add a splash of flavor. Clean, crisp vanilla flavor with none of the calories. Add to hot milk, lattes, hot chocolate, shakes and more.",Provided by retailers,,,,,,,,,,
Torani Sugar Free Vanilla Syrup,,$8.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_86e9d4e9-10f4-4b58-b4fa-0db3df3f6bef.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1920c5e8-946b-412c-ae97-3b378cd9b442.png 4x",Gluten Free,,"Get all that pure vanilla taste, complete with the crisp, pure vanilla flavor you crave, without any sugar. Bring the crisp, clean flavors of vanilla to your drinks without the calories with Torani Sugar Free Vanilla Syrup. This sugar-free coffee syrup is sweetened with sucralose, so you can enjoy custom drinks, guilt-free. This Torani coffee flavoring syrup lets you create your favorite vanilla specialty coffee drink in the comfort of your own kitchen. Perfect for beverages, Torani Sugar-Free Vanilla flavoring syrup is tasty added to coffee, cocoa, mixed drinks, frappes, smoothies, great as a dessert topping, and even as the secret ingredient in home-baked treats. Torani Sugar Free Syrups have zero sugar so you can enjoy flavor without the calories. Satisfy your taste for inspiration: explore, create, and delight your senses with Torani flavors. Combine our wide selection of skinny syrups to create unique custom calorie-free flavors. With zero sugar and zero carbs, use Torani Sugar Free Flavored Syrups for coffee to add delicious flavor without the calories to coffee drinks, espresso, cappuccino, tea, latte, cold brew, frappe and more. This vanilla syrup pairs especially well with flavors like chocolate, caramel. and hazelnut. The possibilities are endless! In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. By 1933 and the end of Prohibition, Ezilda was one of the first female rectifiers of distilled spirits in the US. She led Torani through the Great Depression and WWII. In 1982 our Vanilla syrup was used in the first flavored latte. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. Our purpose is “Flavor for all, Opportunity for all.” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Enjoy the pure taste of vanilla in this premium sugar-free coffee syrup. This syrup captures the crisp, pure flavors of vanilla without the calories. Crafted with natural flavors and sweetened with Splenda. Zero sugar, zero calories, and carbs, perfect for your keto or low-carb diet. Use for a low-calorie hot or iced coffee, espresso, cappuccino, tea, latte, cold brew, frappe, and more. Torani Sugar Free Syrup delivers all of the flavor and vibrant colors with none of the calories. Proudly created and produced in San Francisco, California USA.","Purified Water, Vanilla Extract With Other Natural Flavors, Potassium Sorbate And Sodium Benzoate (to Preserve Freshness), Citric Acid, Xanthan Gum, Sucralose, And Acesulfame Potassium.","Add a splash of flavor. Clean, crisp vanilla flavor with none of the calories. Add to hot milk, lattes, hot chocolate, shakes and more.",Provided by retailers,,,,,,,,,,
Torani Sugar Free Classic Caramel Syrup,,$7.59,,,,"Caramel, without the calories. We like the sound of that. And you'll like the taste. Bring the rich, buttery flavor of caramel to your drinks without the calories with Torani Sugar Free Caramel Syrup. This sugar-free coffee syrup is sweetened with sucralose, so you can enjoy custom drinks, guilt-free. This Torani coffee flavoring syrup lets you create your favorite caramel specialty coffee drinks in the comfort of your own kitchen. Perfect for beverages, Torani Sugar-Free Caramel syrup is tasty added to coffee, cocoa, mixed drinks, frappes, smoothies, great as a dessert topping, and even as the secret ingredient in home-baked treats. Torani Sugar Free Syrups have zero sugar so you can enjoy flavor without the calories. Satisfy your taste for inspiration: explore, create, and delight your senses with Torani flavors. Combine our wide selection of skinny syrups to create unique custom calorie-free flavors. With zero sugar and zero carbs, use Torani Sugar Free Syrups to add delicious flavor without the calories to coffee, espresso, cappuccino, tea, latte, cold brew, frappe and more. This sugar free carmel syrup pairs especially well with chocolate. The possibilities are endless! In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. By 1933 and the end of Prohibition, Ezilda was one of the first female rectifiers of distilled spirits in the US. She led Torani through the Great Depression and WWII. In 1982 our Vanilla syrup was used in the first flavored latte. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. Our purpose is “Flavor for all, Opportunity for all.” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Enjoy the rich taste of decadent caramel in this premium sugar-free coffee syrup. This indulgent syrup captures the buttery flavor of caramel without the calories. Crafted with natural flavors and sweetened with Splenda. Zero sugar, zero calories, and carbs, perfect for your keto or low-carb diet. Use for a low-calorie hot or iced coffee, espresso, cappuccino, tea, latte, cold brew, frappe, and more. Torani Sugar Free Syrup delivers all of the flavor and vibrant colors with none of the calories. Proudly created and produced in San Francisco, California USA.","Purified Water, Citric Acid, Acesulfame Potassium, Natural Flavors, Sodium Benzoate And Potassium Sorbate (to Preserve Freshness), Xanthan Gum, Sucralose, Caramel Color.","Flavored Brewed Coffee: 1 cup coffee; splash of Torani Syrup; milk or cream, to taste. Quick & Easy Tip: Make your own flavored creamer by mixing 1/4 cup Torani & 1 pint half & half.",Provided by retailers,,,,,,,,,,
Torani Salted Caramel Syrup,,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4cc51a0-367c-4d6d-95eb-675d4b5bfe7b.png 4x,Gluten Free,,"Rich buttery caramel kicks things off. And just when you thought that was it, a touch of saltiness appears, and the ride continues. Hop on and enjoy. Bring the exciting flavor of salted caramel to your drinks with this Torani Salted Caramel Coffee Syrup. This flavor syrup will authentically enhance the taste of your drinks without being too strong or too sweet. This Torani coffee flavoring syrup simply delivers rich buttery caramel flavor with a pinch of salt into your favorite drinks and desserts. Bring creamy caramel flavor with a hint of salt to any drink. You can use this flavor for hot and iced coffee- and espresso-based beverages, as well as dessert cocktails and shakes. Made with pure cane sugar, natural flavors and cold-filtered water, Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Satisfy your taste for inspiration: explore, create, and delight your senses with Torani flavors. Combine our wide selection of syrups to create unique custom flavors: This syrup is specially formulated to resist curdling in milk, so it's perfect for specialty coffee drinks like espresso-based drinks, coffee, or tea. This salted caramel syrup pairs well with flavors like brown sugar cinnamon, pumpkin, and maple. The possibilities are endless! In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. By 1933 and the end of Prohibition, Ezilda was one of the first female rectifiers of distilled spirits in the US. She led Torani through the Great Depression and WWII. In 1982 our Vanilla syrup was used in the first flavored latte. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. Our purpose is “Flavor for all, Opportunity for all.” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Enjoy the taste of rich, buttery caramel in this premium flavored syrup. Bold and aromatic, this syrup perfectly captures the flavor of salted caramel. Made with natural flavors, pure cane sugar, and cold filtered water. The warm brown hue captures the essence of salted caramel,Use in hot and iced coffee- and espresso-based beverages as well as dessert cocktails, shakes, and more. Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Proudly created and produced in San Francisco, California USA","Pure Cane Sugar, Water, Natural Flavors, Salt, Citric Acid, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Caramel Color.","Flavored Brewed Coffee: 1 cup coffee; splash of Torani; milk or cream to taste. Quick & Easy Tip: Make your own flavored creamer by mixing 1/4 cup Torani & 1 pint half & half.,Add to hot milk, macchiatos, hot chocolate, ciders & more.",Provided by retailers,,,,,,,,,,
Torani Sugar Free Classic Hazelnut Syrup,,$8.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_470828e0-7d0c-4ea1-85c9-c0accc14f6a5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ab380309-8ee2-46a5-b3cb-b035b264d0dd.png 4x",Gluten Free,,"Big on the hazelnut, but not heavy at all. In fact, there's no sugar. Zip. Zilch. Nada. Looks like an Italian favorite just became an even bigger fave. Bring the buttery, nutty flavor of freshly roasted hazelnut to your drinks without the calories with Torani Sugar Free Hazelnut Syrup. This sugar-free coffee syrup is sweetened with sucralose, so you can enjoy custom drinks, guilt-free. This Torani coffee flavoring syrup lets you create your favorite hazelnut specialty coffee drink in the comfort of your own kitchen. Perfect for beverages, Torani Hazelnut Syrup Sugar Free is tasty added to coffee, cocoa, mixed drinks, frappes, smoothies, great as a dessert topping, and even as the secret ingredient in home-baked treats. Torani Sugar Free Syrups have zero sugar so you can enjoy flavor without the calories. Satisfy your taste for inspiration: explore, create, and delight your senses with Torani flavors. Combine our wide selection of skinny syrups to create unique custom calorie-free flavors. With zero sugar and zero carbs, use Torani Sugar Free Syrups to add delicious flavor without the calories to coffee, espresso, cappuccino, tea, latte, cold brew, frappe and more. The possibilities are endless! In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. By 1933 and the end of Prohibition, Ezilda was one of the first female rectifiers of distilled spirits in the US. She led Torani through the Great Depression and WWII. In 1982 our Vanilla syrup was used in the first flavored latte. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. Our purpose is “Flavor for all, Opportunity for all.” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Enjoy the classic taste of hazelnut in this premium sugar-free coffee syrup. This indulgent syrup captures the buttery flavor of hazelnut without the calories. Crafted with natural flavors and sweetened with Splenda. Zero sugar, zero calories, and carbs, perfect for your keto or low-carb diet. Use for a low-calorie hot or iced coffee, espresso, cappuccino, tea, latte, cold brew, frappe, and more. Torani Sugar Free Syrup delivers all of the flavor and vibrant colors with none of the calories. Proudly created and produced in San Francisco, California USA.","Purified Water, Natural Flavors And Artificial Flavors, Citric Acid, Acesulfame Potassium, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Xanthan Gum, Sucralose, Caramel Color.",Quick & Easy Tip: Make your own flavored creamer by mixing 1/4 cup of Torani & 1 pint half & half.,Provided by retailers,,,,,,,,,,
Nestlé NESQUIK Strawberry Flavored Syrup,,$6.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dd5165ee-03ab-4fe8-b463-b0d8e2b94ff3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_881bc80d-a869-4ce5-baa7-db777a8261f0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0faacf56-efa7-4a25-9705-26611cdfa166.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f82eb20f-6b45-4abb-86cb-36c326fe686f.jpg 4x",,,"Nesquik Strawberry Flavored Syrup Offers Delicious Taste That Is Perfect For Adding To Milk, Ice Cream, Or Other Desserts. Add Two Teaspoons Of This Nesquik Strawberry Syrup To Eight Ounces Of Milk For A Tasty, Easy-To-Make Strawberry Milk, Or Add A Tablespoon To A Bowl Of Ice Cream For A Delicious Dessert The Whole Family Will Love. For Your Convenience, Nesquik Strawberry Syrup For Milk Comes In A Resealable Bottle. Inspiring Smiles For Over 70 Years, Nesquik Offers Delicious Flavors And Nourishing Ingredients, Including Nutritional Drinks, Powder Drink Mixes, And Syrups.,• One 22 oz bottle Nesquik Strawberry Flavored Syrup,• Nesquik Strawberry Syrup drink mix offers delicious taste that is perfect for adding to milk,• Add Nesquik syrup to ice cream or other desserts for a sweet treat that your entire family will love,• Add two teaspoons of this Nesquik strawberry syrup to eight ounces of milk for a tasty strawberry drink,• For your convenience, Nesquik strawberry syrup comes in a resealable bottle","Sugar, Water, High Fructose Corn Syrup, Less Than 2% Of Malic Acid, Propylene Glycol Alginate, Artificial Flavor, Potassium Sorbate (preservative), Xanthan Gum, Red 40, Salt, Blue 1","1. Add 2 tsp Nesquik to 1 cup cold or hot milk. 2. Stir and enjoy! 3. Once opened, store in pantry. Do not refrigerate.",,,,,,,,,,,
Torani Sugar Free French Vanilla Syrup,,$7.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56216309-aa38-46c8-a7f6-e155ecbd4b94.png 4x,Gluten Free,,"All the swoon worthy goodness of vanilla’s chic cousin, with no sugar. Bring the rich, decadent flavor of French vanilla to your drinks without the calories with Torani Sugar Free French Vanilla Syrup. This sugar-free coffee syrup is sweetened with sucralose, so you can enjoy custom drinks, guilt-free. This Torani coffee flavoring syrup lets you create your favorite French vanilla specialty coffee drink in the comfort of your own kitchen. Perfect for beverages, Torani Sugar-Free French Vanilla syrup is tasty added to coffee, cocoa, mixed drinks, frappes, smoothies, great as a dessert topping, and even as the secret ingredient in home-baked treats. Torani Sugar Free Syrups have zero sugar so you can enjoy flavor without the calories. Satisfy your taste for inspiration: explore, create, and delight your senses with Torani flavors. Combine our wide selection of skinny syrups to create unique custom calorie-free flavors. With zero sugar and zero carbs, use Torani Sugar Free Syrups to add delicious flavor without the calories to coffee, espresso, cappuccino, tea, latte, cold brew, frappe and more. The possibilities are endless! In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. By 1933 and the end of Prohibition, Ezilda was one of the first female rectifiers of distilled spirits in the US. She led Torani through the Great Depression and WWII. In 1982 our Vanilla syrup was used in the first flavored latte. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle.,Our purpose is “Flavor for all, Opportunity for all.” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Enjoy the rich taste of decadent French Vanilla in this premium sugar-free coffee syrup. This indulgent syrup captures the swoon worthy flavor of French Vanilla without the calories. Crafted with natural flavors and sweetened with Splenda. Zero sugar, zero calories, and carbs, perfect for your keto or low-carb diet. Use for a low-calorie hot or iced coffee, espresso, cappuccino, tea, latte, cold brew, frappe, and more. Torani Sugar Free Syrup delivers all of the flavor and vibrant colors with none of the calories. Proudly created and produced in San Francisco, California USA.","Purified Water, Natural Flavors, Sodium Benzoate And Potassium Sorbate (to Preserve Freshness), Xanthan Gum, Sucralose, Citric Acid, And Acesulfame Potassium.",Quick & Easy Tip: Make your own flavored creamer by mixing 1/4 cup Torani & 1 pint half & half.,Provided by retailers,,,,,,,,,,
Torani Classic Caramel Syrup,,$8.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_530b2497-4502-425b-9197-359625e3199a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_11b51057-082e-4427-ac63-07aa5f4461a3.png 4x",,,"Caramel gets bold. Take the buttery rich flavor you enjoy and add a dark caramelized taste for some flavor excitement. Tack on a subtle fruity finish and you're going back for seconds on that latte… maybe even thirds. Perfect for beverages! Torani syrup is also tasty added to coffee, cocoa, mochas, protein drinks, mixed drinks, frappes, smoothies and even as the secret ingredient in home-baked treats. Torani Original Syrups provide gold-standard flavors and vibrant colors to create amazing drink experiences. Torani Flavored Syrups are made with pure cane sugar, natural flavors, and cold-filtered water. In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. The first flavors are Anisette, Grenadine, Lemon, Orgeat, and Tamarindo. By 1933 and the end of Prohibition, Ezilda is one of the first female rectifiers of distilled spirits in the US. She leads Torani through the Great Depression and WWII. In 1982 our Vanilla helps create some magic and is used in the first flavored latte. After seeing its success, we begin to focus on the specialty coffee industry. Our “mmm” factor. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. That’s a lot of flavor—how do we do it? Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. It’s not magic, but it gives you the power to create some pretty magical drinks.,For the love of flavor. Our purpose is “Flavor for all, Opportunity for all.®” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Liven up a coffee, add pizzazz to a soda, or put more oomph in your iced tea. There’s no wrong way to go about it. We have flavors for every moment, so you can flavor your way, no matter where life takes you. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Key Features: Rich, creamy buttery caramel flavor. Made with natural flavors and cold filtered water. Made with pure cane sugar. Can replace regular sweeteners in coffee, cocoa, protein drinks, smoothies, and mixed drinks.","Pure Cane Sugar, Water, Natural Flavors, Citric Acid, Sodium Benzoate, Potassium Sorbate (to Preserve Freshness).","Flavored Brewed Coffee: 1 cup coffee; splash of torani; milk or cream, to taste.",Provided by retailers,,,,,,,,,,
Torani Sugar Free Salted Caramel Syrup,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_376b5093-31dd-4a26-bc86-72de32fb1e50.png 4x,,,"First comes the sweet and then comes the salty. Then you find out that this syrup has zero calories. Rich, buttery caramel kicks things off. And just when you thought that was it, a touch of saltiness appears – and the ride continues. Hop on and enjoy the sugar-free adventure. Flavor for all. Opportunity for all.","Purified Water, Natural Flavors, Salt, Acesulfame Potassium, Sodium Benzoate (to Preserve Freshness), Potassium Sorbate (to Preserve Freshness), Xanthan Gum, Citric Acid, Sucralose, Caramel Color.",Quick & Easy Tip: Make your own flavored creamer by mixing 1/4 cup Torani & 1 pint half & half.,Provided by retailers,,,,,,,,,,
"Simply Squeeze Infused Syrup, Strawberry, Puree",,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fd284baf-994c-4799-837c-37b07570c4b2.png 4x,,,"Certified vegan. vegan.org. Strawberry Real's starring ingredient is handpicked, sun-ripened California strawberries. We carefully select only Albion, Ventana and Camorosa strawberries for their unique sweet, light and refreshing flavor. Use this syrup to add a classic summer berry touch to your lemonades, teas, margaritas and more! www.realingredients.com. ABM Cocktail Pro: Download the new ABM Cocktail Pro App for more recipes and information. Visit www.realingredients.com for great recipes!","Sugar, Strawberry Puree, Natural Flavor, Water, Citric Acid, Sodium Benzoate (to Preserve Freshness), Fd&c Red #40","Shake well.,Use this syrup to add a classic summer berry touch to your lemonades, teas, margaritas and more!,Store container cap-side up after opening. For optimal freshness - refrigerate after opening.",,,,,,,,,,,
