Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free
Health-Ade Pink Lady Apple Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f245604e-87b1-4152-b8c7-ef713c7f1ce3.png 4x,Gluten Free,,"Health-Ade Kombucha combines thirst-quenching, real fruit juice with the living probiotics and organic acids of fermented tea to support a happy gut and a healthier you.,Health-Ade Kombucha is an easy addition to your everyday routine. You can sip on it just like you would a soda or your favorite alcoholic beverage!,• Living probiotics and gut healthy acids to promote feeling good from the inside out,• No artificial sweeteners, colors, or flavors,• Natural antioxidants from tea,• Blended with real fruit juice for delicious, refreshing flavor","Organic Kombucha*, Cold-pressed Apple Juice*, Live Active Cultures (bacillus Coagulans Mtcc 5856) *organic Kombucha: Filtered Water, Acids From Fermentation (acetic+, Lactic, Gluconic, Tartaric), Cane Sugar+, Live Kombucha Cultures, Black Tea+, Green Tea+, Carbonation",Best enjoyed refrigerated.,"FYI - If you are pregnant or breast feeding, please consult with your doctor before consuming. Due to natural fermentation, this product may contain a trace amount of alcohol and small pieces of culture. Kombucha should not be consumed if left unrefrigerated for an extended period of time.",
Gt's Living Foods Organic Synergy Trilogy Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e0d7c2dc-6e81-48c4-9643-55f5be8680d7.png 4x,Gluten Free,,"Living goods. Aminos + polyphenols. Enzymes + probiotics. Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. Enlightened: For everyone, everywhere. Mission in a Bottle: In 1995 I started making organic raw Kombucha based on the belief that it could touch people's lives. For me Kombucha represented everything that food should be: reset unadulterated & crafted by nature. Today that belief is stronger than ever. That's why I am honored and humbled to be able to share this gift with you - GT Dave, Founder. Words of Enlightenment: Life is a journey of decisions. Choosing peace, love and forgiveness will make a difference on a daily basis - Kevin Cole, Attorney, Spartan & Dad Lansing, MI. Rejoice! This is a raw food. We believe good things come from small beginnings. That's why we make our Kombucha in the same small batches I used from the start, in my mother's kitchen batches are small enough to hug. Which we do, because love is our No.1 ingredient. Living food for the living body. Please recycle.,• Gluten Free,• Kosher,• Organic,• Vegan","Gt's Kombucha* (kombucha Culture*, Black Tea *, Green Tea "", Kiwi Juice*), Raspberry Juice*, Lemon Juice*, Fresh Pressed Ginger Juice*, And 100% Pure Love!!!","Do not shake. Swirl gently. Store upright.,Perishable keep refrigerated. May leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Gt's Living Foods Organic Gingerade Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_954ec81c-9dac-4773-9311-3e18598d1d91.png 4x,Gluten Free,,"Aminos + polyphenols. Enzymes + probiotics. Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. 9 billion living probiotics (Per bottle at time of bottling: Probiotics bacillus coagulans GBI-306086: 1 billion organisms, S. Boulardii: 4 billion organisms, Lactobacillus Bacterium: 4 billion organisms, L(+) Lactic Acid: 100 mg, Acetic Acid: 75 mg, Glucuronic Acid: 1400 mg, Gluconic Acid: 650 mg). Living food for the living body. The most powerful kombucha you can buy. That is the standard I set when I bottled my first batch of Kombucha in 1995. To this day, every small batch is traditionally cultivated in 5-gallon glass vessels for 30 days - the longest ferment of any brand - using heirloom living cultures to naturally develop the most nutrients possible. I promise to always craft with pure love and true intentions, to nourish your body and nurture your health. - GT Dave, Founder. Words of Enlightenment: In this moment, you are connected to everything and everyone around you. There is no better moment than now. - Connor Wallace, Mechanical Engineer Tampa, FL. Raw is Real: If Kombucha is not raw, then it's not the real deal. When heated (pasteurized), filtered, or made from concentrate, Kombucha's innate nutritional goodness is compromised and weakened. But don't just take our word for it; you can see the authenticity in every one of our bottles. They're always refrigerated, have visible culture strands, and offer a bright, tangy bite. Naturally effervescent.,• USDA Organic. Certified Organic by Organic Certifiers, Inc.,• Kosher,• Gluten Free,• Vegan","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Fresh Pressed Ginger Juice*and 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently.,Perishable keep refrigerated. May leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Health-Ade Organic Passion Fruit Tangerine Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ae7271ec-8ce5-4a37-94a8-db5bbb906a1e.png 4x,Gluten Free,,"Health-Ade Kombucha combines thirst-quenching, real fruit juice with the living probiotics and organic acids of fermented tea to support a happy gut and a healthier you.,Health-Ade Kombucha is an easy addition to your everyday routine. You can sip on it just like you would a soda or your favorite alcoholic beverage!,• Living probiotics and gut healthy acids to promote feeling good from the inside out,• No artificial sweeteners, colors, or flavors,• Natural antioxidants from tea,• Blended with real fruit juice for delicious, refreshing flavor","Organic Kombucha*, Cold-pressed Passion Fruit Juice*, Cold-pressed Tangerine Juice†, Cold-pressed Orange Juice†, Live Active Cultures (bacillus Coagulans Mtcc 5856), *organic Kombucha: Filtered Water Acids From Fermentation (acetic†, Lactic, Gluconic, Tartaric), Cane Sugar†, Live Kombucha Cultures, Black Tea†, Green Tea†, Carbonation †certified Organic",Best enjoyed refrigerated.,,
Gt's Living Foods Organic Synergy Guava Goddess Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c1fa114-041a-4a66-8ba6-9a67631797c6.png 4x,Gluten Free,,"9 billion living probiotics. Aminos + polyphenols. Enzymes + probiotics. Renew, rebalance, rebuild, reclaim, rekindle, recharge. Living food for the living body. The most powerful Kombucha you can buy. That is the standard I set when I bottled my first batch of Kombucha in 1995. To this day, every small batch is traditionally cultivated in 5-gallon glass vessels for 30 days - the longest ferment of any brand - using heirloom living cultures to naturally develop the most nutrients possible. I promise to always craft with pure love and true intentions, to nourish your body and nurture your health - GT Dave, Founder. Raw is real. Words of enlightenment - be good to mother earth and, in turn, she will be good to you - Derrick Credito (English professor & environmental aficionado Colombia, MD). If Kombucha is not raw, then it's not the real deal. When heated (pasteurized), filtered, or made from concentrate, Kombucha's innate nutritional goodness is compromised and weakened. But don't just take our word for it; you can see the authenticity in every one of our bottles. They're always refrigerated, have visible culture strands, and offer a bright, tangy bite.","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Guava Puree*, And 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently. Store upright.,Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","If you are pregnant or breast feeding, please consult with your healthcare professional before consuming our products. Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Health-Ade Ginger Lemon Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e242f664-6868-4aa4-848f-e99c303268b3.png 4x,Gluten Free,,"Health-Ade Kombucha combines thirst-quenching, real fruit juice with the living probiotics and organic acids of fermented tea to support a happy gut and a healthier you.,Health-Ade Kombucha is an easy addition to your everyday routine. You can sip on it just like you would a soda or your favorite alcoholic beverage!,• Living probiotics and gut healthy acids to promote feeling good from the inside out,• No artificial sweeteners, colors, or flavors,• Natural antioxidants from tea,• Blended with real fruit juice for delicious, refreshing flavor","Filtered Water, Kombucha Culture (yeast And Bacteria Cultures), Organic Black Tea, Organic Green Tea, Organic Evaporated Cane Juice (sugar), Cold-pressed Organic Ginger Juice, Cold-pressed Organic Lemon Juice.",Do not over-shake.,"FYI - If you are pregnant or breast feeding, please consult with your doctor before consuming. Due to natural fermentation, this product may contain a trace amount of alcohol and small pieces of culture. Kombucha should not be consumed if left unrefrigerated for an extended period of time.",
Gt's Living Foods Organic Synergy Gingerberry Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_08631c4d-1f32-4378-b6a1-decf72e3e3e4.png 4x,Gluten Free,,"Per Bottle at Time of Bottling: Probiotics Bacillus Coagulans GBI-306086: 1 billion organisms, S. Boulardii; 4 billion organisms, lactobacillus bacterium; 4 billion organisms, L(+) lactic acid: 100 mg, acetic acid: 75 mg, glucuronic acid: 1400 mg, gluconic acid: 650 mg. Organic & unpasteurized. USDA Organic. Certified Organic by Organic Certifiers, Inc. Gluten-free. Vegan. Non GMO Project verified. nongmoproject.org. Amino + polyphenols. Enzymes + probiotics. Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. Living food for the living body. 25 years young. In 1995, I began bottling Kombucha as a teenager in my parents kitchen after witnessing my mother consume it religiously during her battle with breast cancer. Her experience inspired my purpose: to introduce this sacred brew to the US in its purest, most potent form for all those seeking better health. Over two decades later, my mission remains stronger than ever to offer the best Kombucha you can find. - GT Dave, Founder. Celebrating 25 years of authentic kombucha. History of gingerberry. Born: 2008. Furthering his love for ginger, GT began blending it with blueberries to craft an offering with two key flavor notes: fruity & spicy. What is kombucha? Once known as the tea of immortality, kombucha is a fermented drink with origins dating back to 221 B.C. This ancient elixir is traditionally crafted with a sweetened tea base and a live kombucha culture (Scoby). During fermentation, the Scoby transforms the tea into a bright, tangy, and naturally effervescent beverage with billions of living probiotics to support digestive and immune health. Naturally effervescent. May leak or gush if unrefrigerated. gtslivingfoods.com. How has GT's Kombucha changed your life? Tell us your story at 25th(at)drinkgts.com. Please recycle.","Gt's Kombucha*, (kombucha Culture*, Black Tea* Green Tea*, Kiwi Juice *, Blueberry Juice*, Fresh Pressed Ginger Juice*, And 100% Pure Love!!!","Do not shake. Swirl gently.,Store upright. Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","If you are pregnant or breastfeeding, please consult with your healthcare professional before consuming our products. Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Gt's Living Foods Organic Trilogy Kombucha,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_45b5b5ea-446a-4b11-a55e-0a0fdd443f0d.png 4x,Gluten Free,,"Aminos + polyphenols. Enzymes + probiotics. Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. 9 billion living probiotics (Per 16oz, at time of bottling: Probiotics Bacillus Coagulans GBI-306086: 1 billion organisms, S. Boulardii: 4 billion organisms, Lactobacillus Bacterium: 4 billion organisms, L(+) Lactic Acid: 100mg, Acetic Acid: 75mg, Glucuronic Acid: 1400mg, Gluconic Acid: 650mg). Living food for the living body. The most powerful kombucha you can by. That is the standard I set when I bottled my first batch of Kombucha in 1995. To this day, every small batch is traditionally cultivated in 5-galloon glass vessels for 30 days - the longest ferment of any brand - using heirloom living cultures to naturally develop the most nutrients possible. I promise to always craft with pure love and true intentions, to nourish your body and nurture your health. - GT Dave, Founder. Words of enlightenment. Gently on sheets of light, our own books we write, grace is the pen, and the word is life. - Dirk James Mulder Buddha Williams, OR. Raw is Real: If Kombucha is not raw, then it's not the real deal. When heated (pasteurized), filtered, or made from concentrate, Kombucha's innate nutritional goodness is compromised and weakened. But don't just take our word for it; you can see the authenticity in every one of our bottles. They're always refrigerated, have visible culture strands, and offer a bright, tangy bite. Please recycle.","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Raspberry Juice*, Lemon Juice*, Fresh Pressed Ginger Juice* And 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently.,Store upright. Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Health-Ade Pomegranate Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_47b51e8a-3584-49e5-bec1-81c5a19b54a8.png 4x,Gluten Free,,"Health-Ade Kombucha combines thirst-quenching, real fruit juice with the living probiotics and organic acids of fermented tea to support a happy gut and a healthier you.,Health-Ade Kombucha is an easy addition to your everyday routine. You can sip on it just like you would a soda or your favorite alcoholic beverage!,• Living probiotics and gut healthy acids to promote feeling good from the inside out,• No artificial sweeteners, colors, or flavors,• Natural antioxidants from tea,• Blended with real fruit juice for delicious, refreshing flavor","Organic Kombucha*, Pomegranate Juice*, Pomegranate Essence*, Live Active Cultures (bacillus Coagulans Mtcc 5858), *organic Kombucha: Filtered Water, Acids From Fermentation (acetic*, Lactic, Gluconic, Tartaric), Cane Sugar*, Live Kombucha Cultures, Black Tea*, Green Tea*, Carbonation, *certified Organic",Best enjoyed refrigerated.,Do not shake,
KeVita Pineapple Peach Kombucha,,$4.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8cd0c0f0-8c90-4b72-a157-642dada30777.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_693de83d-5785-4846-8a92-5df50d9b01c3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_866f6f0f-a548-4ee0-b922-cee8d644cfde.png 4x",Gluten Free,,"Two all-time favorites come together in an energizing, sparkly, sassy and pleasingly sweet kombucha. KeVita Master Brew Kombucha is energizing with a bold brewed tea taste. Fermented with our proprietary kombucha tea culture, our Master Brew Kombucha has billions of live probiotics, active cultures, and is verified non-alcoholic.","Sparkling Water, Kombucha Culture (filtered Water, Black Tea*, Green Tea*, Natural Flavor*)*, Filtered Water, Cane Sugar*, Bacillus Coagulans Mtcc 5856, Ginger Extract*, Pineapple Flavor*, Peach Flavor*, Black Tea*, Black Tea Essence*, Caffeine (green Coffee Bean Extract)*, Green Tea*, Purified Stevia Leaf Extract*, *certified Organic Ingredient",Perishable. Keep refrigerated.,,
