Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,"Quench your thirst with Fit & Active Grape Flavor Liquid Water Enhancer, a delicious way to add flavor to your water. With zero calories and less than 1 carb per serving, this liquid enhancer is perfect for those watching their intake. Made with natural flavors and without sugar or gluten, it's a healthier alternative to sugary drinks. The kosher ingredients include citric acid and potassium sorbate (preservative). Each bottle contains 24 servings, making it convenient for on-the-go hydration. Order now on Instacart for same-day delivery or pickup and enjoy a refreshing glass of grape-flavored water anytime, anywhere.","Quench your thirst and stay energized with Cirkul Gosip Grape Flavor Energy Cartridge, the perfect drink for those on-the-go. This convenient tumbler lets you enjoy a refreshing and delicious grape-flavored drink with added caffeine, taurine, and vitamins B3 and B12. With no sugar, fat, or carbs, it's a guilt-free way to stay hydrated all day long. Made with filtered water, natural flavors, and other high-quality ingredients, this energy cartridge is gluten-free and suitable for people with various dietary restrictions. Get your hands on Cirkul Gosip Grape Flavor Energy Cartridge today through Instacart's same-day delivery or pickup!","With just half a teaspoon of Food Club Black Cherry +Energy Liquid Beverage Enhancer, you can liven up your water and get an extra boost of energy for your day. This gluten-free enhancer contains zero juice but packs 60mg of caffeine per serving, along with taurine, guarana extract, ginseng extract, niacinamide (vitamin B3), pyridoxine hydrochloride (vitamin B6), cyanocobalamin (vitamin B12), and natural flavor. It is also kosher certified. Each bottle contains 24 servings and does not need refrigeration. For best quality, use within one month of opening. Get yours today through Instacart for same-day delivery or pickup!","Quench your thirst with Splenda Strawberry Watermelon Liquid Water Enhancer. One squeeze is all it takes to turn ordinary water into a flavorful, refreshing drink. Perfect for people with diabetes, this water enhancer contains natural flavors and Splenda Sucralose for a sweet taste without any added sugars. Plus, it's kosher and has zero calories, making it a guilt-free choice. Each bottle provides about 30 servings, so you can enjoy your favorite drink without worrying about running out quickly. Simply shake well before using, add one squeeze to 12 oz of water, and enjoy! Available on Instacart for same-day delivery or pickup."
MiO Vitamins Orange Tangerine Naturally Flavored Liquid Water Enhancer Drink Mix,,$5.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fd5fa9cb-f4c5-4f1a-9649-757e307d0ea2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a159bd1f-d95f-4eed-89ec-b153b7433c58.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef026fd2-e15a-47ab-8918-a037dbabed72.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2418992a-4c06-49b8-866b-c79dc5315b0d.jpg 4x","MiO Vitamins Naturally Flavored with other natural flavors Orange Tangerine Liquid Water Enhancer fixes plain water with a boost of B vitamins, creating a refreshing drink to help you power through the day. A single squeeze of our water flavoring drops instantly infuses your water with a bold, citrusy taste of orange and tangerine. Our flavored water enhancer contains zero calories and zero sugar, with the added benefit of B vitamins. Our portable, travel size 1.62 fluid ounce bottle of sugar free water drops fits easily in your gym bag or glove box, perfect for a quick splash of water flavoring on the go. MiO orange tangerine liquid water additive is a fun and delicious way to stay hydrated.,• One 1.62 fl oz bottle of mio Orange Tangerine Flavored with other natural flavor Liquid Water Enhancer,• Enjoy a boost of B vitamins from MiO Vitamins Naturally Flavored with other natural flavors Orange Tangerine Liquid Water Enhancer,• Quench your thirst with the cool, refreshing taste of MiO water enhancer liquid drink mix,• MiO water flavor enhancer is made with natural flavors,• Our small portable bottle makes us the perfect partner for your busy routine and staying hydrated on the go,• Simply add 1/2 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze good into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 19 servings per bottle","Ingredients:water, Citric Acid, Sodium Citrate, Gum Arabic, Sucralose (sweetener), Contains Less Than 2% Of","1 Squeeze (~1/2 Tsp) Per 8 Fl Oz Serving Of Water.,Always Dilute.,For Best Quality Use Within 1 Month Of Opening.",,,,,,,
MiO Energy Black Cherry Naturally Flavored Liquid Water Enhancer Drink Mix,,$5.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_db3a238d-2aed-4bd4-9803-6d60f31334ce.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bd5b0c39-f8dc-4f69-aa21-cc2c122b5028.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0477ef35-4cfc-48a2-884c-bd0e31668946.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4b755b37-9884-4eb2-b6d1-b6d1c510fe1d.jpg 4x","Fix your water with delicious black cherry flavor. MiO Energy Naturally Flavored with other natural flavor Black Cherry Liquid Water Enhancer provides a boost of caffeine and B vitamins. A single squeeze of our black cherry water flavor drops delivers bold flavor and energy to your bottled water. Our energy drink mix water additive is made with natural flavors and delivers 60 milligrams of caffeine per serving (1/2 tsp). Packed in a travel size 1.62 fluid ounce bottle, you can take our water flavoring on the go, helping you stay awake and motivated no matter where life takes you. Just one squeeze of our water flavor enhancer packs enough sweetness for 8 fluid ounces of flavored water. Whenever you're craving a fruity refreshment, turn your bottled water into a delicious black cherry drink with caffeine anytime, anywhere.,• One 1.62 fl oz bottle of mio Energy Black Cherry Flavored with other natural flavor Liquid Water Enhancer,• Give water a boost of caffeine and B vitamins with MiO Energy Naturally Flavored with other natural flavor Black Cherry Liquid Water Enhancer water drops,• Our liquid drink mix delivers refreshing, fruity flavor in every squeeze,• MiO water enhancer transforms water with a splash of black cherry flavor,• Our small portable bottle makes us the perfect partner for your busy routine and staying energized on the go,• Simply add 3/4 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze energy into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 12 servings per bottle","Water, Citric Acid, Caffeine, Contains Less Than 2% Of Taurine, Guarana Extract, Ginseng Extract (panax), Niacinamide (vitamin B3), Vitamin B6, Vitamin B12, Natural Flavor, Sucralose And Acesulfame Potassium (sweeteners), Sodium Citrate, Potassium Citrate, Gum Arabic, Sucrose Acetate Isobutyrate, Blue 1, Red 40, Potassium Sorbate (preservative).","1 Squeeze (1/2 Tsp) Per 8 Fl Oz Serving Of Water.,Always Dilute.,For Best Quality Use Within 1 Month Of Opening.",CAUTION: Contains Caffeine – 60mg/squeeze (1/2 tsp) – 18 servings/bottleFor adult use only. Always dilute. Use caffeine in moderation. Do not add to alcohol or caffeinated drinks. Consult doctor if pregnant/nursing.,,,,,,
MiO Fruit Punch Naturally Flavored Liquid Water Enhancer,,$5.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_31e799d2-68c6-4eea-aae3-fef5648b0df1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_38b2d1e4-d1e3-4129-bd2b-974f53f1cdcb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e33af949-c2f9-47dc-b899-d08a8fe7572b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e2762da6-9eb6-4eb2-a865-bafa164c5955.jpg 4x","MiO Naturally Flavored Fruit Punch Liquid Water Enhancer fixes plain water and turns it into a refreshing, flavorful drink to invigorate your day. A single squeeze of our fruit punch water flavor enhancer delivers bold mixed fruit flavor to bottled water. MiO sugar free water flavoring provides a burst of flavor with zero calories. With just one squeeze, MiO fruit punch water additive provides enough bold flavor for 8 fluid ounces. The portable 1.62 fluid ounce bottle of our sugar free drink mix water flavoring fits neatly in your bag, pocket or glove box for easy on-the-go mixing. Whether you're studying, working or heading to workout, add MiO fruit punch drink mix to your water for delicious mixed fruit flavored water that keeps you sipping.,• One 1.62 fl oz bottle of mio Fruit Punch Flavored with other natural flavor Liquid Water Enhancer,• MiO Naturally Flavored Fruit Punch Liquid Water Enhancer gives water a boost of flavor,• Our liquid water drops deliver refreshing flavor in every squeeze,• MiO water enhancer transforms boring water with a bold fruit punch taste,• Our small portable bottle makes us the perfect partner for your busy routine and staying hydrated on the go,• Simply add 1/2 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze good into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 19 servings per bottle","Water, Malic Acid, Citric Acid, Contains Less Than 2% Of Natural Flavor, Sucralose And Acesulfame Potassium (sweeteners), Potassium Citrate, Gum Arabic, Sucrose Acetate Isobutyrate, Red 40, Potassium Sorbate (preservative).","1 Squeeze (~1/2 Tsp) Per 8 Fl Oz Serving Of Water.,Always Dilute.,For Best Quality Use Within 1 Month Of Opening.",,,,,,,
MiO Energy Acai Berry Storm Liquid Water Enhancer Drink Mix,,$5.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eaf21d02-34be-4804-a626-04e07ec52099.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fb03f3bc-a36b-4a04-9653-3b16324c0012.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e35f964a-c94e-4ff7-8106-5ec62ba43bd1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b2020fbf-427a-4d0c-816f-b1bd1b697212.jpg 4x","Fix your water with refreshing acai berry flavor. MiO Energy Acai Berry Storm Liquid Water Enhancer provides a boost of caffeine and B vitamins. A single squeeze of our acai berry flavored water drops delivers bold flavor to bottled water. MiO water additive energy drink mix is made with natural flavors and delivers 60 milligrams of caffeine per serving (1/2 tsp) for a boost of energy. Just one squeeze of our water flavor enhancer packs enough sweetness for 8 fluid ounces of flavored water. Packed in a travel size 1.62 fluid ounce bottle, you can easily take our water flavoring on the go, helping you stay awake and motivated no matter where life takes you. Whenever you're craving fruity refreshment, turn your water into a deliciously invigorating acai berry drink anytime, anywhere.,• One 1.62 fl oz bottle of mio Energy Acai Berry Flavored with other natural flavor Liquid Water Enhancer,• Give water a boost of caffeine and B vitamins with MiO Energy Acai Berry Storm Liquid Water Enhancer water drops,• Our liquid drink mix delivers refreshing flavor in every squeeze,• MiO water enhancer transforms boring water with a bold acai berry flavor,• Our small portable bottle makes us the perfect partner for your busy routine and staying energized on the go,• Simply add 3/4 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze energy into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 12 servings per bottle","Water, Citric Acid, Malic Acid, Caffeine, Contains Less Than 2% Of Taurine, Guarana Extract, Ginseng Extract (panax), Niacinamide (vitamin B3), Vitamin B6, Vitamin B12, Natural Flavor, Sucralose And Acesulfame Potassium (sweeteners), Sodium Citrate, 00 Potassium Citrate, Gum Arabic, Red 40, Blue 1, Potassium Sorbate (preservative).",Make Your Mio Energy 1 Squeeze (1/2 Tsp) Per 8 Fl Oz Serving Of Water,CAUTION: Contains Caffeine 60mg/squeeze (1/2 tsp) 18 servings/bott,,,,,,
MiO Lemonade Naturally Flavored Liquid Water Enhancer,,$5.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1ebe7bcb-05ea-4889-af80-7af0ccd5bd7e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_389ef805-f80a-4a99-ad06-d04fc4496c39.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d2d12346-02b2-409a-b9e6-9f7feaf61581.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b5916be-8c1b-454c-84f8-63517c051eb5.jpg 4x","MiO Naturally Flavored with other natural flavors Lemonade Liquid Water Enhancer fixes plain water and turns it into a refreshing drink to invigorate your day. A single squeeze of our lemonade water drops delivers bold citrus taste to bottled water. MiO water additive provides a burst of flavor with zero sugar and zero calories. Our portable 1.62 fluid ounce bottle of sugar free drink mix water flavoring fits neatly in your bag, pocket or glove box for easy on-the-go mixing. With just one squeeze, MiO lemonade flavored water enhancer provides enough water flavor for 8 fluid ounces. Whether you're studying, working or heading to the gym, add MiO lemonade to your water for a delicious lemon flavored beverage that keeps you sipping.,• One 1.62 fl oz bottle of mio Lemonade Flavored with other natural flavor Liquid Water Enhancer,• MiO Naturally Flavored with other natural flavors Lemonade Liquid Water Enhancer gives water a boost of flavor,• Our liquid water flavor enhancer delivers refreshing flavor in every squeeze,• MiO water enhancer transforms water with a bold citrus taste,• Our small portable bottle makes us the perfect partner for your busy routine and staying hydrated on the go,• Simply add 1/2 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze good into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 19 servings per bottle","Water, Citric Acid, Sodium Citrate, Gum Arabic, Sucralose (sweetener), Contains Less Than 2% Of Natural Flavor, Sucrose Acetate Isobutyrate, Yellow 5, Potassium Sorbate (preservatve) Rosemary Extract (to Protect Flavor)","1 Squeeze (~1/2 Tsp) Per 8 Fl Oz Serving Of Water.,Always Dilute.,For Best Quality Use Within 1 Month Of Opening.",,,,,,,
Crystal Light Strawberry Lemonade Naturally Flavored Drink Mix,,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b8f83b65-3af9-47f8-8ef5-bda346fa973c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e4616b83-5966-4d9b-a511-f7791e9129ca.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2cd53d48-bdb3-4ff3-b8a2-8f1f26704afb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cc0bbdbc-6876-4783-b13f-d0587156ff36.jpg 4x","Crystal Light Liquid Naturally Flavored Strawberry Lemonade Drink Mix is a deliciously fruity beverage that keeps you feeling refreshed at home or on the go. Our liquid water drops blend easily with water so you can shake up your day with a delicious no calorie strawberry lemonade beverage. Crystal Light water enhancer has zero calories and zero grams of sugar. Our compact 1.62 fluid ounce water additive squeeze bottle fits easily in your bag, pocket or car so you can enjoy the great taste of Crystal Light water flavor anytime, anywhere. To prepare, simply squeeze a few drops of lemonade mix into water, stir and enjoy! All the flavor and no calories, just the way you like it. If you like our water flavor drops, try Crystal Light powdered drink mix singles.,• One 1.62 fl oz bottle of Crystal Light Liquid Naturally Flavored Strawberry Lemonade Drink Mix,• Crystal Light Liquid Naturally Flavored Strawberry Lemonade Drink Mix is a refreshing, flavorful drink,• Our water enhancer adds natural flavor for a bold strawberry lemonade taste with zero sugar,• Crystal Light lemonade contains zero calories and zero sugar, so you can refresh guilt-free,• Squeeze the sugar free lemonade drink mix into water and stir to create an instantly fruity drink,• Comes in a compact squeeze bottle for portability and easy mixing,• Contains 24 servings of sugar free drink enhancer per bottle,• SNAP & EBT eligible food item","Water, Citric Acid, Sodium Citrate, Gum Arabic, Sucralose (sweetener), Contains Less Than 2% Of Natural Flavor, Sucrose Acetate Isobutyrate, Red 40, Rosemary Extract (to Protect Flavor)",Flip Open. Give A Quick Squeeze Or More Into Water Enjoy! One Squeeze For Each 8Fl Oz Serving. Always Add To Water For The Great Taste Of Crystal Light.,,,,,,,
MiO Sweet Tea Naturally Flavored Liquid Water Enhancer,,$5.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa7237a0-ddea-4c49-bf32-16802d259562.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_47b8ecd2-4c28-48db-9e4e-c3d35ddf5ebb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_afc289e3-edac-4734-b3af-b09dfeedfefb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0244c853-7b89-4845-b4e2-16ba2293d83b.jpg 4x","MiO Naturally Flavored Sweet Tea Liquid Water Enhancer fixes plain water and turns it into a refreshing, flavorful drink to invigorate your day. A single squeeze of our sweet tea water flavor enhancer delivers bold iced tea flavor to bottled water. MiO water flavoring contains zero sugar and zero calories. With just one squeeze of our water flavoring, MiO sweet tea water additive provides enough bold flavor for 8 fluid ounces. Our portable 1.62 fluid ounce bottle of sugar free drink mix fits neatly in your bag, pocket or glove box for easy on-the-go mixing. Whether you're studying, working or heading to the gym, add MiO sweet tea drink mix to your water for delicious iced tea flavored water that keeps you sipping and hydrated throughout the day.,• One 1.62 fl oz bottle of mio Sweet Tea Flavored with other natural flavor Liquid Water Enhancer,• MiO Naturally Flavored Sweet Tea Liquid Water Enhancer gives water a boost of flavor,• Our liquid water drops deliver refreshing flavor in every squeeze,• MiO water enhancer transforms boring water with a bold sweet tea taste,• Our small portable bottle makes us the perfect partner for your busy routine and staying hydrated on the go,• Simply add 1/2 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze good into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 19 servings per bottle","Water, Glycerin, Malic Acid, Contains Less Than 2% Of Natural Flavor, Citric Acid, Sucralose And Acesulfame Potassium (sweeteners), Red 40, Yellow 5, Blue 1, Potassium Sorbate (preservative).","1 Squeeze (~1/2 Tsp) Per 8 Fl Oz Serving Of Water. Always Dilute.,For Best Quality Use Within 1 Month Of Opening.",,,,,,,
MiO Strawberry Watermelon Naturally Flavored Liquid Water Enhancer,,$5.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d486fbf9-3cab-4692-b4a0-9542308a800c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4bdd5ea3-b9b3-47f2-aa83-331f001b82dc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_067b723a-7cb7-422c-ad66-1d991ea19806.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a1646266-0471-4d41-bd7e-aa02f1fd73cd.jpg 4x","MiO Naturally Flavored Strawberry Watermelon Liquid Water Enhancer fixes plain water by turning it into a refreshing, flavorful drink to invigorate your day. A single squeeze of our strawberry watermelon flavored water drops delivers bold mixed fruit flavor to bottled water. MiO water additive contains zero sugar and zero calories. With just a few drops of our water flavoring, MiO strawberry watermelon provides enough fruity flavor to enhance 8 fluid ounces of water. Our portable 1.62 fluid ounce bottle of sugar free drink mix fits neatly in your bag, pocket or glove box for easy on-the-go mixing. Whether you're studying, working or heading to the gym, add MiO strawberry watermelon to your water for delicious mixed fruit flavored beverage that keeps you sipping and hydrated.,• One 1.62 fl oz bottle of mio Strawberry Watermelon Flavored with other natural flavor Liquid Water Enhancer,• MiO Naturally Flavored Strawberry Watermelon Liquid Water Enhancer gives water a boost of flavor,• Our liquid water flavor enhancer delivers refreshing taste in every squeeze,• MiO water enhancer transforms boring water with bold berry and watermelon flavors,• Our small portable bottle makes us the perfect partner for your busy routine and staying hydrated on the go,• Simply add 1/2 tsp of mio to 12 oz of water, mix and enjoy,• Squeeze good into your day with mio,• Each bottle of our drink enhancer neatly fits in your purse, bag or glove box for easy on-the-go refreshing,• Contains about 19 servings per bottle","Water, Malic Acid, Gum Arabic, Citric Acid, Contains Less Than 2% Of Natural Flavor, Sucralose And Acesulfame Potassium (sweeteners), Potassium Citrate, Sucrose Acetate Isobutyrate, Red 40, Potassium Sorbate (preservative).","1 Squeeze (~1/2 Tsp) Per 8 Fl Oz Serving Of Water.,Always Dilute.,For Best Quality Use Within 1 Month Of Opening.",,,,,,,
Kool-Aid Liquid Grape Artificially Flavored Soft Drink Mix,,$5.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b2f6d570-0674-46cc-bdff-6f30e3c0b913.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b54ee5c-d0fd-4bd5-9ba8-2485bbfc1229.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4714369f-56e3-43c6-b20e-2b5bc5507225.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_824b5047-fe7a-4798-aab5-747f3d589219.jpg 4x","Kool Aid Liquid Artificially Flavored Grape Drink Mix is a delicious way to stay hydrated. Our grape flavored liquid drink mix makes it easy to prepare a tasty fruit drink anywhere. Just squeeze our artificially flavored drink mix into a glass or bottle of water and you're ready to enjoy a refreshingly sweet grape drink. With zero sugar and zero calories, our grape drink mix is a great choice that the whole family will enjoy. Enjoy a revitalizing sugar free fruit drink at work, home or on the go. Our 1.62 fluid ounce bottle of Kool Aid Liquid Artificially Flavored Grape Drink Mix concentrate comes in a resealable and convenient squeeze bottle that fits easily into your bag, pocket or glove box. If you like our Kool Aid mix water enhancer, try our drink packets and powdered drink mix singles.,• One 1.62 fl oz bottle of Kool-Aid Liquid Artificially Flavored Grape Drink Mix,• Kool Aid Liquid Artificially Flavored Grape Drink Mix is a delicious way to stay hydrated,• Sugar free liquid drink mix makes it easy to prepare a tasty fruit drink anywhere,• Our water flavor enhancer is bursting with refreshingly sweet grape flavor,• Contains zero sugar and zero calories,• Squeeze liquid drink mix into a glass of water, or add it to a bottle of water to take on-the-go,• Packaged in a resealable squeeze bottle,• Contains about 19 servings per bottle,• SNAP & EBT eligible food item","Water, Malic Acid, Citric Acid, Gum Arabic, Sucralose (sweetener), Contains Less Than 2% Of Natural And Artificial Flavor, Acesulfame Potassium (sweetener), Potassium Citrate, Sucrose Acetate Isobutyrate, Red 40, Blue 1, Sodium Benzoate And Potassium Sorbate (preservatives)","Make Your Kool-Aid By The Glass.,One Squeeze For Each 8 Fl Oz Serving.,Always Dilute.,For Best Quality, Use Within One Month Of Opening.",,,,,,,
"Nuun Sport Hydration, Tablets, Citrus Fruit",,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_036f788b-9a22-4f5d-afc1-24e3865c4209.jpg 4x,"10 servings. Electrolyte Level (Electrolyte levels based on the ratio of sodium. Chloride, and potassium in our products. See nuunlife.com/electrolytes): 2. Electrolytes done right. Our optimized blends help you find your best fit. Made for workout hydration: Hydrates better than water alone. 1 g of sugar. Crisp, refreshing flavor.","Citric Acid, Dextrose, Natural Flavors, Malic Acid, Stevia Leaf Extract, Avocado Oil, Beet Powder Color, Riboflavin (for Color).","Directions For Use: Add 1 tablet to 16 fl oz/475 ml of water up to 3 times a day.,Store below 77 degrees F / 25 degrees C. Keep cap closed when not in use.","Use only if cap seal is unbroken. Warning: Keep out of reach of children. Consult with your health care provider prior to use if you are pregnant, nursing, or have any health conditions or concerns.",Gluten Free,,,,,
