Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Soy Free,"Quench your thirst with Pure Kick Strawberry Watermelon Flavored Hydrate Zero Sugar Drink Mix Stick Packs. With only 5 calories per serving and zero sugar, this drink mix is a smart choice for those seeking a refreshing beverage without the guilt. The pack contains natural flavors, vitamins C and E, and minerals like magnesium and zinc that help keep you hydrated throughout the day. Each pack makes six servings of deliciously fruity, gluten-free, and kosher drink mix that's perfect for on-the-go hydration. Get your hands on Pure Kick Strawberry Watermelon Flavored Hydrate Zero Sugar Drink Mix Stick Packs through Instacart for same-day delivery or pickup."
Swiss Miss Milk Chocolate Flavored Hot Cocoa Mix,$4.09,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_570ccbcf-0a89-43f7-b1e2-9d4c88355e80.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_37d71f74-5e38-42c5-b2b0-cd99b2de0a42.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7752f900-6bf2-465a-b6e8-e962c28c75a5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_03b34a4c-5aa2-45d5-a615-db47ed74ba12.jpg 4x",Gluten Free,,"Swiss Miss Milk Chocolate Flavored Hot Cocoa Mix makes a warm, delightful hot cocoa drink that will bring you comfort and everyday warmth whenever you need it. This hot cocoa drink mix easily transforms into a rich, creamy hot cocoa that delivers on that timeless flavor your family has always known and loved. Swiss Miss Hot Cocoa Mix is packaged in individual packets so every mug you make is equally delicious. You won't miss your old hot chocolate. This hot cocoa powder is made with real cocoa and nonfat milk to give you that comforting, rich and creamy taste you expect from Swiss Miss. Not only is this a gluten free hot cocoa mix, but it's also made with no artificial sweeteners, preservatives, flavors or colors. Preparing a delicious mug of this hot cocoa is easy. Empty the chocolatey cocoa mix into a mug, add 8 ounces of hot water (or milk for a richer taste) and stir. Enjoy a mug as part of your morning routine, on chilly days or as a sweet evening treat. You can use this cocoa mix in different ways. Try making a tasty iced cocoa drink to cool you down, or incorporate the hot cocoa mix into your recipes for brownies, cookies, cakes and more. Whatever you’re warming up to, know that Swiss Miss will give you everything you need in the palm of your hands.","Sugar, Corn Syrup, Modified Whey, Cocoa (processed With Alkali), Hydrogenated Coconut Oil, Nonfat Milk, Less Than 2% Of: Salt, Dipotassium Phosphate, Mono- And Diglycerides, Natural Flavor",Empty delicious cocoa into mug. Add hot water or milk (1 cup/8 fl oz) for richer taste add milk. Stir. Sip. Savor. You deserve it.,Contains: milk.,,
"Starburst Singles To Go Strawberry Drink Mix, Low Calorie",,$2.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_39d90ea8-7517-4518-a296-ba5dfa59dee5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_461c1e6a-1170-4367-9973-14bcc7c94cd5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bb1f3e19-4f79-4b14-b99f-8967775a02a0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_69ae0856-6748-4552-9346-2a1bdcbf9afb.jpg 4x",Gluten Free,,"Experience a FRUITY BURST OF FLAVOR wherever you go with Starburst Singles To Go! Unleash the unexplainably juicy taste that follows you throughout your day.,Making your favorite drink is a breeze – JUST ADD WATER! Simply sip from a full bottle of water, pour one stick into a 16.9 fl. oz. bottle or a large glass of water, shake until well mixed, and indulge in the satisfying blend.,Enjoy ON-THE-GO CONVENIENCE with the classic Starburst taste always at your fingertips. Whether you're in the car, on a plane, or at work or school, the single stick convenience ensures a great tasting drink anytime, anywhere.,Savor guilt-free pleasure as Starburst Singles To Go drink packets are SUGAR-FREE and low-calorie water enhancers. Share the deliciousness with the whole family, knowing you can feel great about this refreshing choice.","Citric Acid, Maltodextrin, Malic Acid, Natural And Artificial Flavors, Sucralose, Contains 2% Or Less Of The Following: Magnesium Oxide, Artificial Color, Aspartame, Acesulfame Potassium, Calcium Silicate, Yellow 5, Yellow 6.adds A Dietarily Insignificant Amount Of Sugarphenylketonurics: Contains Phenylalanine",Easy to Make: Sip from a full bottle of water to make room for powder. Pour on stick into a 16.9 fl. oz. bottle of water or a large glass of water. Shake bottle or mix well until powder dissolves.,Phenylketonurics: contains phenylalanine,,
"Propel Electrolyte Water Beverage Mix, Zero Sugar, Kiwi Strawberry",,$6.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d4fd93a5-86fc-4bff-b735-1230f91f67b5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4955357c-a43c-4347-84a3-d70e086dc3aa.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_41066149-7703-4ae8-9a5e-eafec92b2ee6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b14b9c91-d35e-4c3f-abc4-14d9504aa4a7.png 4x",,,"Give your workout a boost of fruit flavor. Each Propel provides electrolytes, vitamin B, and antioxidant vitamins C and E, so you can hydrate, replenish and get your best workout without adding calories.","Citric Acid, Sodium Citrate, Salt, Maltodextrin, Monopotassium Phosphate, Modified Food Starch, Sucralose, Ascorbic Acid (vitamin C), Silicon Dioxide, Natural Flavor, Vitamin E Acetate, Niacinamide (vitamin B3), Acesulfame Potassium, Calcium Pantothenate (vitamin B5), Calcium Disodium Edta (to Protect Flavor), Pyridoxine Hydrochloride (vitamin B6), Cyanocobalamin (vitamin B12).","Pour packet into 16.9 fl oz of water and replace cap. Shake. Hydrate. enjoy.,Tear.",,,
Pedialyte Advanced Care Plus Electrolyte Powder Berry Frost Powder Packets,,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1dd7c63e-095d-4cca-bc7e-d77b5cd2a87e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_288f2a64-3fa6-494d-8c98-bc7bd2010c56.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f18c9364-11a7-4bb2-a5d5-2aa7a9d7fa55.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48e16788-7b4d-43db-a8c8-68f5fee92533.jpg 4x",,,"Pedialyte AdvancedCare Plus Electrolyte Solution offers 33% more electrolytes to help prevent dehydration and help you feel better fast. From the #1 pharmacist and pediatrician recommended brand for hydration, Pedialyte AdvancedCare Plus has PreActiv Prebiotics to help support digestive health and is designed to help prevent dehydration† in children and adults more effectively than common beverages. * 60 mEq in original Pedialyte. **Studied in 40 healthy adults, Pedialyte helped maintain fluid status better than water over a 4-hour period, measured via beverage hydration index (Sollanek et al, 2018).","Anhydrous Dextrose, Short-chain Fructooligosaccharides, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Natural And Artificial Flavor, Less Than 2% Of: Calcium Silicate, Acesulfame Potassium, Sucralose And Blue 1","Directions for Preparation and Use: Mix one packet of Pedialyte powder with 16 fl oz water only. Stir or shake to dissolve. Tastes best served cold. Begin with small frequent sips every 15 minutes, increasing serving size as tolerated. Continue to use for as long as symptoms are present. To maintain proper hydration, 2-4 servings (32 to 64 fl oz) of Pedialyte may be needed per day. Consult your doctor if vomiting, fever, or diarrhea continues beyond 24 hours or if consumption needs are greater than 2 liters (64 fl oz) per day.,Storage: Store unused reconstituted product in sealed container in refrigerator for up to 48 hours. Do not store powder packets at extreme temperatures.","Use under medical supervision. Not for use for children under 1 year of age. For children under 1 year of age, consult your doctor regarding the appropriate Pedialyte product.",,
Crystal Light Lemonade Naturally Flavored Powdered Drink Mix,$5.19,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_add0c869-60e9-47c0-9ea0-6b745f74b419.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_455a7ce3-ee5a-410b-ab0f-9c91ec960b8a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2e92fdf5-6a6e-43d2-8621-2432a00d3d3d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3303b1ce-ab67-4b8c-83c6-f1877fdc4902.jpg 4x",,,"Crystal Light Naturally Flavored Lemonade On-the-Go Powdered Drink Mix is a deliciously fruity drink you can enjoy anywhere. With zero sugar and only 10 calories per packet, Crystal Light water enhancer is a sweet alternative to juice and soda and has 90 percent fewer calories than leading beverages (this product 10 calories, leading beverages 70 calories), so you don't have to choose between flavor and calories. Each 0.14 ounce individual packet in this 10 count box of powdered lemonade drink mix fits easily in your bag, desk or glove box, so you can enjoy a refreshing glass of Crystal Light anywhere. Simply empty one single serve packet of drink powder into a water bottle or a glass with 2 cups of water, shake or stir, and enjoy! All the delicious water flavor you crave and only 10 calories per packet, just the way you like it.,• Ten 0.14 oz packets of Crystal Light Naturally Flavored Lemonade On-The-Go Powdered Drink Mix,• Crystal Light Lemonade Powdered Drink Mix On-the-Go Packets are small and easy to pour for on-the-go convenience,• Add flavor to a standard 16.9 fl oz water bottle with our individual lemonade mix drink packets,• Find classic lemonade taste with Crystal Light flavored water powder,• Lemonade packet made with zero sugar and 10 calories per packet for guilt-free refreshment,• Pour the contents of the lemonade drink mix packet into water,• Empty one packet into a bottle of water or a glass with 2 cups of water, shake or stir, and enjoy,• SNAP & EBT eligible food item","Citric Acid, Potassium Citrate, Sodium Citrate, Aspartame†, Magnesium Oxide, Maltodextrin, Contains Less Than 2% Of Natural Flavor, Acesulfame Potassium, Soy Lecithin, Yellow 5, Artificial Color,, †phenylketonurics: Contains Phenylalanine","Makes 2 Servings.,1. Empty 1 Packet Into 16.9 Fl Oz Bottle Of Water, Replace Cap.,Or,Empty 1 Packet Into Tall Glass And Add 2 Cups Of Water.,2. Shake Or Stir Until Dissolved, And Enjoy!,Store Prepared Beverage, Covered, In Refrigerator.",Contains: soy.,,
Pedialyte Electrolyte Powder Variety Powder Powder Packs,,$11.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b767ae45-387c-4dab-a548-08e58dec94b2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a63f874b-1ed1-457b-a64c-6fd1668deef6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c5093ac3-87b0-42df-9503-11430b46725f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e3c98b6f-e1f6-47eb-8882-cc00d1a09b6d.jpg 4x",,,"Pedialyte Electrolyte Solution Powders are designed for fast, effective rehydration. Pedialyte,Electrolyte Solution has 2x the electrolytes and one-half the sugar of the leading sports drink.*,It’s also designed to replace fluids and electrolytes more effectively than common beverages,,including water, sports drinks, juice, and soda. Enjoy great-tasting flavors from Pedialyte, the #1,doctor recommended brand for hydration in the US; used by doctors and hospitals for over 50,years.,* Featured Pedialyte products have at least 1030 mg sodium and no more than 25 g sugars per,liter; leading sports drink has ~460 mg sodium and ~58 g sugars per liter.,† Mild to moderate dehydration.","Fruit Punch Ingredients: Dextrose, Citric Acid, Malic Acid, Potassium Citrate, Salt, Sodium Citrate; Less Than 2% Of: Natural And Artificial Flavor, Calcium Silicate, Sucralose, Acesulfame Potassium, And Red 40, Apple Ingredients: Dextrose, Citric Acid, Malic Acid, Potassium Citrate, Salt, Sodium Citrate; Less Than 2% Of: Artificial Flavor, Calcium Silicate, Caramel Color, Sucralose, And Acesulfame Potassium, Grape Ingredients: Dextrose, Citric Acid, Malic Acid, Potassium Citrate, Salt, Sodium Citrate; Less Than 2% Of: Natural And Artificial Flavor, Calcium Silicate, Sucralose, Acesulfame Potassium, Red 40, And Blue 1, Strawberry Ingredients: Dextrose, Citric Acid, Malic Acid, Potassium Citrate, Salt, Sodium Citrate, Natural Flavor; Less Than 2% Of: Calcium Silicate, Sucralose, Acesulfame Potassium, Red 40, And Blue 1","For infants under 1 year of age: Consult your doctor.,For children 1 year and older and adults: Begin with small frequent sips every 15 minutes, increasing serving size as tolerated. Continue for as long as diarrhea is present.,To maintain proper hydration, 1-2 liters (32 to 64 fl oz) of Pedialyte may be needed per day. Consult your doctor if vomiting, fever, or diarrhea continues beyond 24 hours or if consumption needs are greater than 2 liters (64 fl oz) per day.",Contains milk ingredients.,,
"Liquid I.V. Hydration Multiplier Electrolyte Drink Mix, Lemon Lime",,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_791d7ead-e738-4310-bcb2-cb4db20f4e11.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e70eadce-81e5-45ee-819e-03c62871d310.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e9d2b66-605f-4389-95b2-52e40ec8031d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_afecfadc-202f-44b3-96a9-5cf77e9b181f.jpg 4x","Gluten Free,Soy Free",,,"Beet Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Natural Flavors, Dipotassium Phosphate, Silicon Dioxide (anticaking Agent), Rebaudioside-a (stevia Leaf Extract), Ascorbic Acid (vitamin C), Niacinamide (vitamin B3), D-calcium Pantothenate (vitamin B5), Pyridoxine Hydrochloride (vitamin B6), Cyanocobalamin (vitamin B12)","Suggested Use: Add 1 stick to 16 oz of water and mix thoroughly before drinking. We recommend 1 stick per day for daily hydration. For ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1 stick per day.,Store in a cool, dry place.",,,
Country Time Lemonade Naturally Flavored Powdered Drink Mix,$5.79,$8.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bc2ed345-ecec-49de-b282-0f2902076158.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8da274ed-e3db-49bb-a788-b6e7e3867775.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_95e5a554-f952-4b66-b93a-9d838b599b44.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_448a2783-5fb0-4c9c-9ae7-fc1a7c97c59e.jpg 4x",Gluten Free,,"Combine Country Time Lemonade Naturally Flavored Powdered Drink Mix with water to enjoy the classic taste of Country Time lemonade. Made with real sugar and no artificial flavors or sweeteners, Country Time Lemonade Mix is the perfect water enhancer to keep you cool all afternoon. Our lemonade drink powder comes in a resealable canister and has an easy-measure lid for simple preparation. Each 19-ounce canister makes 8 quarts of lemonade, so there is enough water flavor drink mix for the whole family to enjoy! To prepare, simply pour our powdered lemonade mix into a pitcher, add water and ice, stir and serve. If you like our water enhancer, try our powdered drink mix singles.,• One 19 oz canister of Country Time Lemonade Naturally Flavored Powdered Drink Mix,• Country Time Lemonade Powdered Drink Mix helps cool your family down all year,• One canister of flavored water powder makes 8 quarts when mixed with water,• Our lemonade mix is made with real sugar,• Country Time Lemonade Mix with no artificial flavors or sweeteners,• Simply combine our lemonade drink mix with water and enjoy,• Our powdered lemonade is packaged in a resealable canister with easy-measure lid,• Enjoy our convenient powdered drink mix at home, work, or mix 2 tbsp. with 12 fl oz of water to take on the go,• SNAP & EBT eligible food item","Sugar, Fructose, Citric Acid, Contains Less Than 2% Of Maltodextrin, Sodium Acid Pyrophosphate, Magnesium Oxide, Sodium Citrate, Ascorbic Acid (vitamin C), Natural Flavor, Artificial Color, Yellow 5 Lake, Soy Lecithin, Tocopherol (preserve Freshness)","Easy Measure Cap. Rounded Top Inside Makes Pouring Easy! How To: Measure Country Time Mix Into Cap Just To Line, Or Use Table-Spoonful Of Mix For Single Serving. Add More Or Less To Taste. Pour Into Drinking Glass Or Plastic/Glass Pitcher. Add Cold Water And Ice; Stir To Dissolve. Do Not Store In Metal Container. Store Prepared Beverage, Covered, In Refrigerator. Replace Dry Cap And Tightly Close Canister To Retain Freshness.,1 Serving: 1 Round Tbsp = 1 Cup (8 Fl. Oz.), 4 Servings: Powdered Mix To 1-Quart Line = 1 Quart (4 Cups), 8 Servings: Powdered Mix To 2-Quart Line = 2 Quarts (8 Cups), 16 Servings: Powdered Mix To 2-Quart Line Twice = 1 Gallon (16 Cups).",Contains: soy.,,
"Liquid I.V. Electrolyte Drink Mix, Lemon Lime",,$21.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c9b8fac-245f-46e2-90b9-cb1bf805602f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_93976861-bad1-4b5c-8e9f-cdb772a7163d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_499f83e8-b8a6-4bca-97ab-0096998238ea.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8faec661-022d-43c8-83a6-c8c476242663.jpg 4x","Gluten Free,Soy Free",,"Fueling life's adventures. Powered by CTT. 1 stick. Faster hydration than water alone. Our Winning Difference: The breakthrough science of Cellular Transport Technology (CTT) is an optimal ratio of nutrients that delivers hydration rapidly into your bloodstream, hydrating you 2-3x faster and more efficiently than water alone. Sodium + Potassium + Glucose + Water = CTT. This leading science depends on NON-GMO sugar + mined salt strictly for function, not taste. Think of CTT as an expedited water delivery system in your body. The Result: Feel better. Faster. Why Liquid I.V.? 2-2.5x Faster hydration than water alone. Utilizing cellular transport technology (CTT). 3x the electrolytes of traditional sports drinks. 5 essential vitamins B3, B5, B6, B12 and vitamin C. Great taste. Natural lemon lime flavor. This leading science depends on non-GMO sugar + mined salt strictly for function, not taste. No preservatives. No artificial sweeteners. No artificial colors. FSC. Mix. Our Mission: We've partnered with you, the LIV community, to help save lives around the world. With each purchase you make, we donate a serving of Liquid I.V. To someone in need. We are on a mission to help people live better lives everywhere, and we could not do it without you. Together, we will change the world! (hashtag)CTW.,• Vegan,• Gluten Free,• Dairy Free,• Soy Free,• No Preservatives/No Artificial Preservatives,• No Artificial Flavors,• No Artificial Sweeteners","Pure Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Silicon Dioxide, Rebaudioside-a (stevia Leaf Extract), Natural Flavors, Vitamin C (ascorbic Acid), Vitamin B3 (niacinamide), Vitamin B5 (d-calcium Pantothenate), Vitamin B6 (pyridoxine Hydrochloride), Vitamin B12 (cyanocobalamin)","Suggested Use: Add 1 stick to 16oz of water and mix thoroughly before drinking. We recommend 1 stick per day for daily hydration. For ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1 stick per day.,Store in a cool, dry place.",,,
"Liquid I.V. Hydration Multiplier Electrolyte Drink Mix, Passion Fruit",,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f46846bf-7fcb-4320-aa1a-ad708005b326.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_51200c75-3680-4609-87a1-d35a567e3b2c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_225c3667-f527-4f95-b11b-379ffb5bdba3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b55cee6-cc99-47d5-99c3-f8f01332579e.jpg 4x","Gluten Free,Soy Free",,,"Pure Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Silicon Dioxide, Rebaudioside-a [stevia Leaf Extract], Vitamin C [ascorbic Acid], Vitamin B3 (niacinamide), Vitamin B5 [d-calcium Pantothenate], Vitamin B6 [pyridoxine Hydrochloride], Natural Flavor, Vitamin B12 [cyanocobalamin]","Suggested Use: Add 1 stick to 16 oz of water and mix thoroughly before drinking. We recommend 1 stick per day for daily hydration. For ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1stick per day.,Store in a cool, dry place.",,,
