Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free,Egg Free,Fish Free,Peanut Free,Shellfish Free,Treenut Free,Wheat Free,"Craving something sweet and high in protein? Look no further than Premier Protein High Protein 30 G Shakes in Cake Batter Delight! Made with milk protein concentrate and natural and artificial flavors, this delicious shake is perfect for on-the-go or after a workout. With 30 grams of protein, only 3 grams of fat, and 1 gram of sugar per 11 fl oz serving, it's a guilt-free treat that will keep you feeling satisfied. Plus, it's kosher certified! Instacart offers same-day delivery or pickup so you can enjoy this tasty shake whenever you want!",Soy Free
Ensure Original Nutrition Shake Vanilla Ready-to-Drink Bottles,$16.09,$18.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_168f2c9d-7d3c-4042-8625-2095d973cd8f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fb7bd0ad-74cf-4595-8678-7fdd0b2c95e3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f6bf97c-0c4d-46ec-aaa1-113a445dc276.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_032c57c9-544a-4364-a537-54a05961711e.jpg 4x",Gluten Free,,"Ensure Original nutrition shakes have 9 grams of protein and 27 vitamins and minerals. Ensure nutritional shakes have protein, vitamins A and D, zinc, and vitamins C and E that support immune health. These delicious flavored shakes are ready-to-drink, kosher, halal, and suitable for lactose intolerance.* Ensure is a great choice for you and the ones you care for.,* Not for people with galactosemia.","Water, Corn Maltodextrin, Sugar, Milk Protein Concentrate, Blend Of Vegetable Oils (canola, Corn), Soy Protein Isolate, Nonfat Milk, Less Than 0.5% Of: Vitamins And Minerals,† Natural And Artificial Flavor, Cellulose Gel, Salt, Cellulose Gum, Soy Lecithin, Monoglycerides, Carrageenan, Acesulfame Potassium, And Sucralose, †vitamins And Minerals: Potassium Citrate, Magnesium Phosphate, Calcium Carbonate, Sodium Citrate, Calcium Phosphate, Choline Chloride, Ascorbic Acid, Potassium Chloride, Ferrous Sulfate, Dl-alpha-tocopheryl Acetate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Copper Sulfate, Riboflavin, Vitamin A Palmitate, Folic Acid, Chromium Chloride, Potassium Iodide, Sodium Selenate, Sodium Molybdate, Phylloquinone, Biotin, Vitamin D₃, Vitamin B₁₂","Shake well.,Serve cold refrigerate after opening.",Contains milk and soy ingredients.,,,,,,,,,
Ensure Original Nutrition Shake Milk Chocolate Ready-to-Drink Bottles,$16.09,$18.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7025de0e-f428-43c4-b9a2-9a3fcf63a8e9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8a29de95-c1d3-4a82-9da0-92d6e86f48a5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_402a974e-3577-45a5-bd04-9120fc9b25c3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3af4d4ed-95f4-490d-83ee-e19b15155c43.jpg 4x",Gluten Free,,"Ensure Original nutrition shakes have 9 grams of protein and 27 vitamins and minerals. Ensure nutritional shakes have protein, vitamins A and D, zinc, and vitamins C and E that support immune health. These delicious flavored shakes are ready-to-drink, kosher, halal, and suitable for lactose intolerance.* Ensure is a great choice for you and the ones you care for.,* Not for people with galactosemia.","Water, Corn Maltodextrin, Sugar, Milk Protein Concentrate, Blend Of Vegetable Oils (canola, Corn), Soy Protein Isolate, Cocoa Powder (processed With Alkali), Less Than 0.5% Of: Vitamins And Minerals,† Nonfat Milk, Cellulose Gel, Natural And Artificial Flavor, Salt, Cellulose Gum, Soy Lecithin, Monoglycerides, Carrageenan, Turmeric Color, Acesulfame Potassium, Sucralose, And Red 3, †vitamins And Minerals: Potassium Citrate, Magnesium Phosphate, Calcium Carbonate, Sodium Citrate, Calcium Phosphate, Choline Chloride, Ascorbic Acid, Ferrous Sulfate, Potassium Chloride, Dl-alpha-tocopheryl Acetate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Copper Sulfate, Riboflavin, Vitamin A Palmitate, Folic Acid, Chromium Chloride, Potassium Iodide, Sodium Selenate, Sodium Molybdate, Phylloquinone, Biotin, Vitamin D₃, Vitamin B₁₂","Shake well.,Serve cold.,Refrigerate after opening.",Contains milk and soy ingredients.,,,,,,,,,
Ensure Original Nutrition Shake Strawberry Ready-to-Drink Bottles,,$13.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_54b4fe42-a859-4961-be05-ad4802c5a344.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0d44dc21-4720-41c9-ac9b-4b174e8342d2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c9023f85-bc5e-4228-b990-10dd8cf69505.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eeb1d6f5-0e53-45fb-b31d-f94692a88944.jpg 4x",Gluten Free,,"Ensure Original nutrition shakes have 9 grams of protein and 27 vitamins and minerals. Ensure,nutritional shakes support immune health by supplying protein, vitamins A and D, zinc, and,vitamins C and E. These shakes are kosher, halal, and suitable for lactose intolerance.*,* Not for people with galactosemia.","Water, Corn Maltodextrin, Sugar, Milk Protein Concentrate, Blend Of Vegetable Oils (canola, Corn), Soy Protein Isolate, Nonfat Milk, Less Than 0.5% Of: Vitamins And Minerals,† Natural And Artificial Flavor, Cellulose Gel, Salt, Cellulose Gum, Soy Lecithin, Monoglycerides, Carrageenan, Acesulfame Potassium, Sucralose And Red 3, †vitamins And Minerals: Potassium Citrate, Magnesium Phosphate, Calcium Carbonate, Sodium Citrate, Calcium Phosphate, Choline Chloride, Ascorbic Acid, Potassium Chloride, Ferrous Sulfate, Dl-alpha-tocopheryl Acetate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Copper Sulfate, Riboflavin, Vitamin A Palmitate, Folic Acid, Chromium Chloride, Potassium Iodide, Sodium Selenate, Sodium Molybdate, Phylloquinone, Biotin, Vitamin D₃ And Vitamin B₁₂","Shake well.,Serve cold.,Refrigerate after opening.",Contains milk and soy ingredients.,,,,,,,,,
"Core Power Protein Shake, Chocolate, 26G Bottle",$4.79,$5.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef5f381f-0a43-474a-8d35-0cab1e0a0d88.jpeg 4x,,,"Whether you’re working towards a new personal record or you’re just trying to stay fit, you should make the most of your workouts, which includes your recovery. That’s why Core Power protein shakes are designed to help you refuel, rebuild, rehydrate and recover from your workout. With Core Power Chocolate, you get a protein shake that's packed with 26g of high quality protein, all 9 essential amino acids, electrolytes and a creamy chocolate taste. Its high quality protein from fairlife ultra-filtered milk helps you recover after each and every workout. These delicious ready-to-drink protein shakes come in a variety of different flavors, so you can always satisfy your taste buds. And for those more intense workouts, we’ve got Core Power Elite – in a 14oz bottle, with 42g of high quality protein. Fueled by fairlife ultra-filtered milk, Core Power is about helping you recover after a workout so you feel good and can tackle the rest of your day. Champion Your Recovery.,• A high protein shake with 26g of high quality protein fueled by fairlife ultra-filtered milk in each 14 fl oz bottle,• This chocolate protein shake is creamy and delicious for post workout recovery,• 26g of high quality protein to build muscle, all 9 essential amino acids, and electrolytes to help hydrate,• Lactose free and shelf stable,• 14 fl oz bottle,• Champion Your Recovery","Ultrafiltered Partly Skimmed Lactose Free Milk (partly Skimmed Milk, Vitamin A Palmitate, Vitamin D3, Lactase Enzyme), Alkalized Cocoa, Natural Flavour, Concentrated Monk Fruit Juice, Stevia Leaf Extract, Carrageenan, Cellulose Gel, Cellulose Gum, Maltodextrin, Acesulfame-potassium, Sucralose","Shake well.,Refrigerate after opening.",Contains milk.,,,,,,,,,
Ensure Vanilla Nutrition Shake,$18.39,$21.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1ae7c856-bbc7-4af9-80b5-4a241cc86f7b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_586f2412-939b-4431-888d-6acea83d496b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a8c3f1d-b4cc-42e6-a635-d4442f1528b1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_53f178ca-80b3-4846-8317-a0924acdd292.jpg 4x",Gluten Free,,"Ensure Plus nutrition shakes have 16 grams of protein and 27 vitamins and minerals. Ensure,Plus shakes are clinically proven to help people gain weight. They support immune health by,supplying protein, vitamins A and D, zinc, and vitamins C and E. These shakes are kosher, halal,,and suitable for lactose intolerance.*,* Not for people with galactosemia.","Water, Corn Maltodextrin, Sugar, Milk Protein Concentrate, Blend Of Vegetable Oils (canola, Corn), Soy Protein Isolate, Less Than 0.5% Of: Vitamins And Minerals,† Nonfat Milk, Natural And Artificial Flavors, Soy Lecithin, Cellulose Gel, Cellulose Gum, Salt, And Carrageenan, †vitamins And Minerals: Potassium Citrate, Magnesium Phosphate, Sodium Citrate, Potassium Chloride, Choline Chloride, Ascorbic Acid, Calcium Carbonate, Ferrous Sulfate, Dl-alpha-tocopheryl Acetate, Calcium Phosphate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Copper Sulfate, Riboflavin, Vitamin A Palmitate, Folic Acid, Potassium Iodide, Chromium Chloride, Sodium Selenate, Sodium Molybdate, Phylloquinone, Vitamin D₃ Biotin, Vitamin B₁₂","Shake well.,Serve cold.,Refrigerate after opening.",Contains milk and soy ingredients.,,,,,,,,,
"BOOST High Protein Nutritional Drink, Very Vanilla, 20 g Protein",,$13.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_68658329-b3ba-41c8-b59f-3773cabfbb61.jpg 4x,Gluten Free,,"100% More protein vs boost original (Boost High Protein Drink contains 20 g protein per serving compared to 10 g in Boost Original). Muscle health & energy (Boost High Protein Drink contains 20 g protein for muscle health and 250 nutrient-rich calories with B-vitamins to help convert food to energy). Immune support. Discover key nutrients found in Boost nutritional drinks to help support the immune system. Key nutrients for Immune Support: Vitamins C & D; Zinc, iron & selenium. Vitamins; Proteins; Minerals. Boost Nutritional drinks help you get more out of life today and tomorrow with tailored nutrition to help meet your needs. Sealed for freshness. Suitable for lactose intolerance. Balanced nutritional drink to help you be your best!","Water, Glucose Syrup, Milk Protein Concentrate, Soy Protein Isolate, Sugar, Canola Oil, And Less Than 2% Of Vitamins And Minerals++, Natural Flavor, Cellulose Gel And Gum, Salt, Soy Lecithin, Carrageenan, Stevia Leaf Extract, Steviol Glycosides",SHAKE WELL &amp; CHILL,Contains: milk and soy ingredients,,,,,,,,,
"BOOST High Protein Nutritional Drink, Rich Chocolate, 20 g Protein",,$13.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9d1687e4-a25e-42ba-86c7-c70012686390.jpg 4x,Gluten Free,,"Muscle health & energy (Boost High Protein Drink contains 20 g protein for muscle health and 250 nutrient-rich calories with B-vitamins to help convert food to energy). Key nutrients for immune support vitamins C & D, Zinc, Iron & Selenium. Immune Support: Discover key nutrients found in Boost Nutritional Drinks to help support the immune system. Boost Nutritional Drinks help you get more out of life today and tomorrow with tailored nutrition to help meet your needs. Vitamins; Protein; Minerals. Suitable for lactose intolerance. Balanced nutritional drink to help you be your best!","Water, Glucose Syrup, Milk Protein Concentrate, Soy Protein Isolate, Sugar, Canola Oil, And Less Than 2% Of Cocoa Processed With Alkali, Vitamins And Minerals,++ Cellulose Gel And Gum, Salt, Soy Lecithin, Carrageenan, Natural Flavor, Stevia Leaf Extract, Steviol Glycosides",SHAKE WELL &amp; CHILL,Contains: milk and soy ingredients,,,,,,,,,
Ensure Plus Nutrition Shake Milk Chocolate Ready-to-Drink Bottles,$18.39,$21.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_893ae37d-ec6d-4326-9047-03a02e05e34c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_db6e2b61-2a08-41ce-aafd-352135aba11a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b9cd22e-9599-4eb2-a6e5-4053fda2b50c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3fab849f-55e8-4b97-920d-6177674148bd.jpg 4x",Gluten Free,,"Ensure Plus nutrition shakes have 16 grams of protein and 27 vitamins and minerals. Ensure,Plus shakes are clinically proven to help people gain weight. They support immune health by,supplying protein, vitamins A and D, zinc, and vitamins C and E. These shakes are kosher, halal,,and suitable for lactose intolerance.*,* Not for people with galactosemia","Water, Corn Maltodextrin, Sugar, Milk Protein Concentrate, Blend Of Vegetable Oils (canola, Corn), Soy Protein Isolate, Cocoa Powder (processed With Alkali), Less Than 0.5% Of: Vitamin And Minerals,† Nonfat Milk, Natural And Artificial Flavors, Soy Lecithin, Cellulose Gel, Cellulose Gum, Salt, And Carrageenan, †vitamins And Minerals: Potassium Citrate, Sodium Citrate, Magnesium Phosphate, Potassium Chloride, Choline Chloride, Calcium Carbonate, Ascorbic Acid, Ferrous Sulfate, Dl-alpha-tocopheryl Acetate, Zinc Sulfate, Calcium Phosphate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Copper Sulfate, Riboflavin, Vitamin A Palmitate, Folic Acid, Potassium Iodide, Sodium Selenate, Sodium Molybdate, Phylloquinone, Vitamin D₃, Biotin, Vitamin B₁₂","Shake well.,Serve cold.,Refrigerate after opening.",Contains milk and soy ingredients.,,,,,,,,,
Ensure Plus Nutrition Shake Strawberry Ready-to-Drink Bottles,,$16.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3130b318-b585-4c25-822d-2b2e28423f36.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1381f90c-7381-421a-bfae-63ce1ca4f3a4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ec16e45c-ae2d-4e8b-958d-d824a7bb82e9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_847e18d9-72fa-4646-823c-cc96905206fc.jpg 4x",Gluten Free,,"Ensure Original nutrition shakes have 9 grams of protein and 27 vitamins and minerals. Ensure nutritional shakes have protein, vitamins A and D, zinc, and vitamins C and E that support immune health. These delicious flavored shakes are ready-to-drink, kosher, halal, and suitable for lactose intolerance.* Ensure is a great choice for you and the ones you care for.,* Not for people with galactosemia.","Water, Corn Maltodextrin, Sugar, Blend Of Vegetable Oils (canola, Corn), Milk Protein Concentrate, Soy Protein Isolate, Less Than 0.5% Of: Vitamins And Minerals,‡ Natural And Artificial Flavor, Nonfat Milk, Soy Lecithin, Cellulose Gel, Cellulose Gum, Carrageenan, Red 3, And Salt, ‡vitamins And Minerals: Potassium Citrate, Magnesium Phosphate, Sodium Citrate, Calcium Carbonate, Choline Chloride, Potassium Chloride, Ascorbic Acid, Ferrous Sulfate, Dl-alpha-tocopheryl Acetate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Calcium Phosphate, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Copper Sulfate, Riboflavin, Vitamin A Palmitate, Folic Acid, Chromium Chloride, Potassium Iodide, Sodium Selenate, Sodium Molybdate, Phylloquinone, Biotin, Vitamin D₃, Vitamin B₁₂","Shake well.,Serve cold.,Refrigerate after opening.",Contains milk and soy ingredients.,,,,,,,,,
Ensure Max Protein Nutrition Shake Milk Chocolate,,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c6626161-e95b-454c-a39e-57639a0321bd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4a0a1229-87aa-4a7a-820e-0b6487380f4a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5e925722-f3cf-42b2-993b-476542a95b04.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_49f239a3-cca0-486b-b648-72c12b9956a6.jpg 4x",Gluten Free,,"Ensure Max Protein shakes have 30g of high-quality protein to help support muscle health and manage hunger. These convenient ready to drink protein shakes have 25 essential vitamins and minerals, including antioxidants (vitamins C & E and selenium) to support immune health, calcium, and vitamin D to support bone health, B12 and folate for brain health, and 8 essential B vitamins to help convert food to energy.,Ensure Max Protein shakes are also prepared with a 4g fiber blend with 1g of prebiotic fiber to support digestive health. Available in 7 delicious varieties, including 2 with caffeine,* you’re sure to find your favorite flavor. From Ensure, the #1 doctor-recommended brand.† This product is gluten-free and suitable for lactose intolerance.‡,* 8 fl oz (1 cup) of coffee = 100 mg caffeine.,† Among doctors who recommend liquid nutritional products to their patients.,‡ Not for people with galactosemia.","Water, Milk Protein Concentrate, Calcium Caseinate, Cocoa Powder (processed With Alkali), Less Than 0.5% Of: Vitamins And Minerals,† Soluble Corn Fiber, Short-chain Fructooligosaccharides, Natural And Artificial Flavor, High Oleic Sunflower Oil, Salt, Cellulose Gel, Acesulfame Potassium, Cellulose Gum, Sucralose, And Carrageenan, †vitamins And Minerals: Magnesium Phosphate, Sodium Ascorbate, Potassium Phosphate, Sodium Phosphate, Choline Chloride, Potassium Hydroxide, Zinc Sulfate, Dl-alpha-tocopheryl Acetate, Ferrous Sulfate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Copper Sulfate, Thiamine Hydrochloride, Pyridoxine Hydrochloride, Riboflavin, Vitamin A Palmitate, Folic Acid, Phylloquinone, Sodium Molybdate, Potassium Iodide, Sodium Selenate, Vitamin D₃, Biotin, Vitamin B₁₂","Shake well.,Serve cold.,Refrigerate after opening.",Contains milk ingredients.,,,,,,,,,
