Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free
Coca-Cola Cola Soda Pop Bottle,,$3.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ddf3000e-dfb9-44db-b2b8-e26a6d0ce42c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7957786b-61fd-4cc3-91af-5245ad32acd6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_211c66bc-0cb7-41b4-a598-53252f3e1e3e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_52c0ef3d-2b32-408c-af7d-25caab3571df.jpg 4x","There's nothing quite like the crisp, refreshing taste of an ice-cold Coca-Cola. Carefully crafted in 1886, Coca-Cola's great taste has stood the test of time. This soda is the perfect companion for both special moments and everyday enjoyment.,Each sip of Coca-Cola's signature taste brings a smile. This refreshing soft drink is meant to be enjoyed anytime, anywhere, making life's moments more magical. Coca-Cola's secret formula has been carefully crafted to create a taste experience like no other. The familiar fizz and caffeine give you an instant ""ahh"" moment with every sip.,Pop open a Coca-Cola and drink in the moments that make life special. Whether spending time with loved ones or taking a quick break to recharge, Coca-Cola makes the ordinary extraordinary. Refreshing the world for over 130 years, Coca-Cola continues to bring people together and spread optimism wherever it goes. Find your magic and make life delicious with an ice-cold Coca-Cola.,• Coca-Cola Original Taste — the crisp, refreshing taste you know and love,• Coke, making life magic since 1886,• Enjoy delicious and refreshing Coca-Cola sodas to refresh your day.,• 57 mg of caffeine in each 20 fl oz serving,• 20 fl oz bottle of Coca-Cola","Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine",{},,,
"Coca Cola Zero Sugar Cola, Zero Sugar",$3.49,$3.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1ed6ab20-fab9-4a15-b180-0ca09f22c06f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d9e6038-940c-4c5f-9ea4-92d52de9faa3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a47d08d5-9795-4fd8-9b39-9c0c677cd3ba.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9f7ac2b5-2121-4d38-9c43-f0477e1a1e2b.jpg 4x","There's nothing quite like the crisp, refreshing taste of an ice-cold Coca-Cola Zero Sugar. With this zero sugar soda, you can enjoy the same great Coca-Cola taste, with zero sugar and zero calories. However you choose to enjoy it, this delicious soft drink elevates life's sweetest moments and makes them even better (without the sugar).,Delicious and refreshing, Coca-Cola Zero Sugar is meant to be enjoyed anytime, anywhere. This zero-sugar cola's secret formula has been carefully crafted to create a no-sugar taste experience like no other. The familiar fizz and caffeine give you a moment of refreshment with every sip.,Pop open a Coca-Cola Zero Sugar to make great taste a part of every day. Whether spending time with friends and family or taking a quick break to recharge, Coke Zero provides the great Coca-Cola taste you love without the sugar. Find your magic and make life delicious with an ice-cold Coca-Cola Zero Sugar.,• Enjoy the great taste of Coca-Cola with zero sugar, zero calories.,• This zero sugar soda offers the uplifting Coca-Cola taste you love without the calories.,• Delicious and refreshing, Coke Zero soft drinks refresh your day.,• 57 mg caffeine in each 20 fl oz serving,• 20 fl oz bottle of Coca-Cola Zero Sugar","Carbonated Water, Caramel Color, Phosphoric Acid, Aspartame, Potassium Benzoate (to Protect Taste), Natural Flavors, Potassium Citrate, Acesulfame Potassium, Caffeine",{},Phenylketonurics: contains phenylalanine,,
Sprite Lemon Lime Soda Soft Drink,,$3.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5bb1d9d1-fc64-4a93-9161-4da34106451a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40b09d4e-66ac-4709-9eea-cfdd77babd32.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_917bd93a-942c-4480-a17c-51fb952d2c87.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f625a29b-e413-4859-96af-19ce14301cd0.jpg 4x","Designers, artists, musicians, athletes. Tastemakers, changemakers and trend-setters. They’ve all got something in common—a thirst. For cutting through the noise with a perspective all their own. And Sprite helps them quench that thirst.,It’s a one-of-a-kind, citrus soda that’s got a lemon-lime flavor made with cut through refreshment, making sure you’re ready to leave your mark.,How? By keeping it real. Just like you do, an iconic flavor, and whatever you can think of next. It’s all you need to pursue your passions—a moment to take a sip, refresh your senses, and get back to pushing the boundaries wherever you go.,Sprite has been the clear choice for lemon-lime soda lovers since 1961. It’s made with 100% natural flavors and comes in a variety of sizes and flavors, leaving something for everyone.,So, pick up a a 20oz bottle of caffeine-free Sprite soda today and make your mark.,• Quench your thirst with refreshing Sprite soda,• Clear, crisp lemon-lime soda will keep you invigorated and inspired,• A delicious citrus taste that knows how to keep things cool,• Caffeine-free, full of 100% natural flavors,• 20 fl oz bottle to help you cut through the noise","Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Benzoate (to Protect Taste)",{},,,
Coca-Cola Coke Fridge Pack,,$15.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b3757b6d-4b93-4d85-a783-bf2439a2a860.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0908731b-07e2-44c4-96c6-618f834c28a1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_edcbeda3-d237-4104-8cf7-0a17fd11660b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_de9203fd-8957-41c1-9585-46045d26ce9d.jpg 4x","There's nothing quite like the crisp, refreshing taste of an ice-cold Coca-Cola. Carefully crafted in 1886, Coca-Cola's great taste has stood the test of time. This soda is the perfect companion for both special moments and everyday enjoyment.,Each sip of Coca-Cola's signature taste brings a smile. This refreshing soft drink is meant to be enjoyed anytime, anywhere, making life's moments more magical. Coca-Cola's secret formula has been carefully crafted to create a taste experience like no other. The familiar fizz and caffeine give you an instant ""ahh"" moment with every sip.,Pop open a Coca-Cola and drink in the moments that make life special. Whether spending time with loved ones or taking a quick break to recharge, Coca-Cola makes the ordinary extraordinary. Refreshing the world for over 130 years, Coca-Cola continues to bring people together and spread optimism wherever it goes. Find your magic and make life delicious with an ice-cold Coca-Cola.,• Coca-Cola Original Taste — the crisp, refreshing taste you know and love,• Coke, making life magic since 1886,• Enjoy delicious and refreshing Coca-Cola sodas to refresh your day.,• 34 mg of caffeine in each 12 fl oz serving,• 12 pack, 12 fl oz cans of Coca-Cola","Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffine",{},,,
Diet Coke Diet Cola Soda Pop Bottle,,$3.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d75ca627-23cf-4f60-98a9-5e9b80f9c692.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_af052a09-d951-4927-ba74-3aa869311ffe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b3c9abc2-1dde-415b-ab9b-d560c5a8f02c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_21886fa3-4932-44fd-ad91-2d2c51046feb.jpg 4x","Enjoy a break with the one and only Diet Coke. This diet soda is your perfect no-sugar, no-calorie companion. With its bold taste, Diet Coke is an everyday hero when it comes to refreshing your day.,Diet Coke's distinctive taste comes from its blend of flavors and the fizz of carbonation, all without the calories. Whether you're looking for some me time or just want to brighten your day, this everyday go-to is the perfect companion.,Every sip of Diet Coke delivers the same great taste that's delighted fans for years. A trusted soft drink for over four decades, Diet Coke helps you make the most of any occasion. With each sip of its bold taste, you'll find your ""ahh"" moment. So when you want a sugar-free soda that doesn't sacrifice on taste, open happiness and reach for a Diet Coke.,• Crisp and refreshing soda with no sugar and no calories to refresh your day,• Enjoy the great taste of Diet Coke, a diet cola that has no sugar and no calories.,• Take a Diet Coke break with this refreshing, no-calorie soft drink.,• 76.7 mg of caffeine in each 20 fl oz serving,• 20 fl oz bottle of Diet Coke","Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate (to Protect Taste), Natural Flavors, Citric Acid, Caffeine",{},Phenylketonurics: contains phenylalanine,,
Pepsi Soda,,$4.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ddbce3bc-d8cd-4817-8623-326f48419539.png 4x,"Pepsi - the bold, refreshing, robust cola. Live For Now.,• Original Pepsi cola,• Live for now,• 20 oz bottle","Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor",{},,,
Diet Coke Soda,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2f22f6c2-3b11-44ea-b10b-9159df2e6c19.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19f43786-3f29-4226-b4b7-99f1dbdc1949.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_191ac095-8052-4c7d-8103-2bc09ff83d25.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d8d544bc-b9a7-4f3f-bf24-74ad5e48256b.jpg 4x","Enjoy a break with the one and only Diet Coke. This diet soda is your perfect no-sugar, no-calorie companion. With its bold taste, Diet Coke is an everyday hero when it comes to refreshing your day.,Diet Coke's distinctive taste comes from its blend of flavors and the fizz of carbonation, all without the calories. Whether you're looking for some me time or just want to brighten your day, this everyday go-to is the perfect companion.,Every sip of Diet Coke delivers the same great taste that's delighted fans for years. A trusted soft drink for over four decades, Diet Coke helps you make the most of any occasion. With each sip of its bold taste, you'll find your ""ahh"" moment. So when you want a sugar-free soda that doesn't sacrifice on taste, open happiness and reach for a Diet Coke.,• Crisp and refreshing soda with no sugar and no calories to refresh your day,• Enjoy the great taste of Diet Coke, a diet cola that has no sugar and no calories.,• Take a Diet Coke break with this refreshing, no-calorie soft drink.,• 46 mg of caffeine in each 12 fl oz serving,• 12 pack, 12 fl oz cans of Diet Coke","Carbonated Water, Caramel Color, Phosphoric Acid, Calcium Saccharin, Potassium Benzoate (to Protect Taste), Natural Flavors, Citric Acid, Caffeine, Aspartame",{},Phenylketonurics: contains phenylalanine,,
Sprite Lemon-Lime Fridge Pack Soda,,$15.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bb658d77-244a-49da-96d5-d6a395015a54.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bf556cd9-d3a4-49f2-a340-c334fa804205.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_49068f3f-bec1-4149-8aed-32f180bd6abf.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_928dff33-ddb1-4c6b-bf0c-00d5afe820ce.jpg 4x","Designers, artists, musicians, athletes. Tastemakers, changemakers and trend-setters. They’ve all got something in common—a thirst. For cutting through the noise with a perspective all their own. And Sprite helps them quench that thirst.,It’s a one-of-a-kind, citrus soda that’s got a lemon-lime flavor made with cut through refreshment, making sure you’re ready to leave your mark.,How? By keeping it real. Just like you do, an iconic flavor, and whatever you can think of next. It’s all you need to pursue your passions—a moment to take a sip, refresh your senses, and get back to pushing the boundaries wherever you go.,Sprite has been the clear choice for lemon-lime soda lovers since 1961. It’s made with 100% natural flavors and comes in a variety of sizes and flavors, leaving something for everyone.,So, pick up a 12oz can 12 pack of caffeine-free Sprite soda today and make your mark.,• Quench your thirst with refreshing Sprite soda,• Clear, crisp lemon-lime soda will keep you invigorated and inspired,• A delicious citrus taste that knows how to keep things cool,• Caffeine-free, full of 100% natural flavors,• 12 fl oz can 12 pack to help you cut through the noise","Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Benzoate (to Protect Taste)","Store product in a cool, dry place off of the floor. Protect from freezing.",,,
Coca Cola Zero Sugar Cola,,$13.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b46bf74-7de2-4163-86a0-17321eba123d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_86469a48-d21a-4dac-b84c-a6c4dd59ba1f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3bcfd91c-8328-4ca7-87f8-10f0ff59ca4b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a88c5d2e-45fc-472f-9d52-a0221d4e7028.jpg 4x","There's nothing quite like the crisp, refreshing taste of an ice-cold Coca-Cola Zero Sugar. With this zero sugar soda, you can enjoy the same great Coca-Cola taste, with zero sugar and zero calories. However you choose to enjoy it, this delicious soft drink elevates life's sweetest moments and makes them even better (without the sugar).,Delicious and refreshing, Coca-Cola Zero Sugar is meant to be enjoyed anytime, anywhere. This zero-sugar cola's secret formula has been carefully crafted to create a no-sugar taste experience like no other. The familiar fizz and caffeine give you a moment of refreshment with every sip.,Pop open a Coca-Cola Zero Sugar to make great taste a part of every day. Whether spending time with friends and family or taking a quick break to recharge, Coke Zero provides the great Coca-Cola taste you love without the sugar. Find your magic and make life delicious with an ice-cold Coca-Cola Zero Sugar.,• Enjoy the great taste of Coca-Cola with zero sugar, zero calories,• This zero sugar soda offers the uplifting Coca-Cola taste you love without the calories,• Delicious and refreshing, Coke Zero soft drinks refresh your day,• 34 mg of caffeine in each 12 fl oz serving,• 12 pack, 12 fl oz cans of Coca-Cola Zero Sugar","Carbonated Water, Caramel Color, Phosphoric Acid, Aspartame, Potassium Benzoate (to Protect Taste), Natural Flavours, Potassium Citrate, Acesulfame Potassium, Caffeine",{},Phenylketonurics: contains phenylalanine,,
"Mountain Dew Soda, Citrus",,$3.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1a64203e-ecb0-4ae3-af4e-d9490678eedb.jpeg 4x,"All the great, exhilarating taste of Mountain Dew, without the calories. The only diet with dew In it.,• Low calorie dew,• Intense refreshment,• Do the dew,• 20 oz bottle","Carbonated Water, Concentrated Orange Juice, Citric Acid, Natural Flavor, Potassium Benzoate (preserves Freshness), Citrus Pectin, Aspartame, Potassium Citrate, Caffeine, Sodium Citrate, Acesulfame Potassium, Sucralose, Gum Arabic, Sodium Benzoate (preserves Freshness), Calcium Disodium Edta (to Protect Flavor), Yellow 5.",Best served chilled.,Phenylketonurics: contains phenylalanine.,,
