Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free
"Pure Leaf Iced Tea, Sweet Tea",$3.09,$3.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_978220c5-61b0-4eb9-95a3-122c0e5d6a9b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1ff517c7-c130-4fe5-bf5c-fd6d41de25a0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dafff19e-0fef-4dfe-afe0-d83a9c67ebe2.png 4x","Congratulations! You just picked real brewed iced tea, which means it's brewed from REAL tea leaves picked at their freshest, never from powder or concentrate (like some other iced teas). Plus, it's sweetened with real sugar, with no added color. So, enjoy the delicious and refreshing taste of tea, brewed for you by Pure Leaf. To learn more about Pure Leaf go to www.pureleaf.com,• Brewed from real tea leaves picked at their freshest, never from powder or concentrate,• Sweet Tea,• No Artificial Sweeteners,• 18.5 oz bottle","Brewed Black Tea, Sugar, Citric Acid.",Refrigerate after opening.,,,
"Pure Leaf Iced Tea, Unsweetened Black Tea",$2.89,$3.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c2cc9add-d0d2-4661-a44e-8ee173fb6176.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3acb28a7-fe04-440e-b0ea-0f52c4c4b27a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_550898b8-2335-4659-8a6b-eb72a35c7835.png 4x","Congratulations! You just picked a real brewed iced tea, which means it's brewed from REAL tea leaves picked at their freshest, never from powder or concentrate (like some other iced teas). Plus, there is no sugar, so you get to enjoy the pure, delicious and refreshing taste of tea, brewed for you by Pure Leaf. To learn more about Pure Leaf go to www.pureleaf.com,• Brewed From Real Leaves,• Never From Powder,• No Sugar,• Real Brewed Tea","Brewed Black Tea, Citric Acid.",Refrigerate after opening.,,,
"AriZona Green Tea, with Ginseng and Honey",$6.09,$7.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0753248d-8408-45fd-b68e-a38556a3b1bb.jpeg 4x,"AriZona Green Tea with Ginseng and Honey.,128 FL.OZ. (1 GAL.) - 3.78 L.","Premium Brewed Green Tea Using Filtered Water, High Fructose Corn Syrup (glucose-fructose Syrup), Honey, Citric Acid, Natural Flavor, Ginseng Extract, Ascorbic Acid (vitamin C).","Shake well.,Refrigerate after opening.",Produced with genetic engineering.,,
"AriZona Iced Tea & Lemonade, Half and Half, Lite",$6.09,$7.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_32ba8607-65c2-4eab-9660-7336ab97cc73.jpeg 4x,No artificial flavor. 1/3 less calories than Arnold Palmer. Per 12 oz. Serving: Arnold Palmer Lite: 80 calories. Arnold Palmer: 120 calories. Antiox: Vitamin C fortified. Seven major champion Arnold Palmer bids farewell from the Swilcan Bridge at the 1995 British open. An American company family owned & operated. No preservatives. No artificial color. drinkarizona.com. arnoldpalmer.com. Facebook. Instagram. Twitter. For more information about AriZona call 1-800-832-3775.,"Premium Brewed Blend Of Black Teas Using Filtered Water, High Fructose Corn Syrup (glucose-fructose Syrup), Pear Juice From Concentrate, Lemon Juice From Concentrate, Citric Acid, Ascorbic Acid (vitamin C), Natural Flavors, Sucralose Acesulfame Potassium, Gum Acacia, Ester Gum","Shake well.,Refrigerate after opening.",,,
"Pure Leaf Iced Tea, Lemon",,$3.07," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_977b1f47-73dc-4714-8e59-535592964e51.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_60945d45-0ec2-4c41-8940-33bb50edd77c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_458d60fb-4716-497d-9aba-45abfe7cda09.png 4x","Congratulations! You just picked real brewed iced tea, which means it's brewed from REAL tea leaves picked at their freshest, never from powder or concentrate (like some other iced teas). Plus, it's sweetened with real sugar, with no added color. So, enjoy the delicious and refreshing taste of tea, brewed for you by Pure Leaf. To learn more about Pure Leaf go to www.pureleaf.com,• Brewed From Real Leaves,• Never From Powder,• No Artificial Sweeteners","Brewed Black Tea*, Sugar, Citric Acid, Natural Flavor, Citrus Pectin.",Refrigerate after opening.,,,
"Pure Leaf Iced Tea, Extra Sweet",,$3.07," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c98f62d8-8e4a-4105-bb50-5f18ab11f478.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f1a9c74-0f0e-4cfd-b541-81b49eb95fbb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b9b59f6-5a06-42eb-9d83-1dac1a90f84d.png 4x","Iced tea brewed from real leaves. Starting from fresh picked leaves and sweetened with real sugar for a delicious, fresh brewed taste with a layer of extra sweetness.","Brewed Black Tea*, Sugar, Citric Acid.",Refrigerate after opening.,,,
Celestial Seasonings Sleepy Time Tea,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b63e4fd1-ccc3-4454-a51a-4bb803891c1f.png 4x,"Blending herbs, art and inspiration. Blendmaster's Notes: Sleepytime: This most beloved of herbal teas gets its comforting aroma and perfectly balanced flavor from a blend of soothing herbs, including delicate chamomile, cool spearmint and fresh lemongrass. Wind down your day with Sleepytime tea! Charlie Baden, Celestial Seasonings Blendmaster. The Story Of Celestial Seasonings: Back in 1969, we started picking herbs from the fields and forests of the rocky mountains and in the process, we created America's very first herbal tea. Still blended in Boulder by our expert blendmaster, our uniquely delicious teas are made with the finest ingredients, passion and inspiration. There is nothing like staying at home for real comfort. - Jane Austen.","Chamomile, Spearmint, Lemongrass, Tilia Flowers, Blackberry Leaves, Orange Blossoms, Hawthorn, Rosebuds",{},,Gluten Free,
Lipton Black Tea Bags,,$7.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_06c3c497-8a17-4555-add1-9e7f9ab57065.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e9845e4-9c7e-4496-821c-bf158aca6b17.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27cc5b40-8239-46f3-91a6-fa84ee31c235.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4992e977-bdc9-4935-8b4a-0cf5ecd566e7.jpg 4x","Our Master Blenders Have Crafted The Ultimate Black Tea Blend, Made To Capture A Pure, Natural Tea Taste To Enjoy Anytime. The Bold, Smooth Flavor Of Lipton Black Tea Comes From Tea Leaves Picked Right When They’Re Freshest, Then Carefully Pressed To Capture The Tea’S Natural Taste And Rich Aroma For A One-Of-A-Kind Tea Experience. Lipton Black Tea Is Made From Real Tea Leaves Blended To Be Equally Delicious Whether Enjoyed Hot And Invigorating Over Breakfast Or Iced For A Refreshing Sip With Your Next Snack Break Or Backyard Get Together With Friends.,As You Sip, Enjoy Knowing Lipton Black Tea Is Rainforest Alliance Certified, Helping To Support Sustainable Farm Practices And Farmers Around The World. It’S Also A Delicious Way To Love Your Heart, Since Drinking Unsweetened Black Tea Can Help Support A Healthy Heart As Part Of A Healthy, Balanced Diet*. Daily Consumption Of 2-3 Eight Fluid-Ounce Cups Of Lipton Unsweetened Black Tea Provides Your Body With Naturally Occurring Flavonoids, Which Can Help Support Healthy Blood Circulation Essential For Heart Health. Each Box Comes With Tea Bags Tucked Into Tea Trays To Help Preserve Their Fresh Taste And Bold Aroma, And With 100 Tea Bags In Each Box, You’Ll Always Have Your Favorite Tea On Hand. For Your Next Cup Of Tea, Discover The Lipton Difference And Treat Yourself To The Superior Taste Of Fresh-Brewed Lipton Black Tea. We Want Every Cup Of Tea To Brighten Your Day. *Unsweetened Lipton Black Tea Contains About 170Mg Of Flavonoids Per Serving, No Calories, No Added Sugars, And Is 99.5% Water.",Orange Pekoe And Pekoe Cut Black Tea.,null,,,
Bigelow Cozy Camomile Herb Tea,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4078a9a4-4afb-4cde-809d-ef130b510251.png 4x,"Chamomile is good for you, both soothing and relaxing. No better way to wind down. What makes Bigelow taste so special is that we use the whole chamomile flower, carefully picked so you get a much sweeter, rounder, flavorful experience… enjoy! Caffeine Free",Chamomile Flowers,"How to Make a Perfect Cup: Start with fresh cold water and bring to a rolling boil. Pour over tea bags, steep for 4 minutes (or whatever time you like), remove bag.",,Gluten Free,
Bigelow Green Tea,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_02127496-fc6f-4e88-a30d-96444125ff7b.png 4x,"Family tea blenders since 1945. Our signature green blend enlivens the earthy flavors of this delicate tea. All natural. Unlock the freshness. Here's the Key: We use a special foil pouch to protect your tea from any air, moisture and surrounding aromas. So open and enjoy the unparalleled flavor, freshness, aroma of Bigelow tea everywhere you go! Ethical Tea Partnership. It's easy being green Here at Bigelow Tea our commitment to the environment is a top priority! Did you know? All three of our manufacturing facilities have composting and recycling programs as well as dedicated teams focused on greening and sustainability. We are a 'zero waste to landfill' company which means all our material is either reclaimed, reused or recycled. Approximately 900 solar panels have been installed at our headquarters - we get 15-20% of our energy directly from the sun! The Bigelow family.",Green Tea,"2 steps to a great cup: Be sure to start with fresh cold water and bring to a rolling boil. Pour over tea bag, steep for 3 minutes (or whatever time you like), remove bag (but no squeezing please!). For iced tea by the glass: steep a little longer. Pour over ice.",,Gluten Free,
