Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Soy Free,"Quench your thirst and keep your little ones hydrated with Pure life Purified Water, No Added Fluoride. With no artificial colors or flavors and zero calories, each drop is trustworthy from collection to testing, ensuring your baby is getting the quality they deserve. This baby water is enhanced with minerals for a crisp taste and can be handy for many uses. Mix it with infant formula, cereal or to dilute juice. And because it contains no added fluoride or unwanted ingredients, you can trust every sip. Contains (1) 1-gallon jug of Pure life Purified Water. Order now on Instacart for same-day delivery or pickup!",Treenut Free
smartwater Smartwater,,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_63fd7909-247f-401d-aef2-9976254c0b58.png 4x,"every drop of smartwater tastes pure and will leave you feeling refreshed. it’s everything you want from a bottled water—whether you’re on the move, working out or need a quiet moment for yourself, it’s a perfect way to satisfy your thirst and help you stay hydrated.,each drop of smartwater is purified through vapor distillation, a process inspired by the clouds. that means nothing’s added except electrolytes for taste. a purely balanced pH and a pure flavor make it a smart way to hydrate throughout the day.,no matter what it is that makes smartwater so satisfying, you can bet on every sip tasting pure and crisp, helping you stay hydrated and refreshed.,for a sip of something different, smartwater comes in a variety of flavor options including cucumber lime and watermelon mint, each delicately infused with natural flavors. smartwater also comes in sparkling, alkaline and antioxidant variations for every need. this way, you can enjoy something a little different without losing that pure, crisp taste you love.,smartwater—a smart way to hydrate.,• Pure, vapor-distilled water,• Premium bottled water with added electrolytes for a pure, crisp taste,• Refreshing hydration at the office, on your commute or anywhere you need to take a beat to recharge,• 100% recyclable bottle,• 33.8 fl oz bottle","Vapor Distilled Water, Calcium Chloride And Magnesium Chloride And Potassium Bicarbonate (electrolyte Sources*)",{},,,,,,
"Aquafina Drinking Water, Purified",,$4.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_25fb8010-59b0-4a6d-9135-074637ae9a82.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2348a333-8896-41c2-8e16-c2bf21bcfd37.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_42f50a89-5f37-4c3c-9271-e69e3c579296.png 4x","Fresh and pure, Aquafina is the perfect companion for happy bodies everywhere.,• Pure water, perfect taste,• Purified through a rigorous, seven-step process called HydRO-7,• Aquafina originates from public water sources and then purified,• 20 Fl Oz plastic bottle",Purified Water.,{},,,,,,
DASANI Purified Bottled Water,,$2.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_523ec6c5-8564-4ac4-8aa6-ba76771ea3c8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_954d4ad0-7590-4d56-8837-ff53d035572f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_29416b71-00ca-410f-8616-7ce1b233ca6e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4bf53a1d-b128-4f11-b53d-94e8eb8041d0.jpg 4x","Savor the refreshing taste of Dasani purified water for all of life's thirst-worthy moments. Dasani water has just the right balance of minerals for a crisp, pure taste, and we've removed the salt. Each sip of our clean, fresh bottled water undergoes a meticulous reverse osmosis filtration process before arriving in your hands.,Reaching for Dasani also creates less waste. Our bottles are crafted from 100% recycled materials, excluding the label and cap, encouraging you to refresh, enjoy, and then recycle, continuing the journey of renewal.,Dasani is your perfect choice no matter the day ahead. Whether you're powering through work, enjoying a picnic, hitting the gym, running errands, or setting out on a road trip, Dasani is ready to quench your thirst. Every bottle of water is a burst of refreshment that's just a twist away—perfect for the home, office, or on the move.,Indulge in the pure, refreshing taste of Dasani drinking water. It's the ideal choice for all of life's thirst-worthy moments, ready to enjoy anytime, anywhere.,• Enhanced with minerals for a crisp, clean and fresh taste.,• Bottle made from 100% recycled material, excluding label and cap.,• Refreshing hydration on the go for all of life’s thirst-worthy moments.,• Purified water using reverse osmosis filtration process,• 20 fl oz bottle of Dasani Purified Water","Purified Water, Magnesium Sulfate*, Potassium Chloride*, Salt*, *minerals Added For Taste",{},,,,,,
vitaminwater Dragonfruit Power C Water,,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_66498c8d-47dd-4018-827c-b28aac08ee43.png 4x,"sometimes life just needs a little flavor. vitaminwater power-c, dragonfruit is here to remind you of the simple joys. packed with vitamin c and zinc to help support immune function, this flavored-water beverage is more than just a drink. it's the perfect-tasting bottled-water beverage, making your everyday routine a bit more enjoyable.,let's face it, we all need a little support sometimes. your drinks don't have to be boring, and with vitamins c, b5, b6 and b12, and antioxidant vitamin c, this one's got a lot going for it. it's like a vacation in a bottle without the need for sunscreen. grab a vitaminwater power-c, dragonfruit, bottled-water beverage for exotic, great-tasting deliciousness on the go.,so take a break from your everyday grind, sip on some bottled vitaminwater power-c, dragonfruit, and remember what it's like to enjoy the little things in life. with 100 calories per 20 oz bottle and the bold taste of dragonfruit, hydration has never been this fun.,• vitamin c & zinc to help support immune function, plus deliciousness packed in,• vitamins c, b5, b6, b12, zinc, and chromium,• 200% antioxidant vitamin c & 25% zinc and 100 calories per 20 fl oz bottle,• dragonfruit-flavored, radically delicious and nutrient-enhanced water beverage,• 20 fl oz bottle of vitaminwater power-c, dragonfruit","Reverse Osmosis Water, Crystalline Fructose, Less Than 1% Of: Cane Sugar, Vitamins C, B5, B6, B12 (ascorbic Acid, Calcium Pantothenate, Pyridoxine Hydrochloride, Cyanocobalamin), Electrolytes (calcium And Magnesium Lactate And Potassium Phosphate), Taurine, Citric Acid, Vegetable Juices (for Color, Natural Flavors, Zinc Gluconate, Chromium Polynicotinate.",{},,,,,,
"Sparkling Ice® Black Raspberry Sparkling Water, Zero Sugar",$1.49,$1.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d5c957d7-185a-419f-ac22-2b9e38930e2b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a862731d-67a9-43f2-80c7-cd33201a1a07.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_11be27cf-3218-4b62-928d-d9d63cb6431b.png 4x","Sparkling Ice is a fizzy and flavorful sparkling water without all the calories. This popular, succulent flavor makes for one sweet experience. We call it Black Raspberry, but you can call it delicious.,• No Sugar,• Kosher,• Low Calorie,• Caffeine Free","Carbonated Water, Natural Flavors, Malic Acid, Vegetable Juice (for Color), Blackberry Juice Concentrate, Potassium Benzoate (to Ensure Freshness), Sucralose, Gum Arabic, Green Tea Extract, Retinol (vitamin A), Niacinamide (vitamin B3), Calcium Pantothenate (vitamin B5), Cholecalciferol (vitamin D3), Biotin, Cyanocobalamin (vitamin B12), Pyridoxine Hydrochloride (vitamin B6)","As in life, chill for best results.,Refrigerate after opening.",,,,,,
smartwater Glacéau Water,$2.29,$3.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_307cb545-674d-428f-87fd-be0945885d76.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_10ddca43-4d61-4129-ad76-e965407ee2dc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7a76476c-0a7d-45b5-9f49-ab58e817ebd1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_54f4cd72-ba88-488c-8774-22392b90c376.jpg 4x","every drop of smartwater tastes pure and will leave you feeling refreshed. it’s everything you want from a bottled water—whether you’re on the move, working out or need a quiet moment for yourself, it’s a perfect way to satisfy your thirst and help you stay hydrated.,each drop of smartwater is purified through vapor distillation, a process inspired by the clouds. that means nothing’s added except electrolytes for taste. a purely balanced pH and a pure flavor make it a smart way to hydrate throughout the day.,no matter what it is that makes smartwater so satisfying, you can bet on every sip tasting pure and crisp, helping you stay hydrated and refreshed.,for a sip of something different, smartwater comes in a variety of flavor options including cucumber lime and watermelon mint, each delicately infused with natural flavors. smartwater also comes in sparkling, alkaline and antioxidant variations for every need. this way, you can enjoy something a little different without losing that pure, crisp taste you love.,smartwater—a smart way to hydrate.,• Pure, vapor-distilled water,• Premium bottled water with added electrolytes for a pure, crisp taste,• Refreshing hydration at the office, on your commute or anywhere you need to take a beat to recharge,• 100% recyclable bottle,• 23.7 fl oz bottle","Vapor Distilled Water, Calcium Chloride And Magnesium Chloride And Potassium Bicarbonate (electrolyte Sources*), *electrolytes Added For Taste",{},,,,,,
vitaminwater XXX Acai Blueberry Pomegranate,,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67fd6e9f-9c5a-4086-8815-690c7cb8da3c.png 4x,"listen, life can be chaotic, right? you wake up and face the daily grind, only to realize you've left your calm somewhere between your third cup of coffee and that email you forgot to send. maybe it's time to take a break with vitaminwater xxx, açai-blueberry-pomegranate. it's more than a bottled-water beverage. it's packed with essential vitamins and three types of antioxidants.,it's got antioxidant selenium, antioxidant vitamin a, and antioxidant vitamin c. sounds complicated, but all you really need to know is that it tastes great. vitaminwater xxx nutrient-enhanced water beverage is here for you whether you're on the go or you're just trying to survive your day. with 100 calories per 20 oz bottle and the vibrant taste of açai-blueberry-pomegranate, hydrating drinks have never been this fun.,grab a bottle, find a quiet corner (or at least a slightly less noisy one), and enjoy a moment of zen with vitaminwater. simple enjoyments are the flavor of life after all.,• three types of antioxidants, plus deliciousness packed in,• 200% antioxidant vitamin c,• 50% antioxidant selenium and 40% antioxidant vitamin a and 100 calories per 20 fl oz bottle,• açai-blueberry-pomegranate flavored, radically delicious and nutrient-enhanced water beverage,• 20 fl oz bottle of vitaminwater xxx, açai-blueberry-pomegranate","Reverse Osmosis Water, Crystalline Fructose, Less Than 0.5% Of: Vitamins A, C, B3, B5, B6, B12 (beta-carotene, Ascorbic Acid, Niacinamide, Calcium Pantothenate, Pyridoxine Hydrochloride, Cyanocobalamin), Sodium Selenate, Manganese Citrate, Electrolytes (magnesium And Calcium Lactates And Potassium Phosphate), Cane Sugar, Citric Acid, Gum Acacia, Natural Flavors, Fruit And Vegetable Juices (for Color)",{},,,,,,
vitaminwater Energy Tropical Citrus Water,,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_26beac90-3d7f-4eac-9338-022d73a65403.png 4x,"life's a whirlwind. you're running around, trying to keep up with everything, and you need a partner. that's where vitaminwater energy, tropical citrus comes in. it's a water beverage with a twist of tropical citrus flavor that makes you feel like you're on a mini vacation. hey, we all need a break, don't we?,this isn't just a flavored-water beverage, it's your trusty sidekick packed with vitamins b3, b5, b6, and b12. and let's not forget the 60mg of caffeine. while you're staying refreshed, you're also getting some extra essential vitamins. it's like multitasking but way more enjoyable. with 100 calories per 20 oz bottle and the vibrant taste of tropical citrus, hydration has never been this fun.,imagine this: you're on the go, tackling the day like a pro, and bam, you take a sip of vitaminwater energy. suddenly, that taste turns mundane moments into ones that aren't so mundane anymore. vitaminwater energy is your go-to for great taste and vitamins you can drink up. simple enjoyments, right? well, that's the flavor of life with vitaminwater.,• 60mg caffeine, plus deliciousness packed in,• vitamins, electrolytes and a boost of caffeine,• 100% vitamins b3, b5, b6, b12 and 100 calories per 20 fl oz bottle,• tropical citrus-flavored, radically delicious and nutrient-enhanced water beverage,• 20 fl oz bottle of vitaminwater energy, tropical citrus","Reverse Osmosis Water, Crystalline Fructose, Less Than 0.5% Of: Vitamins C, B3, B5, B6, B12 (ascorbic Acid, Niacinamide, Calcium Pantothenate, Pyridoxine Hydrochloride, Cyanocobalamin), Electrolytes (calcium And Magnesium Lactates And Potassium Phosphate), Guarana Seed Extract, Caffeine, Cane Sugar, Citric Acid, Gum Acacia, Natural Flavors, Glycerol Ester Of Rosin, Beta-carotene (for Color), Stevia Leaf Extract",{},,,,,,
smartwater Smartwater,,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2d0b7cdc-f6ec-4e3a-b289-bf10a0911942.png 4x,"every drop of smartwater tastes pure and will leave you feeling refreshed. it’s everything you want from a bottled water—whether you’re on the move, working out or need a quiet moment for yourself, it’s a perfect way to satisfy your thirst and help you stay hydrated.,each drop of smartwater is purified through vapor distillation, a process inspired by the clouds. that means nothing’s added except electrolytes for taste. a purely balanced pH and a pure flavor make it a smart way to hydrate throughout the day.,no matter what it is that makes smartwater so satisfying, you can bet on every sip tasting pure and crisp, helping you stay hydrated and refreshed.,for a sip of something different, smartwater comes in a variety of flavor options including cucumber lime and watermelon mint, each delicately infused with natural flavors. smartwater also comes in sparkling, alkaline and antioxidant variations for every need. this way, you can enjoy something a little different without losing that pure, crisp taste you love.,smartwater—a smart way to hydrate.,• Pure, vapor-distilled water,• Premium bottled water with added electrolytes for a pure, crisp taste,• Refreshing hydration at the office, on your commute or anywhere you need to take a beat to recharge,• 100% recyclable bottle,• 20 fl oz bottle","Vapor Distilled Water, Calcium Chloride And Magnesium Chloride And Potassium Bicarbonate (electrolyte Sources*)",{},,,,,,
Essentia Ionized Alkaline Water,,$2.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aff039e4-f38a-471e-9d86-07484317381f.png 4x,"Essentia Water Is Supercharged Ionized Alkaline Water So You Can Do The Things That Matter Most To You And Stop For Nothing. Essentia’S Proprietary Three-Step Ionization Process Produces Overachieving H2O That’S 99.9% Pure With A Ph Of 9.5 Or Higher And A Clean, Smooth Taste. Step 1: Unwanted Particles Are Removed Through Microfiltration And Reverse Osmosis, Making Essentia 99.9% Pure. Step 2: The Water Is Infused With Trace Amounts Of Electrolytes; Not Just For Taste, But To Better Complement The Body’S Natural Mix. Step 3: Bitter-Tasting Acidic Ions Are Removed, Creating A High Alkaline Water With Ph Levels Of 9.5 Or Higher. Available In A Variety Of Sizes, Essentia Water Bottles Are Recyclable, Bpa-Free Plastic Bottles Available In Cases And Multi-Packs. The 1-Liter Bottle Is Designed To Store Easily In The Home, Office, Or Personal Vehicle For Anytime Hydration Moments.,• ESSENTIA WATER 1 LITER BOTTLE: One liter (33.8 Fl Oz) of Essentia Water ionized alkaline water that’s 99.9% pure with a pH of 9.5 or higher and a clean, smooth taste — so you can stop for nothing.,• 99.9% PURE: Essentia Water is purified with micro filtration and reverse osmosis technology, resulting in Overachieving H2O that is 99.9% pure.,• ENHANCED WITH ELECTROLYTES: Our proprietary blend of electrolytes is added not only for taste, but to complement the body's natural mix.,• IONIZED HYDRATION: Our proprietary ionization process produces clean, smooth-tasting 9.5 pH water by removing bitter-tasting acidic ions.,• TAKE HYDRATION TO THE NEXT LEVEL: Essentia Water is Supercharged Ionized Alkaline Water. So you can do what matters most to you and stop for nothing.","Purified Water, Sodium Bicarbonate, Dipotassium Phosphate, Magnesium Sulfate, And Calcium Chloride","Store in a clean, cool, dry and odorless place, away from direct sunlight and freezing temperatures.,Best if used by date: See neck of bottle.","Warning: Cap is a small part and poses a choking hazard, particularly for children.",,,,,
