Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Egg Free,Soy Free,Peanut Free,Treenut Free,Shellfish Free,Wheat Free,Milk Free
Coffee mate Original Powdered Coffee Creamer,,$6.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7e8f4ec2-24ae-444d-b14c-9e23df71e60c.jpg 4x,Gluten Free,,"• One 16 oz bottle of Nestle Coffee mate Original Powdered Coffee Creamer,• Coffee mate Original coffee creamer transforms every cup of coffee with its smooth, velvety flavor,• This powdered coffee creamer is gluten free, non dairy and lactose free,• This flavored creamer powder wakes up your coffee,• Turn the coffee you like into coffee you love, ready in an instant,• Store non dairy creamer powder in a cool, dry place,• Shelf stable Coffeemate creamer makes it easy to pour, stir and enjoy,• SNAP and EBT Eligible item,Nestle Coffee Mate Original Powdered Coffee Creamer Is An Ideal Way To Create A Delicious Cup Of Coffee Perfection. Smooth And Rich, This Original Creamer Delivers Classic Flavor That Transforms Every Drinking Experience. Original Coffee Mate Creamer Is Lactose Free, Gluten Free And Non Dairy. Coffee Creamer Powder Makes It Easy To Add The Right Amount Of Flavor Every Time, Letting You Easily Transform Your Coffee Into Warm Deliciousness. Whether It's Your Morning Cup Or An Afternoon Pick-Me-Up, This Flavored Coffee Creamer Wakes Up Your Coffee. Store Coffee Mate Powdered Creamer In A Cool, Dry Place.","Corn Syrup Solids, Hydrogenated Vegetable Oil (coconut And/or Palm Kernel And/or Soybean), Dipotassium Phosphate, And Less Than 2% Of Sodium Caseinate (a Milk Derivative)**, Sodium Aluminosilicate, Mono- And Diglycerides, Annatto Color.","Storage Advice: Store in a cool, dry place.",Contains: a milk derivative.,,,,,,,
Reddi-wip Original Dairy Whipped Topping,$5.79,$6.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b6b5bfa1-2b26-4793-9b2d-a7eb88699bec.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b92e263f-ca1c-4fda-8491-b58519cc2ece.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6029fc10-60c1-46c1-8dba-ecfeba3bf0c1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b88d3415-d687-4045-a9d6-ee077f1c2166.jpg 4x",Gluten Free,,"Enjoy a versatile dessert topping that serves up rich and creamy taste with Reddi Wip Original Whipped Topping. This delicious dairy whipped topping can offers a classic texture and dairy flavor you know and love. Trust us, after just one whoosh, you won't miss the other whipped cream products you were using before. Made with real cream, this gluten free whipped topping for fruit, desserts and more is made with no artificial flavors or artificial sweeteners. It's also keto friendly (0g of protein, 1g net carbs [1g total carbs minus 0g dietary fiber], and 1g added sugar per serving) and fits a low carb lifestyle (1g net carbs per serving [1g total carbs minus 0g dietary fiber]). Reddi Wip can transform any moment. Unleash the joy.","Cream, Water, Sugar, Corn Syrup, Nonfat Milk, Less Than 2% Of: Mono- And Diglycerides, Natural Flavor, Carrageenan, Propellant: Nitrous Oxide","Directions: for Best Results: 1. Shake well 4 times before use then remove cap. 2. Turn can completely upside down & press nozzle sideways with finger. 3. Rinse nozzle thoroughly with warm water and replace in refrigerator.,Important: Must be kept refrigerated to maintain safety. Will stay freshest when stored at normal refrigerator temperatures of 35 degrees to 40 degrees F. Freezing is not recommended.,Sell by date printed on bottom of can.",Contains: milk.,,,,,,,
Kraft Singles American Cheese Slices,$6.89,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_04198e51-ad76-4d6a-8ec9-becc270a9a2b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_35e51798-b997-4b30-ae59-1d2981b3554d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e30c6482-407b-4fb9-8c73-c314bf7549ba.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2836f30e-b5df-4567-a4c9-e2d864a3fcc9.jpg 4x",,,"Delicious any way you square it, Kraft Singles American Cheese Slices deliver the classic American taste and irresistible melt that take your favorite foods to the next level. Made with real dairy and no artificial flavors or preservatives, our sliced cheese has a mild, savory flavor and smooth, creamy texture that’s perfectly melty. Our simple squares are ideal for more than just grilled cheese. Try adding Kraft Singles to your breakfast sandwich, burger or tuna melt. Transform steak and bread into a Philly cheesesteak, put a twist on ramen or turn plain fries into ooey gooey cheese fries. When you’re craving classic comfort food, add America's favorite square to your mac and cheese for a simple joy that’s sure to make you smile. Each cheese slice comes individually wrapped for convenience, so you can stack and snack any time. Kraft Singles contain 50 calories and 3 grams of protein per serving. For optimal creamy goodness, keep our pack of 16 cheese slices refrigerated.,• One 16 ct pack of individually wrapped Kraft Singles American Cheese Slices,• Perfectly melty, Kraft Singles feature the classic American cheese taste and irresistible melt everyone loves,• Simply irresistible, Kraft Singles contain 50 calories per serving,• America's Favorite SQUARE is made with no artificial preservatives or flavors,• Irrefutably delicious, our Kraft Singles are always made with real dairy,• Take your foods to the next level by stacking Kraft Singles on your favorite sandwich, grilled cheese, burger, Philly cheesesteak and more,• Our Kraft Singles American Slices are perfect for adding ooey, gooey melted goodness on all your favorite foods, like ramen, fries and more,• Elevate your summer grilling with the perfect little square,• SNAP & EBT eligible food item","Cheddar Cheese (cultured Milk, Salt, Enzymes), Skim Milk, Milkfat, Milk Protein Concentrate, Whey, Calcium Phosphate, Sodium Phosphate, Contains Less Than 2% Of Modified Food Starch, Salt, Lactic Acid, Milk, Sorbic Acid As A Preservative, Oleoresin Paprika (color), Enzymes, Cheese Culture, Annatto (color)","Do Not Freeze, Keep Refrigerated.",Contains: milk.,,,,,,,
Coffee mate Original Powdered Coffee Creamer,$9.19,$10.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_83313e53-6bff-4a65-a359-0da8d853badf.jpeg 4x,Gluten Free,,"Nestle Coffee Mate Original Powdered Coffee Creamer Is An Ideal Way To Create A Delicious Cup Of Coffee Perfection. Smooth And Rich, This Original Creamer Delivers Classic Flavor That Transforms Every Drinking Experience. Original Coffee Mate Creamer Is Lactose Free, Gluten Free And Non Dairy. Coffee Creamer Powder Makes It Easy To Add The Right Amount Of Flavor Every Time, Letting You Easily Transform Your Coffee Into Warm Deliciousness. Whether It's Your Morning Cup Or An Afternoon Pick-Me-Up, This Flavored Coffee Creamer Wakes Up Your Coffee. Store Coffee Mate Powdered Creamer In A Cool, Dry Place.,• One 35.3 oz canister of Nestle Coffee mate Original Powdered Coffee Creamer,• Coffee mate Original coffee creamer transforms every cup of coffee with its smooth, velvety flavor,• This powdered coffee creamer is gluten free, non dairy and lactose free,• This flavored creamer powder wakes up your coffee,• Shelf stable Coffeemate creamer makes it easy to pour, stir and enjoy","Corn Syrup Solids, Hydrogenated Vegetable Oil (coconut And/or Palm Kernel And/or Soybean), Sodium Caseinate (a Milk Derivative)**, Less Than 2% Of Dipotassium Phosphate, Mono- And Diglycerides, Sodium Aluminosilicate, Artificial Flavor, Annatto Color, **not A Source Of Lactose","Storage Advice: Store in a cool, dry place.,See bottom of jar for best if used by date.",Contains: a milk derivative.,,,,,,,
Philadelphia Original Cream Cheese,,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a17bf0af-bb30-499f-aa4f-f45eb8dc20e2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b5c0a02-22f8-45e4-aff1-ece717b21318.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3514a41b-1a2b-4762-a0b1-3ea84561a345.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c3978015-e209-471f-a448-6bf0f2252d07.jpg 4x",,,"Dive into immersive pleasure with Philadelphia Original Cream Cheese. Made with real cream and fresh milk for an extra creamy, multi-dimensional taste you can add to any meal. At Philly, we leave out the preservatives to ensure a rich, quality flavor. Our original cream cheese is easy to use in baking, making it the perfect choice for adding to your favorite cheesecake recipe or using as an ingredient in frosting. Keep our 8 ounce cream cheese block refrigerated. With Philadelphia Cream Cheese, enjoy a rich, creamy experience you don't just taste, you feel.,• One 8 oz block of Philadelphia Original Cream Cheese,• Dive into immersive pleasure with our original cream cheese,• Our original cream cheese is made with fresh milk and real cream for multi-dimensional flavor,• Philadelphia stays charmingly real with no preservatives,• Cream cheese is easy to use, making it ideal for cooking and baking,• Creamy and delicious, Philly cream cheese is perfect to use as an ingredient in cheesecake or frosting recipes,• Kosher,• SNAP & EBT eligible food item","Pasteurized Milk And Cream, Salt, Carob Bean Gum, Cheese Culture","Keep Refrigerated.,For Best Quality, Use Within 10 Days Of Opening.",Contains: milk.,,,,,,,
Nestlé NESQUIK Strawberry Flavored Lowfat Milk Ready To Drink,,$1.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7db57bcf-092f-4093-9349-e552b5a26d4d.jpeg 4x,Gluten Free,,"Nesquik Strawberry Flavored Lowfat Milk Offers 100% Real Milk For A Classic, Delicious Taste In An Irresistibly Tasty And Nutritious Drink. This Strawberry Lowfat Milk Contains No High Fructose Corn Syrup, For Delicious Goodness That Will Deliver On The Classic Taste You Love. Nesquik Strawberry Milk Is Ready To Drink, So It's Easy To Serve With Meals, Or As A Delicious Treat On Its Own. This Nesquik Strawberry Flavored Lowfat Milk Comes In A Convenient Resealable Bottle. Containing 14 Grams Of Protein Per Bottle From 100% Real Milk And Vitamin A And Vitamin D, This Nesquik Strawberry Low Fat Milk Also Offers 30% More Calcium Than Regular Chocolate Lowfat Milk. Shake Well Before Enjoying, And Keep Refrigerated After Opening.,• One bottle of Nesquik Strawberry Flavored Lowfat Milk,• Delicious and nutritious Nesquik strawberry flavored lowfat milk made with 100% real milk,• This Nesquik strawberry milk offers 30% more calcium than regular chocolate lowfat milk,• Nesquik lowfat strawberry milk with Vitamins A & D, 14 grams of protein per bottle, and no high fructose corn syrup,• Serve Nesquik strawberry milk with meals or as a delicious treat on its own","Lowfat Milk, Sugar, Less Than 2% Of Calcium Carbonate, Cellulose Gel, Natural And Artificial Flavor, Carrageenan, Gellan Gum, Cellulose Gum, Citric Acid, Salt, Red 3, Vitamin A Palmitate, Vitamin D3.","Shake well.,Do not freeze. Keep refrigerated after opening.,Pull.",Contains: milk.,,,,,,,
Chobani Fat Free Strawberry Greek Style Yogurt,$1.67,$1.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ab571e47-cff6-4f53-a554-59462f29159e.png 4x,Gluten Free,,Authentic crafted. No fake fruit. No artificial sweeteners. No preservatives. No rBST (Milk from rBST-treated cows is not significantly different). Billions of probiotics. Protein rich. Food safe. Tear off label and recycle cup. A portion of profits for a better world.,"Cultured Nonfat Milk, Strawberries, Cane Sugar, Water, Fruit Pectin, Natural Flavors, Guar Gum, Locust Bean Gum, Fruit And Vegetable Juice Concentrate (for Color), Lemon Juice Concentrate",Keep refrigerated.,,,,,,,,
"Daisy Sour Cream, Pure & Natural",$1.99,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9f279b5e-d6a7-4b70-a18e-ceb7c6da92cf.jpeg 4x,,,"What makes Daisy America’s favorite sour cream? Every tub of Daisy's rich and cream sour cream is carefully crafted to elevate your favorite recipes. Whether it’s baked potatoes, tacos, chili, or your other favorite foods, a dollop of Daisy’s delicate and dynamic flavor makes everything taste better.,• Fresh and delicious taste,• Made with one wholesome ingredient: cultured cream,• Pure & Natural,• No artificial additives or preservatives,• Grade A,• rBST Free,• Kosher",Cultured Cream.,Keep refrigerated.,Contains milk,,,,,,,
Coffee mate French Vanilla Flavored Coffee Creamer,$4.09,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5d217b73-821f-41e7-887b-19c93e721c0e.jpeg 4x,Gluten Free,,"• FOR THE LOVE OF COFFEE: Ditch your boring coffee routine and upgrade your brew game with our Coffee Mate French Vanilla Flavored Coffee Creamer. We’ve been working on our recipes since 1961, so we know what we’re doing when it comes to our flavored coffee creamers,• ICONICALLY NON-DAIRY AND GLUTEN-FREE: We’re all about creating tasty creamers that everyone can enjoy. Cheers to inclusive indulgence with our gluten-free, cholesterol-free, and non-dairy flavored creamer for coffee,• HOT, ICED, OR MIXED: Our liquid creamer is your coffee’s new BFF — We’re here for your coffee mug, your cup and your martini glass, any time you’re looking to sweeten up your cup,• MVP OF CREAMERS: Whoever said they didn’t like coffee creamer clearly hasn’t tried Coffee Mate. Make your coffee goals a reality with our French Vanilla flavored creamer,• KEEP IT CHILL: Keep your Coffee Mate creamer chilled for that perfect French Vanilla flavor. Pop it in the fridge after opening and use your creamer within 14 days, if it even lasts that long,• EVERY SIP COUNTS: Cheers to a brighter tomorrow with every mug Our French Vanilla flavored creamer comes in recyclable packaging,• SNAP and EBT Eligible item,It’S Time To Make Your Coffee Breaks Iconic With Coffee Mate French Vanilla Flavored Coffee Creamer. You’Re Going To Fall In Love With Our Liquid Coffee Creamer, Taking You From Your Early Morning Grind To Your Late-Night Fuel Up With Up To Sixty-Three 1 Tbsp Servings. We’Re Here For Your Coffee Mug, Your Iced Coffee Glass And Your Midnight Martini. Dietary Restrictions? We Have Those Covered – Our Coffee Mate Liquid Creamer Is Non-Dairy, Cholesterol-Free, And Gluten-Free. We Really Like Coffee, Just As Much As We Like Our Recyclable Packaging. Keep Your French Vanilla Flavored Creamer Cool In The Fridge For Up To 14 Days (If You Don’T Finish It Right Away). Ready To Level Up Your Coffee Game With Our French Vanilla Flavored Creamer Yet?","Water, Sugar, Soybean Oil, And Less Than 2% Of Dipotassium Phosphate, Micellar Casein (a Milk Derivative), Mono - And Diglycerides, Cellulose Gel, Cellulose Gum, Carrageenan, Natural & Artificial Flavor Sucralose, Acesulfame Potassium (non-nutritive Sweetener).","Shake before use. Do not freeze.,Try in iced coffee.,Storage Advice: Keep refrigerated.,Completely remove freshness seal under cap.,For best quality, use within 14 days of opening.",Contains: a milk derivative.,,,,,,,
Coffee mate Hazelnut Liquid Coffee Creamer,$4.09,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bc0efa49-354d-4154-9ee2-e4e1fa5e2796.jpeg 4x,Gluten Free,,"Coffee Mate Hazelnut Flavored Liquid Coffee Creamer Is The Perfect Way To Create A Delicious Cup Of Hazelnut Flavored Perfection. Smooth And Velvety, This Flavored Hazelnut Creamer Creates A Sweet, Nutty Taste That Transforms Every Drinking Experience. This Non Dairy Creamer Is 2X Richer Than Milk, Gluten Free And Cholesterol Free. Coffee Mate Liquid Creamer Provides An Easy Way To Transform Your Hot Or Iced Coffee Into Flavorful Deliciousness, Whether It's Your Morning Cup Of Coffee Or Afternoon Pick-Me-Up. This Hazelnut Flavored Creamer Is Perfect For A Delicious Morning Ritual. Coffee Mate Coffee Creamer Comes In A Convenient Bottle With A Snap Lid To Allow For Easy Pouring And Storage. Store Coffee Mate Hazelnut Flavored Liquid Coffee Creamer In The Refrigerator.,•,•,•,•,• Enhance your Mother's Day brunch with Coffee mate creamers - the perfect addition to elevate your coffee and delight mom's taste buds!,•,•","Water, Sugar, Soybean Oil, And Less Than 2% Of Micellar Casein (a Milk Derivative), Dipotassium Phosphate, Monoand Diglycerides, Cellulose Gel, Cellulose Gum, Natural And Artificial Flavor, Carrageenan.","Shake before use.,Try in iced coffee.,Storage Advice: Keep refrigerated. Do not freeze.,Completely remove freshness seal under cap.,For best quality, use within 14 days of opening.",Contains: a milk derivative.,,,,,,,
