Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Highlights,Milk Free,Warnings,"Fresh, plump, and bursting with flavor, Naturipe Blueberries are a must-have for any fruit lover. Packed in an 18 oz bag, these blueberries are the perfect addition to your morning smoothie, afternoon snack, or dessert topping. Not only are they delicious, but they're also vegan and vegetarian-friendly! These little powerhouses of nutrition are loaded with antioxidants and vitamin C to help support a healthy immune system. With Instacart's same-day delivery or pickup, you can enjoy these tasty treats without ever leaving your home. Simply add Naturipe Blueberries to your next order and enjoy their sweet goodness in no time!",Gluten Free,"Say hello to Sunset Sugar Bombs! These delightful Grape Tomatoes On-The-Vine are perfect for a variety of dishes. They're vegan and vegetarian, so you can enjoy them regardless of your dietary restrictions. Each 12oz container is packed with juicy, sweet tomatoes that burst with flavor in every bite. Whether you're making a salad, cooking up a storm, or simply enjoying a snack, these Sugar Bombs will satisfy your cravings. With Instacart's same-day delivery or pickup, you can have these beauties at your doorstep in no time. So why wait? Go ahead and add Sunset Sugar Bombs to your next shopping list today!"
Banana,,$0.38, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_97a3be5f-8ebd-44a9-ace9-d5f405b59994.png 4x,,,,,,,,,
Hothouse Cucumber,,$2.00, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0d430944-fff9-4e0e-af59-868249f34e3a.png 4x,,,,,,,,,
Fresh Pineapple,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d839301c-f39b-4ddd-afd3-54cbd426db5a.png 4x,,,,,,,,,
Lemon,,$0.75, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e60460e6-6775-4ff6-ac0a-e17a703285b6.png 4x,,,,,,,,,
Cantaloupe,,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e9f2c180-e3de-4371-872a-46710d307942.jpeg 4x,,,,,,,,,
Lime,,$0.50, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_25c2a251-9dfa-4426-b467-fbaa65c6fa91.png 4x,,,,,,,,,
Red Onion,,$2.17, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_11a600bd-f3da-4bf4-a499-66a806381a22.png 4x,,,,,,,,,
Iceberg Lettuce,,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f0f9914b-cd86-4b2c-aa07-c267f5c4d653.png 4x,,,,,,,,,
Cucumber,,$0.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9d48596e-c096-4f42-a4b5-4cf89fefe15f.png 4x,,,,,,,,,
Red Bell Pepper,,$2.00, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_60949383-eb90-48d4-9ba8-972e43dfe4b4.png 4x,,,,,,,,,
Cauliflower,,$3.96, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6f593357-e81d-4d66-a924-6865d9bd635b.png 4x,,,,,,,,,
NatureSweet Cherubs Fresh Heavenly Salad Grape Tomatoes,,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9dd76a85-8493-4e03-a1fa-88ff4a0e1de8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_513f6d6c-1708-4c47-aeb4-011b0d770e5e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6dd8f36b-381e-4e95-b045-ec5451236051.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fe2b1fea-7a62-4dfc-8197-f4c52ab9859b.png 4x","NatureSweet Cherubs are the sweetest grape tomatoes on the market. In fact, they are the number 1-selling small tomato in the world! Carefully grown in greenhouses and hand-picked at the peak of ripeness, they are guaranteed to be fresh and flavorful every time.,• Sweet and juicy grape tomatoes,• Ideal for salads and snacking,• Fair Trade, Non-GMO and B Corp Certified",Cherry Tomato,"Wash me.,Please don't refrigerate. It’s too cold in there!.,Peel to lettuce out!.",,,,,,
Green Bell Pepper,,$1.25, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b7c4f3b-f656-4bf1-a88f-a7a13e639365.png 4x,,Peppers Bell Green,,,,,,,
White Onion,,$1.13, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_99a98c6f-1f2b-451d-bab1-3770b4c5588f.png 4x,,,,,,,,,
Red Mango,$1.49,$2.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5f2adc29-90a3-4a3d-a66d-a7f3ae28df67.jpeg 4x,,,,,,,,,
Large Navel Orange,,$1.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_95c0f3e0-aa21-403e-ad29-5fc85d24830e.png 4x,,California Valencia Oranges,,,,,,,
Honeycrisp Apple,,$1.20, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e35a88d5-407c-4c3f-9be0-873de893d578.png 4x,,,,,,,,,
Granny Smith Apple,,$0.84, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1196ef48-9766-4737-9b18-7cbaf2e9b9eb.png 4x,,Apples,,,,,,,
Seedless Watermelon,,$17.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f79ab8d-3485-4fee-8e94-1597ecf719c8.jpg 4x,,,,,,,,,
Medium Hass Avocado,,$1.67, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_18d5ef9a-def5-42d8-84b7-9b83c239d69a.png 4x,,,,,,,,,
"Gourmet Garden™ Lightly Dried Basil, 0.42 oz",,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_31f7482e-5216-4c10-9476-d5bb4ae8720f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c5980bc-de9d-4b75-bb41-b3227fa7b903.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c3c53384-9c35-4c1d-a6c4-43a4509d003f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_da0f5083-5052-40ea-9fc2-ca1361055e0a.jpg 4x","Gourmet Garden Lightly Dried Chopped Basil has everything to do with flavor and nothing to do with fuss. Each convenient click ‘n stack bowl contains one large bunch of fresh, sweet basil that’s been lightly dried (just enough) and chopped for use in all your Italian-inspired recipes. Because our basil is only lightly dried, it refreshes during cooking, giving you the closest taste, appearance, and aroma to that of garden-fresh basil … without the wilt guilt. Aromatic basil is best added at the end of your cooking and pairs perfectly with beef, chicken, pasta, pizza, tomatoes, and much more. Once opened and refrigerated, it stays fresh up to four weeks. When preparing your favorite recipes, use 1 tbsp lightly dried basil in place of 2 tbsp fresh basil. Because it is only lightly dried it refreshes in cooking, giving you the closest flavor, appearance, and aroma to that of fresh herbs … without the wilt guilt, and no washing, chopping or prep required.","Basil, Canola Oil, Sea Salt, Ascorbic Acid (to Protect Color & Flavor)",In cooking use about 1 tbsp. of lightly dried basil to replace 2 tbsp. of fresh basil. Keep refrigerated.,,,,,,
Zucchini Squash,,$0.91,,,,,,,,,,
Organic Banana,,$0.41, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e049d704-acfd-486e-a2e7-988ef7c1f1cf.png 4x,,,,,,,,,
Yellow Bell Pepper,,$2.00, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_31e97061-ef2a-478b-a676-31ee421b5591.png 4x,,,,,,,,,
Yellow Onion,,$1.03, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5e1cd806-7c7a-43d2-bdb1-aac054d44004.png 4x,,,,,,,,,
Green Onion,,$0.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_710a130e-9dff-49bf-b8e0-8c43d20c6d73.png 4x,,,,,,,,,
Bartlett Pear,,$1.00, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a0e7d8b2-517d-46e6-bda7-5c35209fa36d.png 4x,,,,,,,,,
Celery,,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_047115ee-6a7e-4940-9100-51bba973cd9e.png 4x,,,,,,,,,
Green Cabbage,,$2.28, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4fa97b91-874b-4454-b011-42ed7e75b3e5.png 4x,,,,,,,,,
Gala Apple,,$0.82, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fda52644-51b7-40cd-8322-c698b7ea30c1.png 4x,,,,,,,,,
Roma Tomato,,$0.42, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_777b02dd-fc81-4e86-a34b-737518c9c395.png 4x,,,,,,,,,
Eggplant,,$1.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_64e9bc8b-55df-477c-994d-d0373b590a29.png 4x,,,,,,,,,
Romaine Lettuce,,$5.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b149f8f0-0d2e-4d83-9c2e-4230db09130b.jpg 4x,,,,,,,,,
Honeydew Melons,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2fee03ed-7e7c-4854-82ce-8783d493f090.png 4x,,,,,,,,,
Red White Flesh Dragon Fruit,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b04949f0-1819-45c4-b530-c43d3f7e6ebf.png 4x,,,,,,,,,
Red Cabbage,,$5.32, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_458d780e-3355-4243-b313-2182525a7db5.jpg 4x,,,,,,,,,
Bok Choy,,$1.61, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3294c9e4-ef66-418a-94d8-846f6326ace9.jpeg 4x,,,,,,,,,
Butternut Squash,,$8.37, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ee39dff-4427-4242-b9fb-52fc68898477.jpg 4x,,,,,,,,,
Cilantro,,$2.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0b494357-f940-47a7-8bad-73a756e72a17.jpeg 4x,,,,,,,,,
Red Grapefruit,,$0.95, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f105254f-7266-4931-8537-5be6d0080203.jpg 4x,,,,,,,,,
Ginger Root,,$1.92, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2e9ed2b1-5666-4d77-9b0b-defdd92ece8c.png 4x,,,,,,,,,
"Fresh Express Salad, Italian",$3.49,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_704f50d2-62ae-4a67-97bf-070dfb5c2a5d.jpeg 4x,"Thoroughly washed. Ready to eat. No preservatives. Italian is an excellent source of vitamin K & folate. Vitamin K contributes to maintenance of normal none. Folate contributes to the reduction of fatigue. Why We're so Fresh: To guarantee Fresh Express Salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salad daily.,• Excellent source of vitamin K & Folate.,• Fruits & Veggies More matters.,• Crunchy romaine lettuce; Red cabbage.,• No Preservatives/No Artificial Preservatives","Romaine Lettuce, Red Cabbage.",Reseal for freshness. Keep refrigerated.,,,,,,
Garlic,,$10.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0df5ab9a-9aea-4c1d-8536-de10ca318096.jpg 4x,,,,,,,,,
Blackberries,,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f0fb5e2e-e723-4af9-916e-6e5467e68077.jpeg 4x,,,,,,,,,
Orange Bell Pepper,,$3.68, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ecc30501-1c03-4ef0-8a2f-cecfef1549e9.jpg 4x,,,,,,,,,
Yellow Squash,,$0.93, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7dd3d9a4-b89e-4274-9711-09ad88cf01be.png 4x,,,,,,,,,
White Sweet Potato,,$1.73, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1534b418-66ae-4e69-bd9a-ac1a6588bf43.png 4x,,,,,,,,,
Avocado,,$5.39,,,,,,,,,,
Hunnyz Apples,,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0bee60bb-8bb3-49c0-a3a3-10f60f0bf6b6.png 4x,,,,,,,,,
Napa Cabbage,,$2.98, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bbd4b0aa-8d79-4ae0-b23a-7f48fcc62eff.png 4x,GROWN IN,,,,,,,,
Tomatillo,,$2.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_35bed216-bbe0-4629-9f23-20e2f44ac0cb.jpg 4x,GROWN IN,,,,,,,,
Sunset Campari Tomatoes,,$9.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ceedfbb8-ee8e-47fd-b690-471f7206102b.png 4x,"Sunset® Campari® Tomatoes.,Inspired chef.,The tomato lover’s Tomato®.,Greenhouse Grown.,Product of Mexico.,454 g 1 Lb.",Campari Tomatoes,Wash before eating.,,,,,,
