Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Egg Free,Fish Free,Peanut Free,Shellfish Free
Ben & Jerry's Half Baked® Chocolate & Vanilla Ice Cream Pint,,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_386a8dd6-ac9d-46d2-96cf-a0b163fe6179.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_acefcced-9dc1-4699-8c2c-a3c97036f5cc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3909d520-dfa5-49c4-abb4-221426b6ea9e.png 4x","Ben & Jerry's Half Baked® Chocolate & Vanilla ice cream pint with Chocolate Chip Cookie Dough and Chocolate Fudge Brownies. It’s hard to imagine a better combination. Half Baked® got its name because the cookie dough isn’t baked, but the brownies are—has been a bestselling flavor since we first decided to combine our classic ice cream creations back in 2000. Chocolate Chip Cookie Dough, with big chunks of chocolate chip cookie dough surrounded by vanilla ice cream, was created back in 1984 at our very first Scoop Shop after we received an anonymous fan’s flavor suggestion. It continues as a flavor phenomenon to this very day. Chocolate Fudge Brownie is a fan-favorite chocolate extravaganza, mixing chocolate ice cream with ridiculously delicious Greyston Bakery brownies. It’s been satisfying chocolate lovers since 1991. We know it can be hard to choose between those two legendary flavors. With Half Baked, you don’t have to! We work with Fairtrade certified producers for all the cocoa, sugar, and vanilla in our recipes. Greyston Bakery, one of the largest social enterprises in the US, provides the scrumptious brownies for this and all of our frozen dessert flavors. All our ice cream is made with non-GMO sourced ingredients and cage-free eggs. This ice cream pint, like every pint we make, features responsibly sourced packaging.,• Ben & Jerry's Chocolate & Vanilla Ice Cream Pint with Gobs of Chocolate Chip Cookie Dough & Fudge Brownies,• Ben & Jerry's ice cream pints are made with Non-GMO ingredients & cage-free eggs,• Ben & Jerry's ice cream pints source Fairtrade Certified bananas, coffee, cocoa, sugar, & vanilla,• Ben & Jerry's ice cream pints are Certified Kosher,• Ben & Jerry’s ice cream pints use responsibly sourced packaging,• We are proud to partner with fellow B Corps Greyston & Rhino Bakeries on our Half-Baked ice cream. Both the fudge brownies & cookie dough make this a flavor that not only tastes good, but does good","Cream, Liquid Sugar (sugar, Water), Skim Milk, Water, Sugar, Wheat Flour, Brown Sugar, Cocoa (processed With Alkali), Egg Yolks, Eggs, Cocoa, Expeller Pressed Soybean Oil, Soybean Oil, Invert Sugar, Chocolate Liquor, Egg Whites, Salt, Guar Gum, Molasses, Vanilla Extract, Cocoa Butter, Natural Flavor, Carrageenan, Tapioca Flour, Malted Barley Flour, Baking Soda, Soy Lecithin, Annatto Extract (for Color), Milk, Turmeric Extract (for Color)",{},"Contains egg, milk, soy and wheat.",,,,,,
Ben & Jerry's Chocolate Chip Cookie Dough Vanilla Ice Cream Pint,,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6981e0f4-05f8-4be6-b27c-f649788678d1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f558e650-ca7d-4d47-a9a2-ff5b2a07c780.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5a73891f-45ba-4542-a7a7-ff2b467c7ebe.png 4x","Ben & Jerry's Chocolate Chip Cookie Dough ice cream pint features big delicious chunks of chocolate chip cookie dough surrounded by creamy vanilla ice cream. It seems like such a no-brainer today, but in 1984 it was revolutionary. The Cookie Dough you know and love started with a simple suggestion: What if you put chunks of chocolate chip cookie dough into vanilla ice cream? That was the wonderful anonymous idea submitted way back in the early days of our first Burlington, Vermont, USA, Scoop Shop. We used to have a bulletin board where people could suggest new flavors for Jerry and Ben to make—and this idea stood out. The folks at the Scoop Shop immediately went to work mixing up a batch of Cookie Dough. It was an instant hit. Initially, the flavor was only available at the Scoop Shop. When we decided to sell it in tubs, we had to figure out how to get that familiar cookie-dough taste, consistency and texture at ice cream temperatures. We teamed up with Rhino Foods and, over an incredible six-year journey, we perfected the cookie dough found in our tubs today. In 1991, Cookie Dough began appearing in freezer aisles everywhere. It has remained one of our most popular and beloved flavors ever since! Ben & Jerry's Chocolate Chip Cookie Dough ice cream pint is made with non-GMO sourced ingredients, cage-free eggs, and we get our cocoa, sugar and vanilla from Fairtrade certified producers. We also use responsibly sourced packaging. So dig in!,• Ben & Jerry's Vanilla Ice Cream pint with Gobs of Chocolate Chip Cookie Dough,• Ben & Jerry's Chocolate Chip Cookie Dough ice cream pints are made with Non-GMO ingredients & cage-free eggs,• Ben & Jerry's ice cream pints source Fairtrade Certified bananas, coffee, cocoa, sugar, & vanilla,• Ben & Jerry's ice cream pints are Certified Kosher,• Ben & Jerry’s ice cream pints use responsibly sourced packaging,• We knew we were onto something big when we made the world’s first batch of Chocolate Chip Cookie Dough ice cream in 1984. Today the flavor still reigns among our all-time most popular concoctions","Cream, Skim Milk, Liquid Sugar (sugar, Water), Water, Wheat Flour, Sugar, Brown Sugar, Egg Yolks, Butter (cream, Salt), Expeller Pressed Soybean Oil, Eggs, Coconut Oil, Chocolate Liquor, Cocoa (processed With Alkali), Cocoa, Molasses, Guar Gum, Salt, Vanilla Extract, Natural Flavor, Cocoa Butter, Invert Sugar, Carrageenan, Milk Fat, Tapioca Flour, Soy Lecithin, Annatto Extract (for Color), Turmeric Extract (for Color), Milk",{},"Contains egg, milk, soy and wheat.",,,,,,
Ben & Jerry's Chocolate Fudge Brownie Ice Cream Pint,,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_962b8e55-e669-4ce8-b38d-7bd9a5f7531e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c09a2122-8240-4dff-a2a3-ef17dfdc2739.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f7169961-bd2a-400d-93f8-0b7eb0a7faac.png 4x","Ben & Jerry's Chocolate Fudge Brownie ice cream pint features Fudgy chunks of brownie goodness mixed into dark and rich chocolate ice cream. Sounds like a dream. At first, that’s all it was. Long ago, we were making brownie ice cream sandwiches for sale in grocery stores. Sometimes there would be broken pieces in the brownie delivery, and we’d nab them for flavor experiments. What would brownie pieces taste like in chocolate ice cream? Pretty good, as it turns out! That original experimental flavor eventually became the legendary ice cream concoction known as Chocolate Fudge Brownie. Meanwhile, Ben Cohen had met Bernie Glassman, the founder of Greyston Bakery, a Yonkers, New York, USA-based company with a mission to end poverty and give back to the community. Equally important, their brownies were just so darn good—after sampling some, Ben handwrote a note asking for two truckloads of brownie pieces. While we knew Greyston would be the ideal supplier for turning Chocolate Fudge Brownie into a flavor sold by the tub, getting the brownies to cooperate wasn’t easy. After about 25 batches of brownies and six months of work, the flavor finally debuted in 1991, and it’s been a hit ever since. All Ben & Jerry's ice cream pints are made with non-GMO sourced ingredients and cage-free eggs. The cocoa, sugar and vanilla in the Chocolate Fudge Brownie ice cream pint is Fairtrade certified and kosher ice cream. And all our packaging is responsibly sourced. Greyston Bakery, one of the largest social enterprises in the USA, continues to provide the brownies for this and all of our flavor so you can feel good about our frozen desserts.,• Ben & Jerry's Chocolate Fudge Brownie Ice Cream Pint,• Ben & Jerry's ice cream pints are made with Non-GMO ingredients & cage-free eggs,• Ben & Jerry's ice cream pints source Fairtrade Certified bananas, coffee, cocoa, sugar, & vanilla,• Ben & Jerry's ice cream pints are Certified Kosher,• Ben & Jerry’s ice cream pints use responsibly sourced packaging,• Fabulously fudgy brownies in this ice cream pint come from NY’s Greyston Bakery, where producing great goods is part of their greater-good mission to provide jobs & training to low-income residents","Cream, Liquid Sugar (sugar, Water), Skim Milk, Water, Sugar, Cocoa (processed With Alkali), Wheat Flour, Cocoa, Soybean Oil, Egg Yolks, Invert Sugar, Eggs, Egg Whites, Guar Gum, Salt, Carrageenan, Natural Flavor, Baking Soda, Malted Barley Flour",{},"Contains egg, milk and wheat.",,,,,,
Ben & Jerry's Strawberry Cheesecake Ice Cream Pint,,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_859e05f6-c166-4165-84ce-20fb4bfd49f2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_88a07c0a-6a60-4aae-8474-042291cc1611.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_358e1d8e-ce92-4f01-a0df-c0cdb7cc6d20.png 4x","Strawberry cheesecake ice cream pint with strawberries and a graham cracker swirl. If you can think of a more strawberrily perfect flavor combination, let us know because we think this is tough to beat. Think of your favorite creamy cheesecake, topped with sweet fruit (but not too sweet), backed by a light crust. Now, that’s a heavenly dessert. And guess what? For strawberry cheesecake lovers who’ve always wanted to have their cheesecake and scoop it, too, we’ve created a flavor jam-packed with strawberry cheesecake-greatness and a fantastic graham-cracker swirl. It’s everything you love about cheesecake and everything you love about Ben & Jerry's ice cream, combined. Strawberry Cheesecake routinely ranks among our top 10 flavors every year. Could it be the graham cracker swirl? That crunch is indeed the ideal complement to all that creamy ice cream. Or is it the strawberries? Bursting with fruity goodness, they somehow seem even more delicious in the middle of all that ice cream. Truth is, everybody probably has their reason for loving Strawberry Cheesecake. And they’re all exactly right. The cocoa, sugar and vanilla in Ben & Jerry’s ice cream comes from Fairtrade certified producers. We only use Non-GMO -sourced ingredients and cage-free eggs. And our packaging is always responsibly sourced.,• Ben & Jerry's Strawberry Cheesecake Ice Cream pint with Strawberries & a Thick Graham Cracker Swirl,• Ben & Jerry's ice cream pints are made with Non-GMO ingredients & cage-free eggs,• Ben & Jerry's ice cream pints source Fairtrade Certified bananas, coffee, cocoa, sugar, & vanilla,• Ben & Jerry's ice cream pints are Certified Kosher,• Ben & Jerry’s ice cream pints use responsibly sourced packaging,• For strawberry cheesecake lovers who’ve always wanted to have their cheesecake & scoop it too, this ice cream pint flavor is packed with strawberry cheesecake-greatness & graham-cracker swirls","Cream, Skim Milk, Water, Liquid Sugar (sugar, Water), Sugar, Strawberries, Vegetable Oil (canola And/or Soybean), Strawberry Puree, Egg Yolks, Corn Starch, Wheat Flour, Graham Flour, Cream Cheese (milk, Cream, Salt, Cheese Cultures, Locust Bean Gum, Guar Gum), Coconut Oil, Salt, Guar Gum, Natural Flavor, Tapioca Starch, Molasses, Honey, Soy Lecithin, Baking Soda, Lemon Juice Concentrate, Lactic Acid, Pectin, Carrageenan",{},"Contains wheat, egg, soy and milk.",,,,,,
Ben & Jerry's The Tonight Dough® Caramel & Chocolate Ice Cream Pint,,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_559f368f-a2aa-49a7-a1a7-f6d74715ed6c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_78975d9b-bf84-4c88-ab91-96bb044fd35e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_58027bab-c7f0-4095-857c-adf02e60d691.png 4x","Ben & Jerry's Caramel and chocolate ice cream pint with crunchy chocolate cookie swirls and gobs of chocolate chip cookie dough and peanut butter cookie dough. Its indulgence is simply over the top, but there’s more to this story than just chunks and swirls. One of our most popular flavors since launching in 2015, The Tonight Dough was created with Jimmy Fallon to celebrate his takeover of The Tonight Show – the longest running talk show in TV history. As big, bold, and amazing as Fallon himself, the flavor stands out as one of Ben & Jerry’s chunkiest, doughiest, most-over-the-top ice creams yet. But the flavor’s success is even sweeter because Fallon donates all proceeds from the sale of The Tonight Dough to the SeriousFun Children’s Network. Feel good about your choice of dessert knowing you are helping children with serious illnesses and their families enjoy life-changing experiences at a camp that fosters growth and happiness – free of charge. The best ice cream is nothing without great ingredients. Like all Ben & Jerry's flavors, The Tonight Dough is made with Non-GMO sourced ingredients and eggs from cage-free hens. Fairtrade certified producers supply the cocoa, sugar, and vanilla, and our product chills inside your freezer in responsibly sourced packaging.,• Ben & Jerry's Caramel & Chocolate Ice Cream pint with Chocolate Cookie Swirls & Gobs of Chocolate Chip Cookie Dough & Peanut Butter Cookie Dough,• Ben & Jerry's ice cream pints are made with Non-GMO ingredients & cage-free eggs,• Ben & Jerry's ice cream pints source Fairtrade Certified bananas, coffee, cocoa, sugar, & vanilla,• Ben & Jerry's ice cream pints are Certified Kosher,• Ben & Jerry’s ice cream pints use responsibly sourced packaging,• Inspired by The Tonight Show & Jimmy Fallon, a Ben & Jerry’s ice cream pint flavor you'll love spooning into. Dedicated to SeriousFun Children's Network of camps for children with serious illnesses","Cream, Liquid Sugar (sugar, Water), Skim Milk, Water, Wheat Flour, Sugar, Brown Sugar, Cocoa (processed With Alkali), Canola Oil, Egg Yolks, Peanut Butter (peanuts), Corn Syrup, Eggs, Cocoa, Butter (cream, Salt), Coconut Oil, Expeller Pressed Soybean Oil, Chocolate Liquor, Salt, Tapioca Flour, Guar Gum, Natural Flavor, Soy Lecithin, Baking Soda, Molasses, Vanilla Extract, Carrageenan, Cocoa Butter, Milk",{},"Contains egg, milk, peanuts, soy and wheat.",,,,,,
Ben & Jerry's Cherry Garcia® Ice Cream Pint,,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b6ef17c-9bdb-466f-9b1c-253ab20cfa55.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7aae6cd6-00ab-4156-91a4-b8e11c52f6b4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_521f29ad-44b6-4fd5-a7a9-8b006a009c84.png 4x","Ben & Jerry's Cherry ice cream pint with cherries and fudge flakes. It’s our tribute to guitarist Jerry Garcia and his fans everywhere, and it all started with a piece of fan mail. You see, back in the day, before smartphones and social media, our fans spoke to us via handwritten notes pinned to the bulletin boards at our Scoop Shops. It was sometime in 1986 when one such fan was persistent enough to mail a postcard to our main office in Burlington, Vermont. Super premium ice cream meets great guitar solos? It was genius, and Ben immediately began creating the iconic concoction. Cherry Garcia debuted in 1987 and quickly became one of our top three most popular flavors. In fact, the first eight ice cream pints went straight to Mr. Garcia himself and were met with two thumbs up! As for the fan who sent the anonymous postcard? Our sleuths found her and thanked her with a trip to Vermont and a year’s supply of Ben & Jerry’s ice cream. It’s been a long, strange trip ever since, but what remains is Ben & Jerry's commitment to producing the world’s best frozen desserts in the most responsible way possible. Like all of our flavors, Cherry Garcia is kosher ice cream, made with non-GMO sourced ingredients, cage-free eggs, and Fairtrade certified cocoa, sugar, and vanilla. Responsibly sourced packaging gets the goodness from our Vermont factory to your freezer.,• Ben & Jerry's Cherry Ice Cream Pint with Cherries & Fudge Flakes,• Ben & Jerry's ice cream pints are made with Non-GMO ingredients & cage-free eggs,• Ben & Jerry's ice cream pints source Fairtrade Certified bananas, coffee, cocoa, sugar, & vanilla,• Ben & Jerry's ice cream pints are Certified Kosher,• Ben & Jerry’s ice cream pints use responsibly sourced packaging,• Our euphorically edible tribute to Jerry Garcia & Grateful Dead fans. Ben & Jerry's Cherry Garcia® ice cream pint is the first named for a rock legend & the most famous of fan-suggested flavors","Cream, Skim Milk, Liquid Sugar (sugar, Water), Water, Cherries, Sugar, Egg Yolks, Coconut Oil, Cocoa (processed With Alkali), Cocoa, Fruit And Vegetable Concentrates (color), Guar Gum, Natural Flavor, Lemon Juice Concentrate, Carrageenan, Citric Acid, Milk Fat, Soy Lecithin, Vanilla Extract",{},"Contains egg, milk and soy.",Gluten Free,,,,,
Stouffer's Macaroni & Cheese Frozen Meal,,$5.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_448d1c75-8c0e-42d1-b5a7-c90a4ed68699.jpeg 4x,"• One 12 oz box of Stouffer's Macaroni & Cheese Frozen Meal,• Mac and cheese frozen entree packed with quality ingredients and your favorite homemade flavor,• This Stouffer's Macaroni & Cheese includes freshly made pasta in a real cheddar cheese sauce,• This frozen macaroni and cheese offers 21 grams of protein per package,• Easy-to-prepare frozen dinner is ready in minutes in the microwave, ideal for busy nights,• Simply place in the microwave or oven and follow cooking instructions on package,• Keep frozen until you’re ready to enjoy,• SNAP and EBT Eligible item,Stouffer's Macaroni & Cheese Frozen Meal Offers A Quick, Easy Solution For Lunch Or Dinner. This Stouffer's Frozen Entree Includes Freshly Made Pasta In A Real Cheddar Cheese Sauce. This Microwave Meal Is Sure To Satisfy Every Taste Bud. This Ready To Bake Frozen Macaroni And Cheese Offers 21 Grams Of Protein Per Package And Contains No Preservatives. Stouffer's Frozen Meals Are Easy To Prepare In The Microwave Or Oven, Making This Frozen Mac N Cheese A Great Choice When You'Re Short On Time. Keep Stouffers Macaroni And Cheese In The Freezer Until You'Re Ready To Enjoy.","Cooked Macaroni (water, Semolina Wheat Flour, Wheat Gluten), Skim Milk, Water, Cheddar Cheese (cultured Milk, Salt, Enzymes, Annatto Color), Cheddar Club Cheese (cheddar Cheese [cultured Milk, Salt, Enzymes], Water, Salt, Annatto Color), Bleached Wheat Flour, Soybean Oil, 2% Or Less Of Salt, Butter (cream, Salt), Potassium Chloride, Butter Flavor (maltodextrin, Natural Flavor, Annatto & Turmeric Color), Xanthan Gum, Yeast Extract, Lactic Acid, Calcium Lactate.","For food safety and quality, follow these cooking instructions.<br />Microwave Oven (1100 Watts)<br />Prep. Cut film to vent.<br />Cook 4 minutes on high.<br />Stir and re-cover.<br />Cook again 2 minutes on high. Let stand 1 minute to complete cooking.","Contains: wheat, milk.",,,,,,
Klondike Ice Cream Bars Original,$5.79,$7.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_710e5898-512f-41b7-b312-5a0a05a28eb5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ae9dd77-0140-4468-a3dd-2631d9f72d0f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_25e7a650-ade5-4ccd-98fa-0876de1e5179.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_997fbc5d-f3b1-465f-bd50-bb0eb6234083.jpg 4x","The Klondike Original Ice Cream & Frozen Dessert Bar is a huge hunk of Klondike's signature creamy vanilla ice cream covered in a thick, chocolate shell. It’s simple, classic perfection, the best thing to happen to desserts since the invention of dessert. One bite is enough to take you to frozen dessert heaven with these ice cream bars. You know it’s the original Klondike Ice Cream Bar & Frozen Dessert when you open that silver foil and hear the “crack” as you bite into its chocolatey shell, which holds in all of that delicious, creamy goodness. You can enjoy the delightful wonders of a Klondike Ice Cream & Frozen Dessert Bar anytime and anywhere, without needing a spoon or bowl. Take the time to treat yourself to a frozen treat. We know that life isn’t always as easy as it should be, so reward yourself for doing that thing you just did with a simple dessert. Klondike supports you! You can enjoy a Klondike Original Ice Cream & Frozen Dessert bar as a special treat or as a snack to help you relax. Try Klondike frozen treats in 14 flavors for unlimited deliciousness. All our treats are coated in a rich chocolatey shell and made with high-quality ingredients. Klondike Original Ice Cream & Frozen Dessert Bar is certified as a kosher ice cream by KOF-K Kosher Supervision, one of the world's leading certification and supervision agencies.,• Klondike Original ice cream bars & frozen dessert is Klondike's signature creamy vanilla ice cream frozen treat coated in a thick, chocolatey shell,• Klondike ice cream bars are the perfect hearty snack, mid-day work break, and frozen treat for any special occasion,• Klondike Original is a certified kosher ice cream bars made with no artificial growth hormones used on cows,• Every Klondike Original ice cream dessert & frozen dessert bar is made with high-quality ingredients,• This easy dessert comes in a 6-pack that lets you share your Klondike ice cream bars with friends and family,• Klondike Ice Cream & Frozen Dessert bars are available in 14 unique flavors for a simple dessert crafted with unlimited deliciousness","Nonfat Milk, Sugar, Coconut Oil, Cream, Corn Syrup, Whey, Chocolate Liquor Processed With Alkali, Less Than 2% Of: Milk, Soybean Oil, Cocoa Processed With Alkali, Mono And Diglycerides, Natural And Artificial Flavors, Guar Gum, Locust Bean Gum, Tara Gum, Soy Lecithin, Salt, Vitamin A Palmitate, Caramel Color",{},Contains milk and soy.,,,,,,
Stouffer's Lasagna With Meat & Sauce Frozen Meal,$5.19,$5.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d896f78f-a59e-4472-8b3d-eb5dcd231cf7.jpeg 4x,"• One 10.5 oz box of Stouffer's Lasagna with Meat & Sauce Frozen Meal,• Stouffers frozen dinner packed with quality ingredients and your favorite homemade flavor,• Includes 100% pure beef, herb seasoned tomato sauce and real mozzarella cheese,• This frozen lasagna dinner is made with no preservatives and offers 22 grams of protein per serving,• Lasagna with meat & sauce is ready in minutes in the microwave, ideal for busy nights,• Place lasagna pasta in the microwave or oven and follow cooking instructions on package,• Keep frozen until you're ready to enjoy,• SNAP and EBT Eligible item,Stouffer's Lasagna With Meat & Sauce Frozen Meal Offers A Quick, Easy Solution For Lunch Or Dinner. This Frozen Lasagna Dinner Includes 100% Pure Beef, Herb Seasoned Tomato Sauce And Real Mozzarella Cheese. This Lasagna With Meat & Sauce Has 2X The Meat Required By The Lasagna With Meat Sauce Standard, So It's Sure To Satisfy Every Taste Bud. This Frozen Lasagna Prepared Meal Is Made With No Preservatives And Offers 22 Grams Of Protein Per Serving. Stouffer's Single Serve Meals Are Easy To Prepare In The Microwave Or Oven, Making This Lasagna Pasta A Great Choice When You'Re Short On Time. Keep Stouffers Lasagna With Meat & Sauce In The Freezer Until You'Re Ready To Enjoy.","Ttomato Puree (water, Tomato Paste), Cooked Pasta (water, Semolina Wheat Flour), Cooked Beef, Water, Low-moisture Part-skim Mozzarella Cheese (cultured Part-skim Milk, Salt, Enzymes), Dry Curd Cottage Cheese (cultured Skim Milk, Enzymes), 2% Or Less Of Modified Food Starch, Part-skim Mozzarella Cheese And Modified Cornstarch (part-skim Mozzarella Cheese [cultured Milk, Salt, Enzymes], Modified Cornstarch, Nonfat Milk, Flavors), Soy Sauce (water, Soybeans, Wheat, Salt), Wheat Flour, Dried Onions, Salt, Sugar, Parmesan Cheese (cultured Milk, Salt, Enzymes), Spices, Garlic Powder.","Conventional Oven (Preheat 350&deg;F)<br />&bull; Remove film.<br />&bull; Place tray on baking sheet, center rack.<br />&bull; Cook 48 minutes.<br />&bull; Let stand 1 minute.","Contains: wheat, milk, soy.",,,,,,
Talenti Caramel Cookie Crunch Gelato,$5.99,$7.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b5ca1b33-3c85-48d7-9df4-956cf253b504.png 4x,"If you’re looking for delicious, you’ve found the perfect frozen dessert. Talenti Caramel Cookie Crunch gelato is our unique twist on the traditional cookies and cream ice cream flavor. Caramel Cookie Crunch starts with a sweet cream gelato, and then we blend in chocolate cookies and add a swirl of our dulce de leche (think a rich, delicious caramel sauce). This flavor is one of our finest flavors to-date and is a fan favorite and our #1 bestseller. At Talenti, we believe the best process and ingredients result in delicious gelato and sorbetto. That's why we source the highest - quality ingredients around the world. Then, we package our products in clear, BPA-free pint jars that can be recycled and reused any way you like. Please note that Talenti jars are not microwave or dishwasher safe. (For clever reuse ideas, check out #Pintcycling on Instagram). In addition to Talenti Gelato, Talenti has Dairy-Free Sorbettos, Organic Gelato and Gelato Layers -- 5 layers of the ultimate indulgence. All our products are made with non-GMO sourced ingredients which have been evaluated by Where Food Comes From, Inc., and adhere to our Non-GMO Sourced Standards. Try all our flavors and discover what makes Talenti so special.,• Talenti Caramel Cookie Crunch is Talenti's twist on the classic cookies and cream ice cream flavor,• Our Caramel Cookie Crunch starts with a sweet cream gelato, followed by chocolatey cookie crumbs, and a swirl of Talenti's signature dulce de leche,• Our Caramel Cookie Crunch Gelato is a fan favorite with a rich, delicious taste that's uniquely Talenti,• All Talenti Gelato flavors are OU-D Kosher Certified and are crafted with non-GMO ingredients,• Talenti does not use high fructose corn syrup in any of our frozen dessert products,• Talenti Gelato and Sorbetto pint jars are BPA-free and 100% recyclable and reusable. Discover #Pintcycling for inspiration","Milk, Sugar†, Cream, Skim Milk, Coconut, Palm And Soybean† Oils, Dextrose†, Cocoa (processed With Alkali), Enriched Flour (wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Corn Syrup†, Sunflower Lecithin, Carob Bean Gum, Vanilla Extract, Guar Gum, Baking Soda, Dried Cane Syrup†, Cocoa, Soy Lecithin, Natural Flavor, Corn Starch, Salt, †non-gmo",Keep frozen,May contain peanuts and tree nuts,,,,,,
