Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Soy Free,Peanut Free,Treenut Free,"Enjoy the delicious taste of chorizo with El Burrito Organic Soyrizo Meatless Soy Chorizo. Made with non-GMO soybeans and free of cholesterol and preservatives, this vegan product has 60% less fat than traditional chorizo. The seasoning blend includes spices, chile pepper, onion powder, garlic powder, and sea salt for a flavor that's hard to resist. This gluten-free and kosher product is also organic and vegetarian. Quick fry on high heat after removing the casing and savor the rich aroma. With only 90 calories per serving, this product is a healthy addition to your meal. Get yours today through Instacart for same-day delivery or pickup!","Craving a meat alternative that is both delicious and healthy? Look no further than Upton's Naturals Lightly Seasoned Shredded Jackfruit. This vegan and vegetarian option is made with only natural ingredients, including organic jackfruit, garlic, and onion. Plus, it's gluten-free and low in fat for guilt-free indulgence. With five grams of fiber per serving, this shredded jackfruit is perfect for adding to tacos or salads for a filling meal. Each container has two servings so you can enjoy it now and later. Order it today on Instacart for same-day delivery or pickup!",Egg Free,Fish Free,Wheat Free,"For a protein-packed meal that's sure to satisfy, try Wildwood Grilling Tofu, Organic, High Protein, Super Firm. Made with organic soybeans and gluten-free ingredients like magnesium chloride and calcium sulfate, this tofu is super firm and perfect for grilling or pan-frying. With 14 grams of protein per serving and only 130 calories, it's a great choice for vegetarians and vegans looking to boost their protein intake. Keep it refrigerated as it's perishable. You'll love the taste and texture of this organic tofu in your favorite recipes. Get it delivered to your doorstep or pick it up at a store with Instacart same-day delivery or pickup.",Milk Free
Lightlife Smart Dogs Veggie Hot Dogs,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a8ccd83-37a3-4624-a50d-d791484a2acb.png 4x,Disney Pixar Lightyear. Our Plant-Based Smart Dogs offer up all the taste of a traditional hot dog but without the saturated fat and cholesterol. Dress it up with your favorite toppings and serve up a summertime classic the whole family will love.,"Water, Soy Protein Isolate, Soybean Oil, Raw Cane Sugar, Salt, Contains 2% Or Less Of: Pea Protein, Tapioca Starch, Yeast Extract, Natural Flavor, Garlic Juice Concentrate, Sunflower Oil, Glutamic Acid, Xanthan Gum, Carrageenan, Garlic Powder, Guar Gum, Hardwood Smoked Sugar, Red Rice Flour (color), Canola Oil, Oleoresin Paprika (color).","Grill: Lightly coat grill with oil; preheat on medium. Grill Dogs 6-7 minutes, turning frequently. Do not overcook. Stovetop: Boil water, turn off heat and place dogs in water for 2 minutes. Microwave (1,100 Watts): Heat 1 or 2 dogs on high in covered dish with 1/2 cup warm water 45 seconds - 1 minute.,Keep refrigerated.,For Food Safety: Keep refrigerated use or freeze within 3 days of opening.",Contains: soy. Product contains pea protein and may not be suitable for people with a peanut allergy.,,,,,,,,,,,,
Impossible Plant-Based Burger Meat,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_00488832-96c0-463a-994d-780b43fb52c1.png 4x,"You found it! The unbelievably meaty one that made Impossible famous, a.k.a. Impossible™ Ground Beef made from plants. You know…plants…grown on farms from the soil of the Earth. They’re the best, but you won’t think of even one plant when you bite into a juicy, delicious burger or taco or bolognese made with Impossible Ground Beef. It’s made for meat lovers so of course it cooks, sizzles and tastes like the animal version—but with an amazing 19 g protein, 5 g fiber and 0 mg cholesterol per serving. Also it generates 91% less GHG emissions when compared to animal beef (Impossible Beef US LCA, 2022). Look for the red bag in the refrigerator case or just hit Add to Cart!,• Meat! Made from plants farm-grown from the soil in warm sunshine,• 70% of beef eaters said it tastes as good as the animal version (Aug & Dec 2021 in-home use tests with 259 US consumers),• 19 g protein and 5 g fiber per serving. Yeah, actual dietary fiber,• 0 mg cholesterol,• Nutrient-packed & gluten-free,• No animal hormones or antibiotics, because, um…no animals,• Generates 91% less GHG emissions when compared to animal beef (Impossible Beef US LCA, 2022)","Water, Soy Protein Concentrate, Sunflower Oil, Coconut Oil, Natural Flavors, 2% Or Less Of: Methylcellulose, Cultured Dextrose, Food Starch Modified, Yeast Extract, Soy Leghemoglobin, Salt, Mixed Tocopherols (antioxidant), L-tryptophan, Soy Protein Isolate, Vitamins And Minerals (zinc Gluconate, Niacin (vitamin B3), Thiamine Hydrochloride (vitamin B1), Pyridoxine Hydrochloride (vitamin B6), Riboflavin (vitamin B2), Vitamin B12).","If you know how to cook ground beef, you know how to cook Impossible Burger — spiced, sauced, braised, grilled, you name it!",Contains: soy,Gluten Free,,,,,,,,,,,
Impossible Plant-Based Burger Patties,,$7.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7e45485b-fa24-43fa-b4a6-d1a511bc3915.png 4x,"Impossible Burgers are amazing. Especially when someone else has kindly made the patties for you, so you can toss them right on the grill or in a pan, grab a bun, some toppings and announce, “It’s hot & juicy beef o’clock!” Or something way cooler than that. 70% of beef eaters said Impossible Beef made from plants tastes as good as or better than the animal version.* But you should really just try one for yourself. Look for fresh 2-packs in the refrigerator case or just hit Add to Cart! (*Aug & Dec 2021 in-home use tests with 259 US consumers).,• Meat! Made from plants farm-grown from the soil of the Earth,• Cooks, sizzles and tastes like animal ground beef,• 19 g protein and 5 g fiber per serving,• 0 mg cholesterol, sorry cholesterol fans,• Good source of iron, zinc, potassium, calcium, phosphorous, vitamins B6 & B12, and folate,• Way better for the planet","Water, Soy Protein Concentrate, Sunflower Oil, Coconut Oil, Natural Flavors, 2% Or Less Of: Methylcellulose, Cultured Dextrose, Food Starch Modified, Yeast Extract, Soy Leghemoglobin, Salt, Mixed Tocopherols (antioxidant), L-tryptophan, Soy Protein Isolate, Vitamins & Minerals: Zinc Gluconate, Niacin (vitamin B3), Thiamine Hydrochloride (vitamin B1), Pyridoxine Hydrochloride (vitamin B6), Riboflavin (vitamin B2), Vitamin B12","Impossible Burger Cooks Like Ground Beef: Preheat pan or grill to medium high, then cook for about 2 minutes per side to desired level of doneness. Fully cooked when interior is 160 degrees F. Perishable: Keep refrigerated. Perishable, keep refrigerated or frozen. If frozen, thaw and keep unopened in refrigerator for up to 10 days.",Contains: soy,Gluten Free,,,,,,,,,,,
Beyond Meat Plant-Based Burger Patties,,$7.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d0a5182f-c1ba-49b5-8be1-80174252fb8a.png 4x,"We made the first one. Then we made an even better one. Our latest and greatest Beyond Burger goes well (above and) beyond. It's an excellent source of protein (21g per serving), has 0mg cholesterol per serving, and is lower in saturated fat (75% less than 80/20 beef per serving). Made from plant-based ingredients - like peas and brown rice - our Beyond Burger has no GMOs, soy or gluten. Each pack contains 2 plant-based patties. Better for your health, for your planet, for your BBQ.,(Contains 14g Total Fat per serving)","Water, Yellow Pea Protein*, Avocado Oil, Natural Flavors, Brown Rice Protein, Red Lentil Protein, 2% or less of Methylcellulose, Potato Starch, Pea Starch, Potassium Lactate (to preserve freshness), Faba Bean Protein, Apple Extract, Pomegranate Concentrate, Potassium Salt, Spice, Vinegar, Vegetable Juice Color (with Beet).","Safe Handling Instructions: Some raw products may contain bacteria that can cause illness if mishandled or cooked improperly. Keep refrigerated or frozen. Thaw in refrigerator. Keep raw product separate from other foods. Wash working surfaces (including cutting boards), utensils, and hands after touching raw product. Cook thoroughly. Keep hot foods hot. Refrigerate leftovers or discard.,Cook Method: Grill/Skillet: Preheat grill or non-stick pan to medium-high heat and cook for about 4 minutes per side. Do not overcook. Edge and interior of patty may still be red or pink when fully cooked. Cook time may vary depending on equipment. Always cook to an internal temperature of 165 degrees F. Storage & Prep: Keep refrigerated and use within 3 days of opening. Do not refreeze. Cook thoroughly before serving. If purchase frozen, thaw in the refrigerator before cooking. Consume within 10 days of thawing. Not Recommended: Microwaving, boiling or deep frying.,Perishable: Keep refrigerated.,Best Before: See package.",*Peas are legumes. People with severe allergies to legumes like peanuts should be cautious when introducing pea protein into their diet because of the possibility of a pea allergy. Contains no peanuts or tree nuts.,Gluten Free,,,,,,,,,,,
Tofurky Deli Slices Plant Based Hickory,$3.99,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_201550b9-69c6-4ede-a6cc-f1b3767d2b32.png 4x,"Sandwiches are everything we ever wanted in a meal - savory, stackable, shareable, happily wrapped packages of yum. Taste bud high five!,• Vegan,• Non-GMO,• Excellent source of protein,• KSA","Water, Vital Wheat Gluten, Tofu (water, Soybeans, Magnesium Chloride, Calcium Chloride), Soy Sauce (water, Soybeans, Wheat, Salt), Expeller Pressed Canola Oil, Natural Flavors, Sea Salt, Contains Less Than 2% Of Onion, Carrot, Celery, Garlic, Leek, Lemon Juice Concentrate, Cornstarch, Garbanzo Bean Flour, White Bean Flour, Rosemary Extract, Natural Smoke Flavor, Calcium Lactate, Potassium Chloride.",Keep refrigerated / ok to freeze.,"Contains: soy, wheat.",,,,,,,,,,,,
Field Roast Vegetarian Smoked Apple Sage Sausage,$6.49,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e7ab43db-1355-4e21-95e0-777aa6df95af.png 4x,"Savor the rich and complementary smokehouse flavors of Field Roast Smoked Apple & Sage Plant-Based Sausages. Smoky, sweet, savory, and fully cooked, these delectable vegan sausages are a satisfying protein alternative with 23 grams of protein per serving. Enjoy the versatile meatless sausages on the barbecue, grilled on the stove, or broken up into sauces, stir-fries, and scrambles to bring a wonderful depth of flavor to your plant-based meals. Since 1997, the Field Roast brand has crafted plant-based meats and cheeses from grains, fresh-cut vegetables, herbs, and spices, honoring our culinary roots to create authentic sensory experiences people crave.,• FULLY COOKED PLANT-BASED SAUSAGES: A satisfying protein alternative for plant-based meals,• SWEET, SMOKY, AND SAVORY: Smoked apple and sage bring a deep, well-balanced flavor profile,• DELICIOUSLY VERSATILE: Enjoy the meatless sausage hot off the grill or stove, or crumbled into sauces and scrambles,• CERTIFIED VEGAN AND NON-GMO: Non-GMO Project Verified and Certified Vegan for delicious taste and texture without the guilt,• FOR ALL THE FLAVOR TRAILBLAZERS: Dedicated to crafting bold flavor profiles, Field Roast brand transforms everyday meals into seriously delicious creations","Filtered Water, Vital Wheat Gluten, Expeller Pressed Safflower Oil, Unsulfured Dried Apples, Yukon Gold Potatoes, Yeast Extract (yeast, Salt), Onion Powder, Barley Malt Extract, Garlic, Spices, Sea Salt, Yeast, Rubbed Sage, Natural Smoke Flavor","Preparation: Grill on outdoor grill, brown in saute pan with a little oil using medium heat, or break up sausage with fingers to use in sauces, stir-fries, and scrambled eggs. Avoid over heating.,Keep refrigerated. May have been previously frozen. Okay to refreeze.",Contains: wheat. Manufactured in a facility that processes tree nuts.,,,,,,,,,,,,
Field Roast Vegetarian Italian Garlic & Fennel Sausage,$6.49,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e4ab5f1-2dbe-4a30-b2fc-937f1f11fc15.png 4x,Meat & cheese Co. Discover a world of flavor. Learn more about our commitment to carbon neutrality: fieldroast.com/carbonneutral.,"Filtered Water, Vital Wheat Gluten, Expeller Pressed Safflower Oil, Eggplant, Onions, Wheat Protein Isolate (wheat Gluten, Trisodium Phosphate, Malic Acid, L-cysteine), Yeast Extract (yeast, Salt, Cane Sugar), Garlic, Barley Malt Extract, Onion Powder, Dried Red Bell Peppers, Red Cooking Wine (red Wine, Water, Salt), Fennel Seed, Dehydrated Garlic, Sea Salt, Spices.","Preparation: Grill on outdoor grill, brown in saute pan with a little oil using medium heat, or break up sausage with fingers to use in sauces, stir-fries, and scrambled eggs. Avoid over heating.,Keep refrigerated. May have been previously frozen. Okay to refreeze.",Contains: wheat. Manufactured in a facility that also processes tree nuts.,,,,,,,,,,,,
Beyond Meat Beyond Beef Plant-Based Ground,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_69bdf912-ff6e-4179-b4fd-2ebc784ac160.png 4x,"If you can name it, Beyond Beef can make it - from tacos and empanadas to sliders and beyond. Beyond Beef is an excellent source of protein (21g per serving), has 0mg cholesterol per serving, and is lower in saturated fat (75% less than 80/20 beef per serving). Made from plant-based ingredients - like peas and rice - Beyond Beef has no GMOs, soy or gluten. Each 1lb package is also a convenient one-to-one swap for all of your favorite recipes. (Contains 14g Total Fat per serving)","Water, Yellow Pea Protein*, Avocado Oil, Natural Flavors, Brown Rice Protein, Red Lentil Protein, 2% or less of Methylcellulose, Potato Starch, Pea Starch, Potassium Lactate (to preserve freshness), Faba Bean Protein, Apple Extract, Pomegranate Concentrate, Potassium Salt, Spice, Vinegar, Vegetable Juice Color (with Beet).","STORAGE & PREP,Keep refrigerated and use within 3 days of opening. Cook thoroughly before serving. If purchased frozen,,thaw in the refrigerator before cooking. Consume within 14 days of thawing or refer to retailers applied ‘best,by’ date sticker.,COOK METHOD,Use Beyond Beef® in your favorite dishes like tacos and chili to meatballs and burgers.,Cook time may vary depending on equipment and cook conditions. Always cook to an internal temperature,of 165F,NOT RECOMMENDED Microwaving, boiling or deep frying.",*Peas are legumes. People with severe allergies to legumes like peanuts should be cautious when introducing pea protein into their diet because of the possibility of a pea allergy. Contains no peanuts or tree nuts.,Gluten Free,,,,,,,,,,,
Lightlife Original Tempeh,,$4.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_51142343-6beb-4797-b4af-045e78adb6a2.png 4x,"Lightlife® Original Organic Tempeh is a versatile and delicious plant-based protein source for vegans and flexitarians alike. Made with only three ingredients, our tempeh can add a guilt-free protein boost to any meal. However you marinate, season, sauté, or bake it, our original tempeh adds balanced flavor to your cuisine of choice, making it perfect for grain bowls, rice dishes, salads, and more. For over 40 years, the Lightlife® brand has been committed to creating delicious and nutritious plant-based meat alternatives and looking for ways to improve the impact we have on the planet.","Cultured Organic Soybeans (soybeans, Lactic Acid From Plant Source), Water, Organic Brown Rice","To Cook: Cut into 1/4 inch thick slices; pan fry in a moderate amount of hot oil until crispy brown around the edges.,Try it in a stir fry, crumbled in tacos, or over a salad.,Keep refrigerated.",Contains: soy.,Gluten Free,,,,,,,,,,,
Tofurky Peppered Deli Slices,,$7.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b786e621-d02f-4fed-a31f-1750d251de5f.jpeg 4x,"These pastrami-style peppered slices have a lot of personality. They really shine in a reubenesque sandwich (that's a meat-free reuben).,• 0 Cholesterol,• Excellent source of protein,• Non-GMO,• Vegan","Water, Vital Wheat Gluten, Tofu (water, Soybeans, Magnesium Chloride, Calcium Chloride), Soy Sauce (water, Soybeans, Wheat, Salt), Expeller Pressed Canola Oil, Natural Flavors, Sea Salt, Contains Less Than 2% Of Black Pepper, Onion, Carrot, Celery, Garlic, Leek, Lemon Juice Concentrate, Cornstarch, Garbanzo Bean Flour, White Bean Flour, Rosemary Extract, Calcium Lactate, Potassium Chloride.",Keep refrigerated / ok to freeze.,"Contains: soy, wheat.",,,,,,,,,,,,
