Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Peanut Free,Treenut Free,Soy Free
"SNICKERS Chocolate Candy Bar, Full Size",,$2.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e2bbac8-e038-4f2b-ba53-4733caa53b41.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_24fc9eb6-81e5-4f09-af98-968e2c722241.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_41a1ca80-e701-475a-8cca-6e60856a9452.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb4f0746-37e3-4304-9a91-b2cef4302a47.jpg 4x","You aren't you when you're hungry. That's why there's SNICKERS Full Size Chocolate Bars. Packed with roasted peanuts, nougat, caramel and milk chocolate, SNICKERS Candy handles your hunger so you can handle things that don't relate to hunger at all. Share the satisfying taste of SNICKERS Candy with friends, family and coworkers. Stock the office pantry for a tasty afternoon treat, or put SNICKERS Candy in gift baskets. You can also pass them out as Halloween candy. Curb your hunger before it curbs you with SNICKERS Chocolate.,•Contains one 1.86-ounces full size SNICKERS Chocolate Candy Bar,•Chocolate candy bar packed with caramel, nougat, peanuts and milk chocolate,•Keep a SNICKERS chocolate candy bar handy for party supplies or game day snacks,•Love to bake? Cut pieces of SNICKERS candy chocolate bars to decorate cupcakes, ice cream, or cookies,•Feeling out of sorts? SNICKERS chocolate candy bars is the solution,•Voted America’s favorite Halloween candy in NBC’s Today Show #BRACKBETWEEN Candy Challenge","Milk Chocolate (sugar, Cocoa Butter, Chocolate, Skim Milk, Lactose, Milkfat, Soy Lecithin), Peanuts, Corn Syrup, Sugar, Palm Oil, Skim Milk, Lactose, Salt, Egg Whites, Artificial Flavor.",{},"Allergy information: contains peanuts, milk, egg and soy. May contain tree nuts.",,,,,
"Reese's Milk Chocolate Peanut Butter Cups, Candy Pack, 1.5 oz",$1.19,$2.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e034e5f2-b2d1-470d-b77d-bf7027aeb15e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_92258d38-dcb3-4a02-b561-9a24c8014cfa.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c9ef0515-29d4-42a0-8230-1e3d6683e7a5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_422cf6ed-2e23-45a3-9f26-7d9c78504a41.jpg 4x","Name a more iconic duo. Everyone will wait... You can't beat this old fashioned, match made in heaven when it comes to creamy milk chocolate combined with delicious peanut butter. Get ready to taste perfection! REESE'S milk chocolate peanut butter cups are ready to be your go-to snack. Bring this 2-cup pack along to the next sporting event as a concession treat, as movie marathon snacks or game night prizes. Store a pack in your pantry for an anytime snack or slip a pack into lunch boxes and purses for a midday surprise. REESE'S milk chocolate peanut butter cups are a sweet delight that you can bite, break, dunk or nibble on. Yes! Dunk them into a cold glass of milk, a cup of hot chocolate or your coffee to experience the melty goodness. Put a unique twist on classic baked goods like cookies, cupcakes and ice cream decadents with whole, halved or crumbled REESE'S cups. These peanut butter treats are kosher certified and gluten free candies that go well with almost everything, especially during your holiday celebrations. Add them to Christmas stockings, Halloween candy bowls, Valentine's Day gift bags and Easter baskets. Just don't forget to save a few for yourself!","Milk Chocolate (sugar, Cocoa Butter, Chocolate, Skim Milk, Milk Fat, Lactose, Lecithin (soy), Pgpr), Peanuts, Sugar, Dextrose, Salt, Tbhq & Citric Acid (to Maintain Freshness).",{},"Contains: peanuts, milk, soy.",Gluten Free,,,,
"KIT KAT® Milk Chocolate Wafer Candy Bar, 1.5 oz",$1.19,$2.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8d5065c6-f2e6-4842-91af-c058bd03e1fe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bfbb26af-ed80-473e-8dc1-496e0aa779e2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_25dde5d8-935b-40c1-b4bb-cb1dac9fd340.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_853a1778-51cb-4655-ab59-09b48137ccf2.jpg 4x","Ready for a classic everyone hopes to find in the candy dish? This KIT KAT® milk chocolate wafer candy bar is individually wrapped for optimal convenience, easy sharing and lasting freshness. Whether you gift it to friends, pass one out in the office or hold onto one for snacking moments, you can expect a delicious treat in the perfect size. Throw a bar in your lunch box to treat yourself to a sweet dessert or stock your home and office candy bowls with an easy snacking classic. Preparing for a specific occasion? Whether you need to put Easter baskets together, stuff holiday stockings, fill Valentine's Day party favors, treat trick-or-treaters or keep your everyday candy collection stocked throughout the year, KIT KAT® candy is the way to go. Getting ready for your next movie night? Add some crispy wafers coated in creamy milk chocolate for an extra special touch that satisfies the whole crowd. You can snack on these chocolate bars straight from the wrapper, chill them in the fridge for a cold treat or top your best baked goods with them to show off your culinary genius. No matter what you decide, it's bound to be a delicious success!","Sugar, Wheat Flour, Cocoa Butter Chocolate, Lactose (milk), Vegetable Oil (palm Oil Alm Kernel Oil), Skim Milk, Milk Fat, Contains 2% Or Less Of: Lecithin (soy), Pgpr, Vanillin (artificial Lavor), Salt, Yeast, Baking Soda.",To Open: Lift flap and tear at end.,"Contains: milk, wheat, soy. Manufactured in a facility that processes peanuts.",,,,,
"Hershey's Milk Chocolate with Whole Almonds Candy Bar, 1.45 oz",$1.19,$2.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_73426bd5-6287-45dd-b9ca-d6be09c3021a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0b334e4b-6069-4f89-830f-b30e09ab844a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eefce04c-3f96-4e62-8551-95359046c814.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3557c076-c985-4afa-8122-4423dc5fc25f.jpg 4x","There's happy, and then there's HERSHEY'S happy. Made of the delectable, creamy milk chocolate that's been a classic for decades, HERSHEY'S milk chocolate with almond bars make life more delicious. We won't blame you if you prefer to enjoy these sweet treats alone, but they're also great to share with the people you love the most. This full size milk chocolate bar is the perfect treat for countless special and everyday occasions. HERSHEY'S milk chocolate candy bars with whole almonds can be used as a sweet treat to stuff in Christmas stockings, Halloween trick or treat bags, Easter eggs and Valentine's Day party favors. Keep some on hand for guests, and store a few in your pantry for convenient snacking when the mood strikes. Show up to movie night with a HERSHEY'S milk chocolate bar with whole almonds to share with attendees and please the whole crowd. You could also pop pieces of this chocolate bar into a bowl of popcorn for a sweet and salty combo. Or, sweeten up your favorite homemade recipes by using these milk chocolate almond bars on top of freshly baked cakes, cookies and cupcakes. Everyone is excited when they're reaching for HERSHEY'S milk chocolate with almonds, and now you can be too!",Milk Chocolate [sugar; Milk; Chocolate; Cocoa Butter; Milk Fat; Lecithin (soy); Pgpr; Natural Flavor]; Almonds; Sunflower Oil.,,"Contains: milk, soy, almonds",,,,,
TWIX Full Size Caramel Chocolate Cookie Candy Bar,,$2.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_31b3755f-c853-4170-886e-1b88c25420a2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7ec8464-f6ce-492d-a7e2-6434727fc776.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2bbd7eca-7816-415e-aef3-80197e389bb1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1e39f6e6-7e68-450e-a438-2b4b80a89a74.jpg 4x","Left TWIX is an amazing pairing of smooth chocolate, crispy cookie and luscious caramel. Left TWIX is an awesome combination of crunchy cookie, delicious caramel and creamy chocolate. Everyone has a side. Either way, TWIX believes a little bit of joy makes a big difference to your day. TWIX full size candy bars turn break time into bliss. Our tip: take your coffee with a TWIX! Amp up your midday recharge with every bite of gooey caramel and crunchy cookie cloaked in delicious, flowing chocolate. Two sticks in each full size individually wrapped pack makes TWIX caramel candy bars perfect for sharing –– we won't snitch if you don't. If you're not down to share, sending a TWIX to a friend is never a bad idea. TWIX full size chocolate candy bars make great care package treats. A gift bag full of Twix is always a hit. There are endless ways to share and enjoy a moment with TWIX.,•Contains one (1) 1.79 ounce TWIX Full Size Caramel Chocolate Cookie Candy Bar,•TWIX believes a little bit of joy makes a big difference to your day,•Coffee break tip: Take it with TWIX,•Turn your caffeine fix into bliss with crunchy cookies, layered with smooth caramel, and dipped in decadent milk chocolate,•Right TWIX or Left TWIX? Either way, take a moment to savor your Full Size TWIX candy bar","Milk Chocolate (sugar, Cocoa Butter, Chocolate, Skim Milk, Lactose, Milkfat, Soy Lecithin, Pgpr, Artificial Flavors), Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Palm Oil, Corn Syrup, Skim Milk, Dextrose, Less Than 2% - Salt, Cocoa Powder, Soy Lecithin, Modified Corn Starch, Baking Soda, Artificial Flavor.",{},"Contains milk, soy and wheat.,may contain peanuts.",,,,,
Reese's Milk Chocolate King Size Peanut Butter Cups Candy,,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1011990b-f64c-401e-92e0-58f3fc797612.jpeg 4x,"Name a more iconic duo. Everyone will wait... You can't beat this old fashioned, match made in heaven when it comes to creamy milk chocolate combined with delicious peanut butter. Get ready to taste perfection! REESE'S milk chocolate peanut butter cups are ready to be your go-to snack. Bring this king size pack along to the next sporting event as a concession treat, as movie marathon snacks or game night prizes. Store them in your pantry for an anytime snack or slip a pack into lunch boxes and purses for a midday surprise. REESE'S milk chocolate peanut butter cups are a sweet delight that you can bite, break, dunk or nibble on. Dunk them into a cold glass of milk, a cup of hot chocolate or your coffee to experience the melty goodness. Put a unique twist on classic baked goods like cookies, cupcakes and ice cream decadents with whole, halved or crumbled REESE'S cups. These peanut butter treats are kosher certified and gluten free candies that go well with almost everything, especially during your holiday celebrations. Add them to Christmas stockings, Halloween candy bowls, Valentine's Day gift bags and Easter baskets. Just don't forget to save a few for yourself!,• Contains one (1) 2.8-ounce pack of REESE'S Milk Chocolate King Size Peanut Butter Cups Candy,• Enjoy REESE'S peanut butter covered in creamy milk chocolate when you need a big, bold and delicious snack at sporting events, game nights, parties or the movies,• Includes 4 certified kosher and gluten free peanut butter chocolate candies in a king size pack,• Use REESE'S candy for filling birthday gift bags and back-to-school lunch boxes or bridal and baby shower candy dishes,• Share the unforgettable combination of milk chocolate and rich peanut butter cups when you need a sweet Halloween, Christmas, Valentine's Day or Easter candy,• Pop REESE'S candy in the freezer for a thrillingly cold taste of pure deliciousness","Milk Chocolate (sugar, Cocoa Butter, Chocolate, Skim Milk, Milk Fat, Lactose, Lecithin Soy), Pgpr), Peanuts, Sugar, Dextrose, Salt, Tbhq & Citric Acid (to Maintain Freshness).",{},"Contains: peanuts, milk, soy.",,,,,
"Kinder Milk Chocolate and Hazelnut Cream, Individually Wrapped Chocolate Bars",,$1.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8de5cfe4-a08d-4cbb-942a-00b79aa5d3a3.jpg 4x,"Discover the unique and exceptional taste of Kinder Bueno. This pack contains two individually wrapped Kinder Bueno chocolate bars, perfect for enjoying with a friend. Smooth milk chocolate, creamy hazelnut filling and a crispy wafer deliver sensational taste with every bite. Make an ordinary moment extraordinary by adding the crispy, creamy deliciousness of a Kinder Bueno milk chocolate bar to your coffee moment or movie night. You can also make your desserts and baked goods more delicious by topping them with Kinder Bueno.,• Exceptional tasting hazelnut chocolate bars, 2 bars, 1 pack,• Milk chocolate, crispy wafer and creamy hazelnut filling,• Great with coffee, for movie nights and for topping desserts,• Makes a fun shareable chocolate treat,• The perfect gift exchange idea or stocking stuffers for adults","Milk Chocolate (sugar, Cocoa Butter, Cocoa Mass, Skim Milk Powder, Butteroil, Lecithin As Emulsifier, Vanillin: An Artificial Flavor), Sugar, Palm Oil, Enriched Flour (wheat Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Hazelnuts, Skim Milk Powder, Milk Powder, Semi-sweet Chocolate (sugar, Cocoa Mass, Cocoa Butter, Lecithin As Emulsifier, Vanillin: An Artificial Flavor), Cocoa, Lecithin As Emulsifier, Sodium Bicarbonate As Leavening Agent, Salt, Vanillin: An Artificial Flavor",No Prep Instructions Required.,"Contains milk, tree nuts (hazelnuts), wheat, soy.",,,,,
"Pringles Potato Crisps Chips, Lunch Snacks, On-The-Go Snacks, Original",,$2.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ca1538a-0ba2-4fe7-bdff-0db19be19bbe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b9e2855d-56f0-41ae-afe7-427f4be4fc28.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ff6a55a7-9d30-45c1-aa5a-08bdd7ca129f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_575ad30e-07e7-4e36-afbc-0c1c63e26ea5.jpg 4x","What comes next after the “pop” of a Pringles Original Grab N’ Go can? The crisp, crunchy, hit-the-spot taste of potato seasoned with yummy salt. Ingeniously shaped Pringles Original potato crisps chips are insanely light, crispy, and never greasy. Perfect for sharing, these crisps chips are perfectly salty and bursting with savory flavor. With this convenient, portable can, it’s easy to create your own snacking moments wherever and whenever; Grab a can as a pick-me-up for after school or pack as the ultimate car snack for road trips. Bring these snacks to game time and pack a few for other Pringles fans. Stash this anytime snack in your work desk or pantry to enjoy anytime. Share Pringles at your next cookout or BBQ to turn up the flavor and fun among family and friends. Get your hands on Pringles Original potato crisps chips for an irresistible taste experience that keeps you coming back, stack after stack.,• Crank up snacking moments with the outrageously delicious flavor and crispy shape of Pringles Original potato crisps chips,• The original, stackable potato crisps chips seasoned with satisfying saltiness from edge to edge,• Always tasty, never greasy snacks; Kosher Pareve; Contains wheat ingredients,• Enjoy this can during game time, family movie night, barbeque, or as an anytime snack; The stackable snack options are endless,• Includes one, 2.3oz Grab N' Go can of ready-to-eat Pringles Original potato crisps chips; Packaged for freshness and great taste","Dried Potatoes, Vegetable Oil (corn, Cottonseed, High Oleic Soybean, And/or Sunflower Oil), Degerminated Yellow Corn Flour, Cornstarch, Rice Flour, Maltodextrin, Mono- And Diglycerides, Salt, Wheat Starch",Ready to Eat,Contains wheat ingredients.,,,,,
Chef Boyardee Beef Ravioli Microwave Pasta,$2.29,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6c4edcd9-6d33-46ae-a9cb-3c2510584ec8.jpeg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c187f88a-bc1a-4769-a862-da3073fdff80.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_24f22833-eb90-405b-a13a-ba3ce43082e1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c65b538-19cf-43d3-a026-a6c32298bcc2.jpg 4x","Chef Boyardee Beef Ravioli is a delicious and convenient prepared meal that is ready to eat in minutes and has delighted families for generations. Made with tasty beef ravioli pasta smothered in rich, Italian-flavored pasta sauce, this canned food has the timeless flavor everyone loves. Made with no artificial flavors, colors or preservatives, this iconic pantry staple makes a wholesome meal for kids of ALL ages. When you need a quick stove top or microwave meal, grab a can of beef ravioli pasta and in just a few minutes, dinner is ready to serve. Perfect for office or school lunches, easy dinners, or quick and filling snacks, Chef Boyardee ravioli provides that time-tested taste your family loves.","Tomatoes (tomato Puree, Water), Water, Enriched Wheat Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate [vitamin B1], Riboflavin [vitamin B2], Folic Acid), Beef, Cracker Meal (enriched Wheat Flour [bleached Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], May Contain Guar Gum), Less Than 2% Of: High Fructose Corn Syrup, Salt, Modified Corn Starch, Textured Vegetable Protein (soy Protein Concentrate, Soy Flour, Caramel Color), Soybean Oil, Carrots, Dehydrated Onion, Caramel Color, Citric Acid, Enzyme Modified Cheese (cheddar Cheese [pasteurized Milk, Cultures, Salt, Enzymes], Cream, Water, Salt, Sodium Phosphate, Xanthan Gum, Carotenal [color]), Flavoring","Heating Directions. Microwave: Pour pasta into microwave-safe bowl; cover. Microwave on high 1-1/2 minutes or until hot. Stir before serving. Handle carefully, it’s hot! Stove Top: Pour pasta into saucepan. Heat over medium heat until hot, stirring occasionally. Handle carefully, it’s hot!","Contains: milk, soy, wheat.",,,,,
SNICKERS Share Size Milk Chocolate Candy Bar,$2.89,$3.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e8ce44e5-dd47-4ef5-a716-f0dc4c05d653.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ed0ac6a6-2cf8-4b8d-9f7c-57dd3ed477d5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7b85ca74-0ab7-4e8f-8af3-c704fb051f4f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7d38645a-e138-4a6d-a2b7-a2c51aa51d67.jpg 4x","SNICKERS Sharing Size Chocolate Bars are a delicious treat that friends, family and party guests will love. Bring them to the office, use them in gift baskets or stock up your pantry. Packed with milk chocolate, peanuts, caramel and nougat, SNICKERS Sharing Size Chocolate Candy Bars make a tasty chocolate treat. Each pack comes with two SNICKERS Chocolate Bars, making them the ideal way to satisfy hunger and share with a friend at the same time. Remember, you're not you when you're hungry.,•Contains two (2) share size chocolate candy bars per 3.29oz pack,•Chocolate candy bars packed with milk chocolate, roasted peanuts, nougat, and caramel,•Stock your pantry for when you want a chocolate bar to share with surprise guests,•These sharing-sized candy bars are great for gifts baskets and candy buffets,•Great for sharing with friends, family and the office,•Voted America’s favorite Halloween candy in NBC’s Today Show #BRACKBETWEEN Candy Challenge","Milk Chocolate (sugar, Cocoa Butter, Chocolate, Skim Milk, Lactose, Milkfat, Soy Lecithin), Peanuts, Corn Syrup, Sugar, Palm Oil, Skim Milk, Lactose, Salt, Egg Whites, Artificial Flavor.",{},"Allergy information: contains peanuts, milk, egg and soy. May contain tree nuts.",,,,,
