Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"Indulge in the delicious taste of Bacala Rico Salted Pollock Fillets. These pollock fillets are salted to perfection, giving them a rich and savory flavor that will leave your taste buds wanting more. Pollock is a mild-tasting fish that is low in fat and high in protein, making it a healthy addition to your diet. The Bacala Rico brand is a trusted source of seafood products, known for their commitment to quality and sustainability. You can find these fillets on Instacart, available for same-day delivery or pickup from your local store. Enjoy these mouth-watering pollock fillets as part of your next meal — you—and your family—will love them!","When you want a taste of the ocean, Jolly Roger Fresh Pacific Oysters are a must-try. The meaty and briny flavor is perfect for seafood lovers and those new to oysters alike. Each oyster is carefully harvested from the icy waters of the Pacific Northwest, ensuring quality and freshness in every bite. Oysters are also packed with healthy nutrients such as vitamin B12, zinc, and omega-3 fatty acids. Enjoy them raw or cooked to your liking, and savor the taste of the sea. With Instacart's same-day delivery or pickup, you can easily bring home these delicious oysters without leaving your house.",Milk Free,"For a delicious and easy meal, try Handy Pasteurized Crab Cake Combo Crab Meat. This 8 oz container of frozen crab meat is perfect for making savory crab cakes or adding to salads and sandwiches. With 11 grams of protein per serving and zero carbohydrates, this crab meat is the perfect choice for anyone looking to maintain a healthy diet. Plus, it's pasteurized and free from shells, making preparation a breeze. Simply keep refrigerated until ready to use. Instacart offers same-day delivery or pickup so you can enjoy fresh seafood without ever leaving your home.","Nothing beats the convenience of having restaurant-quality shrimp at home. Censea Peeled & Deveined Shrimp is a delicious and healthy addition to your meals—packed with 15g of protein and only 70 calories per serving, it’s perfect for those on a low-calorie diet. This peeled and deveined shrimp is gluten-free and contains only two ingredients: shrimp and salt. With Instacart's same-day delivery or pickup, you can enjoy this high-quality seafood in no time. Impress your family with mouth-watering shrimp scampi or add it to your favorite salad for a burst of flavor. You—and your taste buds—will thank you!","Savor the delicate flavor of Sea Best Flounder fillets, now available on Instacart for same-day delivery or pickup. These fillets are easy to prepare, and their mild taste pairs well with a variety of seasonings and sauces. To cook them, simply place them in a lightly oiled baking dish and bake at 425 degrees F for 6 to 10 minutes per inch of thickness or pan fry for a golden-brown finish. This seafood delicacy comes with convenient thawing directions and contains no bones after cooking. Plus, with only two simple ingredients: flounder and sodium tripolyphosphate, you can enjoy a tasty meal without any added fillers or preservatives."
"Trans-Ocean Imitation Crab, Flake Style",,$4.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b9f259b-13f3-4ba0-a227-b45184e84c16.jpeg 4x,Gluten Free,,"Fully cooked. Pasteurized. Ready-to-eat. Crab Classic is healthy, great-tasting seafood. The Heart-Check mark does not apply to recipe ideas or serving suggestion. MSC: Certified sustainable seafood. msc.org. This seafood has met the MSC's global standard for sustainability. www.msc.org. Genuine Alaska Pollock. www.alaskapollock.org.,• Gluten Free,• Fat Free/No Fat,• Heart Healthy","Alaska Pollock (msc Certified), Water, Egg Whites, Pea Starch, Sugar, Sorbitol, Potato Starch, Contains 2% Or Less Of: Golden King Crab Meat, Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Refined Fish Oil* (alaska Pollock), Rice Wine (water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine, Paprika, Color Added.","Enjoy in seafood salads, hot dishes & snacks. Recipe Ideas: Seafood salads; Sushi & poke bowls; Quiches & casseroles; Crab dips & rangoons; Pasta dishes & mac 'n cheese.,Must be kept refrigerated to maintain safety.,For best results, use within 3 days after opening. Product can be frozen prior to use-by-date and kept frozen for up to 9 months.","Contains: fish (alaska pollock), crustacean shellfish (golden king crab, blue crab, snow crab, lobster), egg.",,,,,,
"Trans-Ocean Imitation Crab, Leg Style",,$4.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1472eecc-4d66-4b34-89af-4318b7e33ba0.jpeg 4x,Gluten Free,,"Fully cooked. Pasteurized. Ready-to-eat. Crab classic is healthy, great-tasting seafood. Certified Sustainable Seafood MSC. www.msc.org. This seafood has met the MSC's global standard for sustainability. www.msc.org.,• Gluten Free,• Fat Free/No Fat,• Heart Healthy","Alaska Pollock (msc Certified), Water, Egg Whites, Pea Starch, Sugar, Sorbitol, Potato Starch, Contains 2% Or Less Of. Golden King Crab Meat, Natural And Artificial Favor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Refined Fish Oil* (alaska Pollock), Rice Wine (water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine, Paprika, Color Added. *adds A Trivial Amount Of Fat","Enjoy in seafood salads, hot dishes & snacks.,Must be kept refrigerated to maintain safety.,Easy peel.,For best results, use within 3 days after opening. Product can be frozen prior to use-by-date and kept frozen for up to 9 months.","Contains: fish (alaska pollock), crustacean shelfish (golden king crab, blue crab, snow crab, lobster), egg.",,,,,,
"ROMANOV Caviar, Black Lumpfish",,$14.99,,,,"Improved taste! Wild caught in the cold coastal waters of Iceland. For over 175 years, the name Romanoff has been associated with fine caviar. Visit us at: www.romanoffcaviar.com.","Lumpfish Roe, Salt, Water, Red #40, Yellow #5, Blue #1, Caramel Color, Xanthan Gum","Serve well chilled. Tips for Serving Romanoff Caviar: Gently lift when spooning out; caviar is fragile and must be treated tenderly. Use non-metal implements. Metal can impart a metallic flavor. Recommendation is mother-of-pearl or plastic. Serve simply with buttered toast points or blinis, and creme fraiche. Add appeal to canapes and others hors d'oeuvres. Garnish soups, fish, omelets, dips, etc. For best eating experience, serve well chilled. Serving Suggestion: Serve well chilled. Refrigerate after opening.",Contains: fish (lumpfish),,,,,,
"Dockside Classics Crab Cakes, Premium",$8.69,$9.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ae9c0caa-5c65-4515-96b8-47b4515c6cde.jpeg 4x,,,With real and imitation crab and fish flakes. Includes 2 oz cup cocktail sauce. 10 oz crab cakes & 2 oz sauce. Fresh. Never Frozen. Ready on minutes. DocksideClassics.net. Made in USA.,"Premium Crab Cakes - Crabmeat, Crab Surimi (fish Protein [pollock And/or Whiting], Water, Wheat Starch, Sugar, Sorbitol, Contains 2% Or Less Of: Soybean Oil, Salt, Mirin Wine, Natural & Artificial Crab Flavor, Gel Fiber, Calcium Carbonate, Titanium Dioxide, Sodium Tripolyphosphate, Tetrasodium Pyrophosphate), Mayonnaise (soybean Oil, Distilled Vinegar, Egg Yolk, High Fructose Corn Syrup, Contains Less Than 2% Of Salt, Water, Mustard Seed, Calcium Disodium Edta [to Protect Flavor]), Celery, Flour (wheat Flour Enriched [wheat Flour, Niacin, Reduced Tron, Thiamine Mononitrate, Riboflavin, Folic Acid], Malted Barley Flour), Milk, Butter (cream, Salt), Breadcrumbs (bleached Wheat Flour, Yeast, Sugar, Salt), Onions, Seasonings (modified Corn Starch, Salt, Soy Protein Isolate Maltodextrin, Spices [including Celery Seed], Hydrolyzed Soy Protein, Dextrose, Autolyzed Yeast Extract, Xanthan Gum, Guar Gum, Dehydrated Parsley, Soybean Oil, [as A Processing Aid], Paprika, Onion Powder, Soy Protein Concentrate, Cellulose Gum, Cellulose Powder, Not More Than 2% Silicon Dioxide Added To Prevent Caking), Green Peppers, Maltodextrin, Cultured Dextrose, Nisin Preparation [(sodium Chloride, Nisin Prep), Sodium Chloride, Rosemary Extract, Paprika (paprika, Silicon Dioxide Added As An Anticaking Agent [less Than 2%], Ethoxyquin Added To Promote Color Retention [less Than 100 Ppm]),cocktail Sauce - Water, Concentrated Crushed Tomatoes, Horseradish (horseradish Root, Vinegar, Salt), Sugar, Distilled Vinegar, Contains Less Than 2% Of Salt, Lemon Juice Concentrate, Molasses, Dried Onion, Seasoning (dextrose, Dried Onion, Dried Garlic, Maltodextrin, Spice Extractives, Tricalcium Phosphate, Spices, Sugar, Soybean Oil, Citric Acid), Corn Syrup, Enzymes, Garlic Powder, Artificial Flavor, Tamarind, Natural Flavors","Heating Instructions: 1. Pre-heat oven to 400 degrees F. 2. Remove from package. 3. Place cake(s) directly on baking sheet. 4. Place in oven for 16 minutes (Or to an internal temperature of 165 degrees F). All stoves vary. Times given are approximate.,Keep refrigerated at 38 degrees F.","Contains: crab, fish (alaska polloc), wheat, soy, egg, milk. Cocktail Sauce: Contains: soy.",,,,,,
"Trans-Ocean Imitation Crab, Crab Classic, Chunk Style",,$4.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_78d86794-61ab-4090-8edf-88e3e58097e1.jpeg 4x,Gluten Free,,"Fully cooked. Pasteurized. Ready-to-eat. Healthy, great-tasting seafood made with wild Alaska Pollock. Crab Classic is gluten-free, heart healthy and sustainable. It is fully cooked with a mild flavor that is delicious and easy to use in many recipes. MSC: Certified sustainable seafood. www.msc.org. Alaska Genuine Pollock. www.alaskapollock.org.","Alaska Pollock (msc Certified), Water, Pea Starch, Sugar, Sorbitol, Modified Tapioca Starch, Contains 2% Or Less Of King Crab Meat, Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Refined Fish Oil* (alaska Pollock), Rice Wine (water, Rice, Koji), Egg Whites, Sea Salt, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine, Paprika, Color Added.","Enjoy in seafood salads, hot dishes & snacks.,Must be kept refrigerated to maintain safety.,For best results, use within 3 days after opening. Product can be frozen prior to use-by-date and kept frozen for up to 9 months.","Contains: fish (alaska pollock), crustacean shellfish (king crab, blue crab, snow crab, lobster), egg.",,,,,,
Trans-Ocean Seafood Snackers,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eb8c7979-ca87-43f5-824e-f920ae42d39a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_446dbd74-2bf5-40e7-bc35-f89da02cd572.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ac085659-7233-4d48-ab2c-91f9433c65b6.png 4x",,,Fully cooked & ready-to-eat. Certified sustainable seafood MSC. www.msc.org. This seafood has met the MSC's global standard for sustainability. www.msc.org.,"Fish Protein (alaska Pollock And/or Pacific Whiting, Msc Certified), Water, Egg Whites, Pea Starch, Sugar, Sorbitol, Potato Starch, Contains 2% Or Less Of. Golden King Crab Meat, Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Refined Fish Oil* (alaska Pollock), Rice Wine (water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine, Paprika, Color Added. *adds A Trivial Amount Of Fat","Keep refrigerated to maintain safety.,For best results, use within 3 days after opening. Product can be frozen prior to use-by-date, and kept frozen for up to 9 months.","Contains: fish (alaska pollock, pacific whiting), crustacean shellfish (golden king crab, blue crab, snow crab, lobster), egg.",,,,,,
Dockside Classics Lobster Cakes - 4 CT,$8.69,$9.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8a388fa8-5504-4e99-b89a-d2e87ebf346b.jpeg 4x,,,With real and imitation crab and fish flakes. Includes 2 oz cup cocktail sauce. 10 oz crab cakes & 2 oz sauce. Fresh. Never Frozen. Ready on minutes. DocksideClassics.net. Made in the USA.,"Gourmet Lobster Cakes - Lobster Meat, Lobster Surimi (alaska Pollock, Water, Wheat Starch Egg Whites, Sorbitol, Corn Starch, Sugar, Contains 2% Or Less Of: Lobster Meat, Natural And Artificial Lobster Flavors, Mirin Wine [sake, Sugar, Salt, Water, Yeast Extract], Soybean Oil Salt, Calcium Carbonate, Sodium Tripolyphosphate, Tetrasodium Pyrophosphate, Paprika Oleoresin, Carmine), Mayonnaise (soybean Oil, Distilled Vinegar, Egg Yolk, High Fructose Corn Syrup, Contains Less Than 2% Of Salt, Water, Mustard Seed, Calcium Disodium Edta [to Protect Flavor]), Celery, Flour (wheat Flour Enriched [wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Malted Barley Flour), Milk, Breadcrumbs (bleached Wheat Flour, Yeast, Sugar, Salt), Butter (cream, Salt), Onions, Seasonings (modified Corn Starch, Maltodextrin, Soy Protein Isolate, Salt, Hydrolyzed Soy Protein, Dextrose, Spices, Black Pepper, Autolyzed Yeast Extract, Xanthan Gum, Dehydrated Parsley, Soy Protein Concentrate, Cellulose Gum, Cellulose Powder, Not More Than 2% Silicon Dioxide Added To Prevent Caking), Green Peppers, Paprika (paprika, Silicon Dioxide Added As An Anticaking Agent [less Than 2%], Ethoxyquin Added To Promote Color Retention [less Than 100 Ppm]), Maltodextrin, Cultured Dextrose, Nisin Preparation [sodium Chloride, Nisin Prep], Sodium Chloride, Rosemary Extract,dipping Sauce - Soybean Oil, Water, Garlic, Corn Syrup, Salt, Contains Less Than 2% Dried Garlic, Xanthan Gum, Sodium Acid Sulfate, Natural Flavor, Phosphoric Acid, Citric Acid, Natural Extractives Of Paprika And Turmeric (color), Potassium Sorbate And Sodium Benzoate (as Preservatives), Calcium Disodium Edta (added To Protect Product Quality)","Heating Instructions: 1. Pre-heat oven to 400 degrees F. 2. Remove from package. 3. Place cake(s) directly on baking sheet. 4. Place in oven for 16 minutes (Or to an internal temperature of 165 degrees F). All stoves vary. Times given are approximate.,Keep refrigerated at 38 degrees F.","Contains: shellfish (lobster), fish (pollock), wheat, egg, soy, milk.,contains: soy.",,,,,,
SeaPak Calamari with Oven Crispy Breading and Tomato Romano Sauce,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f8118931-3fae-4072-bd95-2ea1744fe2d0.jpeg 4x,,,"Restaurant quality, yet ready in minutes. Our wild-caught calamari rings have the perfect balance of flavor and texture straight out of the oven. Everyone will want to gather around this perfect appetizer. We work hard to make your mealtimes easy. That’s why the SeaPak Shrimp & Seafood Company is the #1 retail brand in the frozen specialty seafood category. SeaPak is committed to making great tasting, high quality seafood products. We’re the shrimp experts, and we’re proud of it. And because we love it so much, we’re known for the care and attention we put toward choosing only the best seafood for all our products.","Squid, Bleached Wheat Flour, Soybean Oil, Water, Wheat Flour, Corn Starch, Powdered Egg Whites, Yellow Corn Flour, Contains Less Than 2% Of The Following: Salt, Sugar, Dextrose, Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Modified Corn Starch, Garlic Powder, Yeast Extract, Whey Powder (Milk), Methylcellulose, Yeast, Disodium Inosinate And Disodium Guanylate, Leavening (Sodium Acid Pyrophosphate, Baking Soda), Citric Acid, Sodium Alginate, Sodium Citrate, Sodium Carbonate, Paprika Oleoresin. Sauce: Water, Tomatoes, Cream (Milk), Sugar, Salt, Corn Starch, Garlic Powder, Skim Milk, Spices, Lemon Juice Concentrate, Onion Powder, Locust Bean Gum, Natural Flavor, Parmesan And Romano Cheese (Pasteurized Part Skim Milk, Cheese Culture, Salt, Enzyme), Red Bell Pepper Puree (Red Bell Pepper, Salt, Citric Acid).",Rotate Stock First In First Out; Keep Frozen At 0°F Or Below.,"Calamari: Contains: egg, milk, wheat. Tomato Romano Sauce: Contains: egg, milk, wheat.",,,,,,
"Chicken of the Sea Imitation Crabmeat, in Brine",,$1.25," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fcdbf2e8-acf7-4f2e-826b-f450c074bcea.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b1f919b8-2f85-45a1-a131-638181b6c7c0.png 4x",,,,"Imitation Crab (threadfin Bream, Water, Potato Starch, Calcium Carbonate, Salt, Sugar, Seasoning Blend [hydrolyzed Crab Protein, Glucose, Sodium Glutamate, L-alanine, 5'-a Flavor Nucleotide Disodium, Glycine], Soybean Protein, Curdlan, Artificial Crab Flavor, Sorbitol, Sodium Tripolyphosphate, Color Added: Paprika Oleoresin), Water, Salt",{},"Contains: fish (threadfin bream), crustacean shellfish (crab), and soy",,,,,,
Echo Falls Wild Alaskan Sockeye Smoked Salmon,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f917bc7b-09eb-41e9-87f6-cc8d04c1688c.png 4x,,,"Easy peel slices. Finest hardwoods & herbs. Traditional pure smoked seafood. Applewood smoked. Fairweather Range, Alaska. Our Wild Sockeye Salmon is sliced, interleaved, and ready for you to enjoy. Prized for its high oil content and rich flavor, this brilliant red salmon is cured using only salt and then cold smoked with applewood for a traditional smoked salmon containing no artificial preservatives or color. Our company is half owned by the Bristol Bay Economic Development Corporation, a non-profit corporation whose purpose is to promote economic growth and opportunities for residents of its member communities through sustainable use of the Bering Sea resources. By purchasing this product, you are helping to create education, employment, and training opportunities for residents of Alaska.","Sockeye Salmon, Salt And Natural Hardwood Smoke.","Important: Must be kept refrigerated at or below 38 degrees F.,Easy peel slices.,For best quality enjoy by date marked on package. Use within 4 days after opening.",May contain bones.,,,,,,
