Product Name,Price,Color,Image URLs,Highlights,Specifications
"Men's Bright Yellow Golf Sneakers, Lightweight Design, Breathable Material for Summer Golf Outings",$69.99,Yellow,"https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/czkfmc1742555140917.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uzxfan1742555139894.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/fizfur1742555134795.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uweoga1742555135896.jpg","['- High-quality microfiber upper for durability and style', '- Breathable mesh lining for added comfort', '- Superior materials for long-lasting performance', '- Stylish design with a focus on both functionality and fashion']",
"Men's Bright Yellow Golf Sneakers, Lightweight Design, Breathable Material for Summer Golf Outings",$69.99,Blue,"https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/czkfmc1742555140917.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uzxfan1742555139894.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/fizfur1742555134795.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uweoga1742555135896.jpg","['- High-quality microfiber upper for durability and style', '- Breathable mesh lining for added comfort', '- Superior materials for long-lasting performance', '- Stylish design with a focus on both functionality and fashion']",
"Men's Bright Yellow Golf Sneakers, Lightweight Design, Breathable Material for Summer Golf Outings",$69.99,Green,"https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/czkfmc1742555140917.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uzxfan1742555139894.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/fizfur1742555134795.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uweoga1742555135896.jpg","['- High-quality microfiber upper for durability and style', '- Breathable mesh lining for added comfort', '- Superior materials for long-lasting performance', '- Stylish design with a focus on both functionality and fashion']",
"Men's Bright Yellow Golf Sneakers, Lightweight Design, Breathable Material for Summer Golf Outings",$69.99,Black / White,"https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/czkfmc1742555140917.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uzxfan1742555139894.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/fizfur1742555134795.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202503/bps/product/inc/uweoga1742555135896.jpg","['- High-quality microfiber upper for durability and style', '- Breathable mesh lining for added comfort', '- Superior materials for long-lasting performance', '- Stylish design with a focus on both functionality and fashion']",
Women’s Lightweight Golf Shoes – Modern Sports Trainers with Pink Accents for Daily Golf Practice and Summer Outdoor Activities,$69.99,Pink / White,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/mvduir1750934919576.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/spubcf1750934917934.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/datzxp1750934915986.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/syalcx1750934921179.jpg",,"[""Gender: Women's"", 'Category: Sneakers', 'Style: Sporty, Casual, Comfort', 'Occasion: Outdoor', 'Activity: Golf', 'Toe Shape: Round Toe', 'Upper Materials: Microfiber, Microbial Leather', 'Outsole Materials: Rubber, EVA', 'Platform Height (inch): 4.14', 'Pattern: Color Block, Camouflage', 'Function: Non-Slip, Shockproof, Breathable, Wear-Resistant', 'Closure Type: Elastic Band', 'Strap Type: Adjustable Strap', 'Heel Type: Flat Heel']"
Women’s Lightweight Golf Shoes – Modern Sports Trainers with Pink Accents for Daily Golf Practice and Summer Outdoor Activities,$69.99,White / Blue,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/mvduir1750934919576.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/spubcf1750934917934.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/datzxp1750934915986.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/syalcx1750934921179.jpg",,"[""Gender: Women's"", 'Category: Sneakers', 'Style: Sporty, Casual, Comfort', 'Occasion: Outdoor', 'Activity: Golf', 'Toe Shape: Round Toe', 'Upper Materials: Microfiber, Microbial Leather', 'Outsole Materials: Rubber, EVA', 'Platform Height (inch): 4.14', 'Pattern: Color Block, Camouflage', 'Function: Non-Slip, Shockproof, Breathable, Wear-Resistant', 'Closure Type: Elastic Band', 'Strap Type: Adjustable Strap', 'Heel Type: Flat Heel']"
Women’s Lightweight Golf Shoes – Modern Sports Trainers with Pink Accents for Daily Golf Practice and Summer Outdoor Activities,$69.99,Gray,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/mvduir1750934919576.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/spubcf1750934917934.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/datzxp1750934915986.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/syalcx1750934921179.jpg",,"[""Gender: Women's"", 'Category: Sneakers', 'Style: Sporty, Casual, Comfort', 'Occasion: Outdoor', 'Activity: Golf', 'Toe Shape: Round Toe', 'Upper Materials: Microfiber, Microbial Leather', 'Outsole Materials: Rubber, EVA', 'Platform Height (inch): 4.14', 'Pattern: Color Block, Camouflage', 'Function: Non-Slip, Shockproof, Breathable, Wear-Resistant', 'Closure Type: Elastic Band', 'Strap Type: Adjustable Strap', 'Heel Type: Flat Heel']"
"Women's Sleek Golf Shoes - Waterproof with Soft Spike Technology, Perfect for Enhancing Swing Stability",$59.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/mmmzhf1741345191893.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/rwuvoh1741345194554.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/ppxmip1741345196490.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/txameg1741345198039.jpg","['- High-Quality Microbial Leather Upper', '- Stylish Round Toe Shape', '- Durable Rubber Outsole', '- Comfortable MD (Phylon) Outsole materials']",
"Women's Sleek Golf Shoes - Waterproof with Soft Spike Technology, Perfect for Enhancing Swing Stability",$59.99,Pink / White,"https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/mmmzhf1741345191893.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/rwuvoh1741345194554.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/ppxmip1741345196490.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/txameg1741345198039.jpg","['- High-Quality Microbial Leather Upper', '- Stylish Round Toe Shape', '- Durable Rubber Outsole', '- Comfortable MD (Phylon) Outsole materials']",
"Women's Sleek Golf Shoes - Waterproof with Soft Spike Technology, Perfect for Enhancing Swing Stability",$59.99,Light Grey,"https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/mmmzhf1741345191893.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/rwuvoh1741345194554.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/ppxmip1741345196490.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/txameg1741345198039.jpg","['- High-Quality Microbial Leather Upper', '- Stylish Round Toe Shape', '- Durable Rubber Outsole', '- Comfortable MD (Phylon) Outsole materials']",
