Product Name,Price,Color,Image URLs,Highlights,Specifications
Girls' Silver Strappy Latin Dance Shoes – Low Heel Ballroom Sandals with Suede Sole for Performance & Practice,$24.99,,"https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/biqcat1658480109571.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/hjcitg1658480110086.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/cysdwn1658480110341.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/qbqaxv1658725552562.jpg","[""[Fabric] Crafted from high-quality satin, these women's Latin dance shoes offer a luxurious and smooth texture, ensuring both comfort and elegance during your dance routines."", '[Style and Fit] These shoes feature a low heel design, perfect for providing stability and comfort, making them ideal for extended dance sessions. The open-toe design with intricately woven front straps adds a sophisticated touch to the shoes.', ""[Design Highlights] The adjustable ankle strap with a buckle ensures a secure and customized fit. The shoes' suede outsole enhances grip, providing better support and flexibility during movement."", '[Occasions] Perfect for stage performances, indoor practice sessions, and dances like ChaCha and Rumba. Whether attending a dance class or prepping for a performance, these shoes blend functionality with style.', '[Size Notice] Available in an extensive size range, from EU Size 26 to 40, accommodating various foot sizes. It is recommended to select one size larger than usual for the best fit.']",
Girls' Silver Strappy Latin Dance Shoes – Low Heel Ballroom Sandals with Suede Sole for Performance & Practice,$24.99,Black,"https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/biqcat1658480109571.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/hjcitg1658480110086.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/cysdwn1658480110341.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/qbqaxv1658725552562.jpg","[""[Fabric] Crafted from high-quality satin, these women's Latin dance shoes offer a luxurious and smooth texture, ensuring both comfort and elegance during your dance routines."", '[Style and Fit] These shoes feature a low heel design, perfect for providing stability and comfort, making them ideal for extended dance sessions. The open-toe design with intricately woven front straps adds a sophisticated touch to the shoes.', ""[Design Highlights] The adjustable ankle strap with a buckle ensures a secure and customized fit. The shoes' suede outsole enhances grip, providing better support and flexibility during movement."", '[Occasions] Perfect for stage performances, indoor practice sessions, and dances like ChaCha and Rumba. Whether attending a dance class or prepping for a performance, these shoes blend functionality with style.', '[Size Notice] Available in an extensive size range, from EU Size 26 to 40, accommodating various foot sizes. It is recommended to select one size larger than usual for the best fit.']",
Girls' Silver Strappy Latin Dance Shoes – Low Heel Ballroom Sandals with Suede Sole for Performance & Practice,$24.99,Tan,"https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/biqcat1658480109571.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/hjcitg1658480110086.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/cysdwn1658480110341.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/qbqaxv1658725552562.jpg","[""[Fabric] Crafted from high-quality satin, these women's Latin dance shoes offer a luxurious and smooth texture, ensuring both comfort and elegance during your dance routines."", '[Style and Fit] These shoes feature a low heel design, perfect for providing stability and comfort, making them ideal for extended dance sessions. The open-toe design with intricately woven front straps adds a sophisticated touch to the shoes.', ""[Design Highlights] The adjustable ankle strap with a buckle ensures a secure and customized fit. The shoes' suede outsole enhances grip, providing better support and flexibility during movement."", '[Occasions] Perfect for stage performances, indoor practice sessions, and dances like ChaCha and Rumba. Whether attending a dance class or prepping for a performance, these shoes blend functionality with style.', '[Size Notice] Available in an extensive size range, from EU Size 26 to 40, accommodating various foot sizes. It is recommended to select one size larger than usual for the best fit.']",
Girls' Silver Strappy Latin Dance Shoes – Low Heel Ballroom Sandals with Suede Sole for Performance & Practice,$24.99,White,"https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/biqcat1658480109571.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/hjcitg1658480110086.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/cysdwn1658480110341.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/qbqaxv1658725552562.jpg","[""[Fabric] Crafted from high-quality satin, these women's Latin dance shoes offer a luxurious and smooth texture, ensuring both comfort and elegance during your dance routines."", '[Style and Fit] These shoes feature a low heel design, perfect for providing stability and comfort, making them ideal for extended dance sessions. The open-toe design with intricately woven front straps adds a sophisticated touch to the shoes.', ""[Design Highlights] The adjustable ankle strap with a buckle ensures a secure and customized fit. The shoes' suede outsole enhances grip, providing better support and flexibility during movement."", '[Occasions] Perfect for stage performances, indoor practice sessions, and dances like ChaCha and Rumba. Whether attending a dance class or prepping for a performance, these shoes blend functionality with style.', '[Size Notice] Available in an extensive size range, from EU Size 26 to 40, accommodating various foot sizes. It is recommended to select one size larger than usual for the best fit.']",
Girls' Silver Strappy Latin Dance Shoes – Low Heel Ballroom Sandals with Suede Sole for Performance & Practice,$24.99,Navy,"https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/biqcat1658480109571.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/hjcitg1658480110086.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/cysdwn1658480110341.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/qbqaxv1658725552562.jpg","[""[Fabric] Crafted from high-quality satin, these women's Latin dance shoes offer a luxurious and smooth texture, ensuring both comfort and elegance during your dance routines."", '[Style and Fit] These shoes feature a low heel design, perfect for providing stability and comfort, making them ideal for extended dance sessions. The open-toe design with intricately woven front straps adds a sophisticated touch to the shoes.', ""[Design Highlights] The adjustable ankle strap with a buckle ensures a secure and customized fit. The shoes' suede outsole enhances grip, providing better support and flexibility during movement."", '[Occasions] Perfect for stage performances, indoor practice sessions, and dances like ChaCha and Rumba. Whether attending a dance class or prepping for a performance, these shoes blend functionality with style.', '[Size Notice] Available in an extensive size range, from EU Size 26 to 40, accommodating various foot sizes. It is recommended to select one size larger than usual for the best fit.']",
Girls' Silver Strappy Latin Dance Shoes – Low Heel Ballroom Sandals with Suede Sole for Performance & Practice,$24.99,Red,"https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/biqcat1658480109571.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/hjcitg1658480110086.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/cysdwn1658480110341.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/qbqaxv1658725552562.jpg","[""[Fabric] Crafted from high-quality satin, these women's Latin dance shoes offer a luxurious and smooth texture, ensuring both comfort and elegance during your dance routines."", '[Style and Fit] These shoes feature a low heel design, perfect for providing stability and comfort, making them ideal for extended dance sessions. The open-toe design with intricately woven front straps adds a sophisticated touch to the shoes.', ""[Design Highlights] The adjustable ankle strap with a buckle ensures a secure and customized fit. The shoes' suede outsole enhances grip, providing better support and flexibility during movement."", '[Occasions] Perfect for stage performances, indoor practice sessions, and dances like ChaCha and Rumba. Whether attending a dance class or prepping for a performance, these shoes blend functionality with style.', '[Size Notice] Available in an extensive size range, from EU Size 26 to 40, accommodating various foot sizes. It is recommended to select one size larger than usual for the best fit.']",
Girls' Silver Strappy Latin Dance Shoes – Low Heel Ballroom Sandals with Suede Sole for Performance & Practice,$24.99,Gold,"https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/biqcat1658480109571.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/hjcitg1658480110086.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/cysdwn1658480110341.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/qbqaxv1658725552562.jpg","[""[Fabric] Crafted from high-quality satin, these women's Latin dance shoes offer a luxurious and smooth texture, ensuring both comfort and elegance during your dance routines."", '[Style and Fit] These shoes feature a low heel design, perfect for providing stability and comfort, making them ideal for extended dance sessions. The open-toe design with intricately woven front straps adds a sophisticated touch to the shoes.', ""[Design Highlights] The adjustable ankle strap with a buckle ensures a secure and customized fit. The shoes' suede outsole enhances grip, providing better support and flexibility during movement."", '[Occasions] Perfect for stage performances, indoor practice sessions, and dances like ChaCha and Rumba. Whether attending a dance class or prepping for a performance, these shoes blend functionality with style.', '[Size Notice] Available in an extensive size range, from EU Size 26 to 40, accommodating various foot sizes. It is recommended to select one size larger than usual for the best fit.']",
Girls' Silver Strappy Latin Dance Shoes – Low Heel Ballroom Sandals with Suede Sole for Performance & Practice,$24.99,Blue,"https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/biqcat1658480109571.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/hjcitg1658480110086.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/cysdwn1658480110341.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202207/bps/product/inc/qbqaxv1658725552562.jpg","[""[Fabric] Crafted from high-quality satin, these women's Latin dance shoes offer a luxurious and smooth texture, ensuring both comfort and elegance during your dance routines."", '[Style and Fit] These shoes feature a low heel design, perfect for providing stability and comfort, making them ideal for extended dance sessions. The open-toe design with intricately woven front straps adds a sophisticated touch to the shoes.', ""[Design Highlights] The adjustable ankle strap with a buckle ensures a secure and customized fit. The shoes' suede outsole enhances grip, providing better support and flexibility during movement."", '[Occasions] Perfect for stage performances, indoor practice sessions, and dances like ChaCha and Rumba. Whether attending a dance class or prepping for a performance, these shoes blend functionality with style.', '[Size Notice] Available in an extensive size range, from EU Size 26 to 40, accommodating various foot sizes. It is recommended to select one size larger than usual for the best fit.']",
Women's Professional Glitter Mesh Dance Shoes with Gold Metallic Accents and Adjustable Ankle Strap for Ballroom and Latin Dance,$32.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/qqttjs1750762314027.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ohmakz1750762316016.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/kbgdmm1750762317540.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ujhexq1750762319814.jpg","['- Made with sparkling glitter for a eye-catching look', '- Elevate your style with these shimmering upper materials', '- Add a touch of glamour to any outfit', '- Stand out from the crowd with these unique and trendy materials']",
Women's Professional Glitter Mesh Dance Shoes with Gold Metallic Accents and Adjustable Ankle Strap for Ballroom and Latin Dance,$32.99,Silver,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/qqttjs1750762314027.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ohmakz1750762316016.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/kbgdmm1750762317540.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ujhexq1750762319814.jpg","['- Made with sparkling glitter for a eye-catching look', '- Elevate your style with these shimmering upper materials', '- Add a touch of glamour to any outfit', '- Stand out from the crowd with these unique and trendy materials']",
