Product Name,Price,Color,Image URLs,Specifications
"Men's Multilayer Wooden Bead Bracelet Set, Bohemian Style Handmade Jewelry for Casual and Beachwear",$7.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/mouaag1735127576684.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/zvyjdj1735127577972.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/xuwlbo1735127579437.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/vltpzx1735127584304.jpg","[""Gender: Men's"", 'Material: Wood', 'Style: Bohemia, Fashion', 'Jewelry Type: Chain Bracelet, Bracelet Set']"
Men's Leather Bracelet Set – Vintage Multilayer Braided Cuff with Beads and Tree of Life Charm for Casual and Bohemian Styles,$4.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202411/bps/product/inc/gsawas1731565966177.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202411/bps/product/inc/ymeetp1731565967335.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202411/bps/product/inc/cnzpbk1731565968666.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202411/bps/product/inc/fepulq1731565969926.jpg","[""Gender: Men's"", 'Material: Alloy, Genuine Leather', 'Style: Bohemia, Fashion', 'Jewelry Type: Layered Necklace, Beaded Bracelet']"
"Funny Golf Green Hat with Ball and Flag – Soft Plush Novelty Cap for Men and Women – Perfect for Golf Parties, Costume Events and Gag Gifts",$14.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/fhjsoc1750935097147.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/hbmefn1750935098405.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/dtcmzg1750935099438.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ntuplp1750935100831.jpg","['Season: Spring, Summer, Fall, All Seasons', ""Gender: Women's, Men's"", 'Style: Halloween, Funny, Golf', 'Material: Polyester', 'Pattern: Solid Color', 'Type: Sun Hat, Beret Hat']"
"Women’s Halloween Spider Web Bracelet Ring Set – Gothic Alloy Hand Chain Jewelry with Adjustable Fit, Party and Cosplay Accessories",$9.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/xsacft1752827940028.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/dhfoyu1752827932792.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/lpkhnr1752827934020.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/oylqyu1752827935203.jpg","[""Gender: Women's"", 'Material: Alloy', 'Style: Punk, Helloween', 'Jewelry Type: Bracelet, Bracelet Set']"
"Women’s Halloween Spider Web Bracelet Ring Set – Gothic Alloy Hand Chain Jewelry with Adjustable Fit, Party and Cosplay Accessories",$9.99,Silver,"https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/xsacft1752827940028.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/dhfoyu1752827932792.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/lpkhnr1752827934020.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/oylqyu1752827935203.jpg","[""Gender: Women's"", 'Material: Alloy', 'Style: Punk, Helloween', 'Jewelry Type: Bracelet, Bracelet Set']"
Men's Boho Layered Necklace with Wooden Beads and Pendant – Tribal-Inspired Double-Strand Necklace for Casual and Beachwear Style,$11.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202410/bps/product/inc/iryite1729913758697.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202410/bps/product/inc/mpcaeh1729913754473.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202410/bps/product/inc/bwkcpv1729913755586.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202410/bps/product/inc/sezwie1729913756581.jpg","[""Gender: Men's"", 'Material: Wood', 'Style: Vintage, Bohemia, Fashion', 'Jewelry Type: Pendant Necklace', 'Shape: Round', 'Shipping Weight (kg): 0.1', 'Package Dimensions (cm): 12.0*1.0*3.0', 'Listing Date: 10/26/2024']"
"Men's Elastic Woven Braided Belt – Adjustable Stretch Belt with Leather Buckle for Casual, Business and Outdoor Occasions",$14.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wrzyyq1736476865866.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/inlcwi1736476856874.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/hmnfpc1736476857684.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/slfmrp1736476858514.jpg","[""Gender: Men's"", 'Category: Belt', 'Style: Fashion, Weaving', 'Design: Classic, Adjustable', 'Pattern: Solid Color', 'Season: Spring, Summer, Fall, Winter', 'Material: Polyester', 'Function: Adjustable', 'Belt Silhouette: Waist Belt']"
"Men's Elastic Woven Braided Belt – Adjustable Stretch Belt with Leather Buckle for Casual, Business and Outdoor Occasions",$14.99,Black,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wrzyyq1736476865866.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/inlcwi1736476856874.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/hmnfpc1736476857684.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/slfmrp1736476858514.jpg","[""Gender: Men's"", 'Category: Belt', 'Style: Fashion, Weaving', 'Design: Classic, Adjustable', 'Pattern: Solid Color', 'Season: Spring, Summer, Fall, Winter', 'Material: Polyester', 'Function: Adjustable', 'Belt Silhouette: Waist Belt']"
"Men's Elastic Woven Braided Belt – Adjustable Stretch Belt with Leather Buckle for Casual, Business and Outdoor Occasions",$14.99,Navy Blue,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wrzyyq1736476865866.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/inlcwi1736476856874.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/hmnfpc1736476857684.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/slfmrp1736476858514.jpg","[""Gender: Men's"", 'Category: Belt', 'Style: Fashion, Weaving', 'Design: Classic, Adjustable', 'Pattern: Solid Color', 'Season: Spring, Summer, Fall, Winter', 'Material: Polyester', 'Function: Adjustable', 'Belt Silhouette: Waist Belt']"
"Men's Elastic Woven Braided Belt – Adjustable Stretch Belt with Leather Buckle for Casual, Business and Outdoor Occasions",$14.99,Khaki,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wrzyyq1736476865866.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/inlcwi1736476856874.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/hmnfpc1736476857684.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/slfmrp1736476858514.jpg","[""Gender: Men's"", 'Category: Belt', 'Style: Fashion, Weaving', 'Design: Classic, Adjustable', 'Pattern: Solid Color', 'Season: Spring, Summer, Fall, Winter', 'Material: Polyester', 'Function: Adjustable', 'Belt Silhouette: Waist Belt']"
"Men's Elastic Woven Braided Belt – Adjustable Stretch Belt with Leather Buckle for Casual, Business and Outdoor Occasions",$14.99,Dark Grey,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wrzyyq1736476865866.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/inlcwi1736476856874.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/hmnfpc1736476857684.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/slfmrp1736476858514.jpg","[""Gender: Men's"", 'Category: Belt', 'Style: Fashion, Weaving', 'Design: Classic, Adjustable', 'Pattern: Solid Color', 'Season: Spring, Summer, Fall, Winter', 'Material: Polyester', 'Function: Adjustable', 'Belt Silhouette: Waist Belt']"
"Men's Elastic Woven Braided Belt – Adjustable Stretch Belt with Leather Buckle for Casual, Business and Outdoor Occasions",$14.99,Coffee,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wrzyyq1736476865866.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/inlcwi1736476856874.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/hmnfpc1736476857684.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/slfmrp1736476858514.jpg","[""Gender: Men's"", 'Category: Belt', 'Style: Fashion, Weaving', 'Design: Classic, Adjustable', 'Pattern: Solid Color', 'Season: Spring, Summer, Fall, Winter', 'Material: Polyester', 'Function: Adjustable', 'Belt Silhouette: Waist Belt']"
"Men's Elastic Woven Braided Belt – Adjustable Stretch Belt with Leather Buckle for Casual, Business and Outdoor Occasions",$14.99,Red,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wrzyyq1736476865866.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/inlcwi1736476856874.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/hmnfpc1736476857684.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/slfmrp1736476858514.jpg","[""Gender: Men's"", 'Category: Belt', 'Style: Fashion, Weaving', 'Design: Classic, Adjustable', 'Pattern: Solid Color', 'Season: Spring, Summer, Fall, Winter', 'Material: Polyester', 'Function: Adjustable', 'Belt Silhouette: Waist Belt']"
"Men's Elastic Woven Braided Belt – Adjustable Stretch Belt with Leather Buckle for Casual, Business and Outdoor Occasions",$14.99,White,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wrzyyq1736476865866.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/inlcwi1736476856874.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/hmnfpc1736476857684.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/slfmrp1736476858514.jpg","[""Gender: Men's"", 'Category: Belt', 'Style: Fashion, Weaving', 'Design: Classic, Adjustable', 'Pattern: Solid Color', 'Season: Spring, Summer, Fall, Winter', 'Material: Polyester', 'Function: Adjustable', 'Belt Silhouette: Waist Belt']"
"Boho Beach Anklet Set for Women – Multi-Layer Shell and Beaded Design with Starfish Charm, Perfect for Summer, Vacations and Beachwear",$7.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wanzgk1736334297605.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/tupnds1736334298672.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/wcsktw1736334299732.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202501/bps/product/inc/ygkikz1736334300493.jpg","[""Gender: Women's"", 'Material: Alloy, Glass', 'Design: Double Layered', 'Style: Anklet, Tropical, Bohemia', 'Jewelry Type: Anklet']"
"Women's Multicolored Paisley Print Slouchy Cap – Lightweight Bohemian-Style Hat for Casual Wear, Outdoor Activities, and Travel",$11.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/bjuvxn1733461781337.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/thlaue1733461782738.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lssprs1733461783919.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/tzhbaf1733461784915.jpg","['Season: All Seasons', ""Gender: Women's"", 'Style: Bohemia, Daily', 'Material: Polyester', 'Pattern: Paisley, National Totem', 'Type: Peaked Cap, Knitted hat']"
"Women's Multicolored Paisley Print Slouchy Cap – Lightweight Bohemian-Style Hat for Casual Wear, Outdoor Activities, and Travel",$11.99,1#,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/bjuvxn1733461781337.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/thlaue1733461782738.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lssprs1733461783919.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/tzhbaf1733461784915.jpg","['Season: All Seasons', ""Gender: Women's"", 'Style: Bohemia, Daily', 'Material: Polyester', 'Pattern: Paisley, National Totem', 'Type: Peaked Cap, Knitted hat']"
"Women's Multicolored Paisley Print Slouchy Cap – Lightweight Bohemian-Style Hat for Casual Wear, Outdoor Activities, and Travel",$11.99,2#,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/bjuvxn1733461781337.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/thlaue1733461782738.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lssprs1733461783919.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/tzhbaf1733461784915.jpg","['Season: All Seasons', ""Gender: Women's"", 'Style: Bohemia, Daily', 'Material: Polyester', 'Pattern: Paisley, National Totem', 'Type: Peaked Cap, Knitted hat']"
"Women's Multicolored Paisley Print Slouchy Cap – Lightweight Bohemian-Style Hat for Casual Wear, Outdoor Activities, and Travel",$11.99,3#,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/bjuvxn1733461781337.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/thlaue1733461782738.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lssprs1733461783919.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/tzhbaf1733461784915.jpg","['Season: All Seasons', ""Gender: Women's"", 'Style: Bohemia, Daily', 'Material: Polyester', 'Pattern: Paisley, National Totem', 'Type: Peaked Cap, Knitted hat']"
