Product Name,Price,Color,Image URLs,Highlights,Specifications,Selling Point
"Women's Flyknit Sneakers with Blue Butterfly Print – Fashionable Lightweight Trainers for Walking, Casual Outings and Travel",$19.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qkstyl1746702552231.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/sufhfm1746702528137.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/siatfn1746702529555.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/mltvuj1746702530740.jpg","['- Stylish upper materials made of Tissage Volant', '- Classic round toe shape for a comfortable fit', '- Durable outsole made of PVC for long-lasting wear']",,
"Women's Flyknit Sneakers with Blue Butterfly Print – Fashionable Lightweight Trainers for Walking, Casual Outings and Travel",$19.99,Green,"https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qkstyl1746702552231.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/sufhfm1746702528137.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/siatfn1746702529555.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/mltvuj1746702530740.jpg","['- Stylish upper materials made of Tissage Volant', '- Classic round toe shape for a comfortable fit', '- Durable outsole made of PVC for long-lasting wear']",,
"Women's Flyknit Sneakers with Blue Butterfly Print – Fashionable Lightweight Trainers for Walking, Casual Outings and Travel",$19.99,Black,"https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qkstyl1746702552231.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/sufhfm1746702528137.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/siatfn1746702529555.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/mltvuj1746702530740.jpg","['- Stylish upper materials made of Tissage Volant', '- Classic round toe shape for a comfortable fit', '- Durable outsole made of PVC for long-lasting wear']",,
"Women's Flyknit Sneakers with Blue Butterfly Print – Fashionable Lightweight Trainers for Walking, Casual Outings and Travel",$19.99,Dark Blue,"https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qkstyl1746702552231.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/sufhfm1746702528137.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/siatfn1746702529555.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/mltvuj1746702530740.jpg","['- Stylish upper materials made of Tissage Volant', '- Classic round toe shape for a comfortable fit', '- Durable outsole made of PVC for long-lasting wear']",,
"Women's Flyknit Sneakers with Blue Butterfly Print – Fashionable Lightweight Trainers for Walking, Casual Outings and Travel",$19.99,Light Green,"https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qkstyl1746702552231.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/sufhfm1746702528137.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/siatfn1746702529555.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/mltvuj1746702530740.jpg","['- Stylish upper materials made of Tissage Volant', '- Classic round toe shape for a comfortable fit', '- Durable outsole made of PVC for long-lasting wear']",,
"Women's Flyknit Sneakers with Blue Butterfly Print – Fashionable Lightweight Trainers for Walking, Casual Outings and Travel",$19.99,Blue,"https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qkstyl1746702552231.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/sufhfm1746702528137.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/siatfn1746702529555.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/mltvuj1746702530740.jpg","['- Stylish upper materials made of Tissage Volant', '- Classic round toe shape for a comfortable fit', '- Durable outsole made of PVC for long-lasting wear']",,
"Women's Flyknit Sneakers with Blue Butterfly Print – Fashionable Lightweight Trainers for Walking, Casual Outings and Travel",$19.99,Green / Blue,"https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qkstyl1746702552231.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/sufhfm1746702528137.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/siatfn1746702529555.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/mltvuj1746702530740.jpg","['- Stylish upper materials made of Tissage Volant', '- Classic round toe shape for a comfortable fit', '- Durable outsole made of PVC for long-lasting wear']",,
"Women's Flyknit Sneakers with Blue Butterfly Print – Fashionable Lightweight Trainers for Walking, Casual Outings and Travel",$19.99,Khaki,"https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qkstyl1746702552231.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/sufhfm1746702528137.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/siatfn1746702529555.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/mltvuj1746702530740.jpg","['- Stylish upper materials made of Tissage Volant', '- Classic round toe shape for a comfortable fit', '- Durable outsole made of PVC for long-lasting wear']",,
"Women's Halloween Slip-On Sneakers – Black Flyknit Comfort Shoes with Vampire Lips and Skull Print for Costume Parties, Trick-or-Treating and Casual Fall Wear Sarah Richter",$34.99,Dark Grey,"https://litb-cgis.rightinthebox.com/images/170x170/202506/bps/product/inc/rrjplv1751006278036.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202506/bps/product/inc/truygd1751006277000.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202506/bps/product/inc/gygtgy1751006272499.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202506/bps/product/inc/eefgst1751006275079.jpg","['- Crafted with Tissage Volant material for a luxurious feel', '- Classic round toe design for a timeless look', '- Closed toe for added comfort and protection', '- Outsole made of durable EVA for long-lasting wear']",,
"Women's Halloween Slip-On Sneakers – Black Flyknit Comfort Shoes with Vampire Lips and Skull Print for Costume Parties, Trick-or-Treating and Casual Fall Wear Sarah Richter",$34.99,Rose Pink,"https://litb-cgis.rightinthebox.com/images/170x170/202506/bps/product/inc/rrjplv1751006278036.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202506/bps/product/inc/truygd1751006277000.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202506/bps/product/inc/gygtgy1751006272499.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202506/bps/product/inc/eefgst1751006275079.jpg","['- Crafted with Tissage Volant material for a luxurious feel', '- Classic round toe design for a timeless look', '- Closed toe for added comfort and protection', '- Outsole made of durable EVA for long-lasting wear']",,
