Product Name,Price,Color,Image URLs,Highlights,Selling Points
"Girls' Glitter Princess Party Shoes – Sparkling Mary Jane Dress Shoes with Bow and Rhinestone Details, Perfect for Weddings and Special Occasions",$24.99,Pink,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/wpejhw1661758157991.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/tlhdur1661422441077.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/okjpml1661422778393.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202105/bps/product/inc/qgkyme1621995289832.jpg","['Product Selling Points:', '', '- Soft footbed provides comfortable fit and prevents shoe bites', '- Adjustable strap with buckle ensures proper fit', '- Round toe promotes healthy growth of feet', '- Low 1.18 inch heel allows for easy movement', '- Sequin bowknot with rhinestone detail adds a stylish touch', '- Versatile design for multiple outfit options', '- Perfect for dress, dance, performance, or cosplay occasions', '- Suitable for weddings as a Mary Jane style shoe', '- Your little girl will stand out with the shimmery, cute and princess-like appearance.']",
"Girls' Glitter Princess Party Shoes – Sparkling Mary Jane Dress Shoes with Bow and Rhinestone Details, Perfect for Weddings and Special Occasions",$24.99,Purple,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/wpejhw1661758157991.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/tlhdur1661422441077.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/okjpml1661422778393.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202105/bps/product/inc/qgkyme1621995289832.jpg","['Product Selling Points:', '', '- Soft footbed provides comfortable fit and prevents shoe bites', '- Adjustable strap with buckle ensures proper fit', '- Round toe promotes healthy growth of feet', '- Low 1.18 inch heel allows for easy movement', '- Sequin bowknot with rhinestone detail adds a stylish touch', '- Versatile design for multiple outfit options', '- Perfect for dress, dance, performance, or cosplay occasions', '- Suitable for weddings as a Mary Jane style shoe', '- Your little girl will stand out with the shimmery, cute and princess-like appearance.']",
"Girls' Glitter Princess Party Shoes – Sparkling Mary Jane Dress Shoes with Bow and Rhinestone Details, Perfect for Weddings and Special Occasions",$24.99,Blue,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/wpejhw1661758157991.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/tlhdur1661422441077.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/okjpml1661422778393.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202105/bps/product/inc/qgkyme1621995289832.jpg","['Product Selling Points:', '', '- Soft footbed provides comfortable fit and prevents shoe bites', '- Adjustable strap with buckle ensures proper fit', '- Round toe promotes healthy growth of feet', '- Low 1.18 inch heel allows for easy movement', '- Sequin bowknot with rhinestone detail adds a stylish touch', '- Versatile design for multiple outfit options', '- Perfect for dress, dance, performance, or cosplay occasions', '- Suitable for weddings as a Mary Jane style shoe', '- Your little girl will stand out with the shimmery, cute and princess-like appearance.']",
"Girls' Glitter Princess Party Shoes – Sparkling Mary Jane Dress Shoes with Bow and Rhinestone Details, Perfect for Weddings and Special Occasions",$24.99,Silver,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/wpejhw1661758157991.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/tlhdur1661422441077.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/okjpml1661422778393.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202105/bps/product/inc/qgkyme1621995289832.jpg","['Product Selling Points:', '', '- Soft footbed provides comfortable fit and prevents shoe bites', '- Adjustable strap with buckle ensures proper fit', '- Round toe promotes healthy growth of feet', '- Low 1.18 inch heel allows for easy movement', '- Sequin bowknot with rhinestone detail adds a stylish touch', '- Versatile design for multiple outfit options', '- Perfect for dress, dance, performance, or cosplay occasions', '- Suitable for weddings as a Mary Jane style shoe', '- Your little girl will stand out with the shimmery, cute and princess-like appearance.']",
"Girls' Glitter Princess Party Shoes – Sparkling Mary Jane Dress Shoes with Bow and Rhinestone Details, Perfect for Weddings and Special Occasions",$24.99,Gold,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/wpejhw1661758157991.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/tlhdur1661422441077.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/okjpml1661422778393.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202105/bps/product/inc/qgkyme1621995289832.jpg","['Product Selling Points:', '', '- Soft footbed provides comfortable fit and prevents shoe bites', '- Adjustable strap with buckle ensures proper fit', '- Round toe promotes healthy growth of feet', '- Low 1.18 inch heel allows for easy movement', '- Sequin bowknot with rhinestone detail adds a stylish touch', '- Versatile design for multiple outfit options', '- Perfect for dress, dance, performance, or cosplay occasions', '- Suitable for weddings as a Mary Jane style shoe', '- Your little girl will stand out with the shimmery, cute and princess-like appearance.']",
"Girls' Glitter Princess Party Shoes – Sparkling Mary Jane Dress Shoes with Bow and Rhinestone Details, Perfect for Weddings and Special Occasions",$24.99,Red,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/wpejhw1661758157991.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/tlhdur1661422441077.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/okjpml1661422778393.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202105/bps/product/inc/qgkyme1621995289832.jpg","['Product Selling Points:', '', '- Soft footbed provides comfortable fit and prevents shoe bites', '- Adjustable strap with buckle ensures proper fit', '- Round toe promotes healthy growth of feet', '- Low 1.18 inch heel allows for easy movement', '- Sequin bowknot with rhinestone detail adds a stylish touch', '- Versatile design for multiple outfit options', '- Perfect for dress, dance, performance, or cosplay occasions', '- Suitable for weddings as a Mary Jane style shoe', '- Your little girl will stand out with the shimmery, cute and princess-like appearance.']",
"Girls' Glitter Princess Party Shoes – Sparkling Mary Jane Dress Shoes with Bow and Rhinestone Details, Perfect for Weddings and Special Occasions",$24.99,White,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/wpejhw1661758157991.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/tlhdur1661422441077.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/okjpml1661422778393.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202105/bps/product/inc/qgkyme1621995289832.jpg","['Product Selling Points:', '', '- Soft footbed provides comfortable fit and prevents shoe bites', '- Adjustable strap with buckle ensures proper fit', '- Round toe promotes healthy growth of feet', '- Low 1.18 inch heel allows for easy movement', '- Sequin bowknot with rhinestone detail adds a stylish touch', '- Versatile design for multiple outfit options', '- Perfect for dress, dance, performance, or cosplay occasions', '- Suitable for weddings as a Mary Jane style shoe', '- Your little girl will stand out with the shimmery, cute and princess-like appearance.']",
"Girls' Glitter Princess Party Shoes – Sparkling Mary Jane Dress Shoes with Bow and Rhinestone Details, Perfect for Weddings and Special Occasions",$24.99,Black,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/wpejhw1661758157991.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/tlhdur1661422441077.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/okjpml1661422778393.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202105/bps/product/inc/qgkyme1621995289832.jpg","['Product Selling Points:', '', '- Soft footbed provides comfortable fit and prevents shoe bites', '- Adjustable strap with buckle ensures proper fit', '- Round toe promotes healthy growth of feet', '- Low 1.18 inch heel allows for easy movement', '- Sequin bowknot with rhinestone detail adds a stylish touch', '- Versatile design for multiple outfit options', '- Perfect for dress, dance, performance, or cosplay occasions', '- Suitable for weddings as a Mary Jane style shoe', '- Your little girl will stand out with the shimmery, cute and princess-like appearance.']",
Girls' Glittery Flower Crystal Shoes – Rhinestone Open-Toe Dress Shoes with Low Heels for Parties or Weddings,$42.99,,"https://litb-cgis.rightinthebox.com/images/170x170/202501/bps/product/inc/bpdjqt1737094138706.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202302/bps/product/inc/qjlfmh1676604679436.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202501/bps/product/inc/rnjsju1737094254272.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202501/bps/product/inc/arsgpj1737094160215.jpg","['1. Made of high-quality leather that guarantees durability and style.', '2. Glitter upper materials that promise to add sparks and shine to any occasion.', '3. Specifically designed for weddings - the perfect pair for any tradition or theme.']",
Girls' Glittery Flower Crystal Shoes – Rhinestone Open-Toe Dress Shoes with Low Heels for Parties or Weddings,$42.99,Pink,"https://litb-cgis.rightinthebox.com/images/170x170/202501/bps/product/inc/bpdjqt1737094138706.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202302/bps/product/inc/qjlfmh1676604679436.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202501/bps/product/inc/rnjsju1737094254272.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202501/bps/product/inc/arsgpj1737094160215.jpg","['1. Made of high-quality leather that guarantees durability and style.', '2. Glitter upper materials that promise to add sparks and shine to any occasion.', '3. Specifically designed for weddings - the perfect pair for any tradition or theme.']",
