Product Name,Price,Color,Image URLs,Highlights,Selling Points,Specifications
Women's Wedge Sandals with Rhinestone Embellishments – Comfortable Elastic Straps and Floral Patterned Details for Casual Summer Wear,$24.99,,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/izcrqc1661249307362.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202303/bps/product/inc/zgocxk1678707551347.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/ymuflu1685701448295.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/cfnrvh1685701449249.jpg","[""[Fabric & Construction]: These women's wedge sandals are crafted with a blend of PU leather and polyester, featuring a sparkling glitter embellishment on the upper that enhances their elegant and bohemian style. The durable rubber outsole ensures stability and non-slip grip."", '', '[Design Highlights]: The sandals boast a chic wedge heel and elastic closure straps for a secure and comfortable fit. The intricate rhinestone embellishments along with patterned fabric straps add colorful and artistic flair, making them perfect for those who love a touch of glamour in their summer footwear.', '', '[Versatile Occasions]: Ideal for parties, daily outings, and beach trips, these sandals are a versatile addition to your summer collection. Whether attending a daytime gathering or a relaxed beach day, they offer both style and comfort.', '', '[Seasonal Trend]: These sandals align with 2024 trends, focusing on Boho Beach style and casual elegance with wedge heels that are under 1 inch in height.', '', '[Available Sizes]: The sandals are available in a diverse range of sizes from 35 to 43, catering to a wide audience and providing options to suit different preferences and fits.']",,
Women's Wedge Sandals with Rhinestone Embellishments – Comfortable Elastic Straps and Floral Patterned Details for Casual Summer Wear,$24.99,Blue,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/izcrqc1661249307362.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202303/bps/product/inc/zgocxk1678707551347.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/ymuflu1685701448295.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/cfnrvh1685701449249.jpg","[""[Fabric & Construction]: These women's wedge sandals are crafted with a blend of PU leather and polyester, featuring a sparkling glitter embellishment on the upper that enhances their elegant and bohemian style. The durable rubber outsole ensures stability and non-slip grip."", '', '[Design Highlights]: The sandals boast a chic wedge heel and elastic closure straps for a secure and comfortable fit. The intricate rhinestone embellishments along with patterned fabric straps add colorful and artistic flair, making them perfect for those who love a touch of glamour in their summer footwear.', '', '[Versatile Occasions]: Ideal for parties, daily outings, and beach trips, these sandals are a versatile addition to your summer collection. Whether attending a daytime gathering or a relaxed beach day, they offer both style and comfort.', '', '[Seasonal Trend]: These sandals align with 2024 trends, focusing on Boho Beach style and casual elegance with wedge heels that are under 1 inch in height.', '', '[Available Sizes]: The sandals are available in a diverse range of sizes from 35 to 43, catering to a wide audience and providing options to suit different preferences and fits.']",,
Women's Wedge Sandals with Rhinestone Embellishments – Comfortable Elastic Straps and Floral Patterned Details for Casual Summer Wear,$24.99,Silver,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/izcrqc1661249307362.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202303/bps/product/inc/zgocxk1678707551347.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/ymuflu1685701448295.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/cfnrvh1685701449249.jpg","[""[Fabric & Construction]: These women's wedge sandals are crafted with a blend of PU leather and polyester, featuring a sparkling glitter embellishment on the upper that enhances their elegant and bohemian style. The durable rubber outsole ensures stability and non-slip grip."", '', '[Design Highlights]: The sandals boast a chic wedge heel and elastic closure straps for a secure and comfortable fit. The intricate rhinestone embellishments along with patterned fabric straps add colorful and artistic flair, making them perfect for those who love a touch of glamour in their summer footwear.', '', '[Versatile Occasions]: Ideal for parties, daily outings, and beach trips, these sandals are a versatile addition to your summer collection. Whether attending a daytime gathering or a relaxed beach day, they offer both style and comfort.', '', '[Seasonal Trend]: These sandals align with 2024 trends, focusing on Boho Beach style and casual elegance with wedge heels that are under 1 inch in height.', '', '[Available Sizes]: The sandals are available in a diverse range of sizes from 35 to 43, catering to a wide audience and providing options to suit different preferences and fits.']",,
Women's Wedge Sandals with Rhinestone Embellishments – Comfortable Elastic Straps and Floral Patterned Details for Casual Summer Wear,$24.99,Black,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/izcrqc1661249307362.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202303/bps/product/inc/zgocxk1678707551347.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/ymuflu1685701448295.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/cfnrvh1685701449249.jpg","[""[Fabric & Construction]: These women's wedge sandals are crafted with a blend of PU leather and polyester, featuring a sparkling glitter embellishment on the upper that enhances their elegant and bohemian style. The durable rubber outsole ensures stability and non-slip grip."", '', '[Design Highlights]: The sandals boast a chic wedge heel and elastic closure straps for a secure and comfortable fit. The intricate rhinestone embellishments along with patterned fabric straps add colorful and artistic flair, making them perfect for those who love a touch of glamour in their summer footwear.', '', '[Versatile Occasions]: Ideal for parties, daily outings, and beach trips, these sandals are a versatile addition to your summer collection. Whether attending a daytime gathering or a relaxed beach day, they offer both style and comfort.', '', '[Seasonal Trend]: These sandals align with 2024 trends, focusing on Boho Beach style and casual elegance with wedge heels that are under 1 inch in height.', '', '[Available Sizes]: The sandals are available in a diverse range of sizes from 35 to 43, catering to a wide audience and providing options to suit different preferences and fits.']",,
Women's Wedge Sandals with Rhinestone Embellishments – Comfortable Elastic Straps and Floral Patterned Details for Casual Summer Wear,$24.99,Red,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/izcrqc1661249307362.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202303/bps/product/inc/zgocxk1678707551347.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/ymuflu1685701448295.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/cfnrvh1685701449249.jpg","[""[Fabric & Construction]: These women's wedge sandals are crafted with a blend of PU leather and polyester, featuring a sparkling glitter embellishment on the upper that enhances their elegant and bohemian style. The durable rubber outsole ensures stability and non-slip grip."", '', '[Design Highlights]: The sandals boast a chic wedge heel and elastic closure straps for a secure and comfortable fit. The intricate rhinestone embellishments along with patterned fabric straps add colorful and artistic flair, making them perfect for those who love a touch of glamour in their summer footwear.', '', '[Versatile Occasions]: Ideal for parties, daily outings, and beach trips, these sandals are a versatile addition to your summer collection. Whether attending a daytime gathering or a relaxed beach day, they offer both style and comfort.', '', '[Seasonal Trend]: These sandals align with 2024 trends, focusing on Boho Beach style and casual elegance with wedge heels that are under 1 inch in height.', '', '[Available Sizes]: The sandals are available in a diverse range of sizes from 35 to 43, catering to a wide audience and providing options to suit different preferences and fits.']",,
Women's Wedge Sandals with Rhinestone Embellishments – Comfortable Elastic Straps and Floral Patterned Details for Casual Summer Wear,$24.99,Dark Brown,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/izcrqc1661249307362.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202303/bps/product/inc/zgocxk1678707551347.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/ymuflu1685701448295.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/cfnrvh1685701449249.jpg","[""[Fabric & Construction]: These women's wedge sandals are crafted with a blend of PU leather and polyester, featuring a sparkling glitter embellishment on the upper that enhances their elegant and bohemian style. The durable rubber outsole ensures stability and non-slip grip."", '', '[Design Highlights]: The sandals boast a chic wedge heel and elastic closure straps for a secure and comfortable fit. The intricate rhinestone embellishments along with patterned fabric straps add colorful and artistic flair, making them perfect for those who love a touch of glamour in their summer footwear.', '', '[Versatile Occasions]: Ideal for parties, daily outings, and beach trips, these sandals are a versatile addition to your summer collection. Whether attending a daytime gathering or a relaxed beach day, they offer both style and comfort.', '', '[Seasonal Trend]: These sandals align with 2024 trends, focusing on Boho Beach style and casual elegance with wedge heels that are under 1 inch in height.', '', '[Available Sizes]: The sandals are available in a diverse range of sizes from 35 to 43, catering to a wide audience and providing options to suit different preferences and fits.']",,
Women's Wedge Sandals with Rhinestone Embellishments – Comfortable Elastic Straps and Floral Patterned Details for Casual Summer Wear,$24.99,Brown,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/izcrqc1661249307362.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202303/bps/product/inc/zgocxk1678707551347.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/ymuflu1685701448295.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/cfnrvh1685701449249.jpg","[""[Fabric & Construction]: These women's wedge sandals are crafted with a blend of PU leather and polyester, featuring a sparkling glitter embellishment on the upper that enhances their elegant and bohemian style. The durable rubber outsole ensures stability and non-slip grip."", '', '[Design Highlights]: The sandals boast a chic wedge heel and elastic closure straps for a secure and comfortable fit. The intricate rhinestone embellishments along with patterned fabric straps add colorful and artistic flair, making them perfect for those who love a touch of glamour in their summer footwear.', '', '[Versatile Occasions]: Ideal for parties, daily outings, and beach trips, these sandals are a versatile addition to your summer collection. Whether attending a daytime gathering or a relaxed beach day, they offer both style and comfort.', '', '[Seasonal Trend]: These sandals align with 2024 trends, focusing on Boho Beach style and casual elegance with wedge heels that are under 1 inch in height.', '', '[Available Sizes]: The sandals are available in a diverse range of sizes from 35 to 43, catering to a wide audience and providing options to suit different preferences and fits.']",,
Women's Wedge Sandals with Rhinestone Embellishments – Comfortable Elastic Straps and Floral Patterned Details for Casual Summer Wear,$24.99,White,"https://litb-cgis.rightinthebox.com/images/170x170/202208/bps/product/inc/izcrqc1661249307362.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202303/bps/product/inc/zgocxk1678707551347.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/ymuflu1685701448295.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202306/bps/product/inc/cfnrvh1685701449249.jpg","[""[Fabric & Construction]: These women's wedge sandals are crafted with a blend of PU leather and polyester, featuring a sparkling glitter embellishment on the upper that enhances their elegant and bohemian style. The durable rubber outsole ensures stability and non-slip grip."", '', '[Design Highlights]: The sandals boast a chic wedge heel and elastic closure straps for a secure and comfortable fit. The intricate rhinestone embellishments along with patterned fabric straps add colorful and artistic flair, making them perfect for those who love a touch of glamour in their summer footwear.', '', '[Versatile Occasions]: Ideal for parties, daily outings, and beach trips, these sandals are a versatile addition to your summer collection. Whether attending a daytime gathering or a relaxed beach day, they offer both style and comfort.', '', '[Seasonal Trend]: These sandals align with 2024 trends, focusing on Boho Beach style and casual elegance with wedge heels that are under 1 inch in height.', '', '[Available Sizes]: The sandals are available in a diverse range of sizes from 35 to 43, catering to a wide audience and providing options to suit different preferences and fits.']",,
Women's Green Block Heel Double Straps Sandals - Comfortable Shoes for Casual Outings and Summer Wear,$15.49,,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/wxphcg1735295114623.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/dubkkm1735295116615.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/tgaexu1735295120886.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/scjvbp1735295122250.jpg","['- Luxurious faux leather upper materials', '- Stylish chunky heel for added stability', '- Classic round toe or trendy open toe options', '- Durable rubber outsole for long-lasting wear', '- Stay ahead of the trend with platform sandals in 2024']",,
Women's Green Block Heel Double Straps Sandals - Comfortable Shoes for Casual Outings and Summer Wear,$15.49,Gray,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/wxphcg1735295114623.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/dubkkm1735295116615.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/tgaexu1735295120886.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/scjvbp1735295122250.jpg","['- Luxurious faux leather upper materials', '- Stylish chunky heel for added stability', '- Classic round toe or trendy open toe options', '- Durable rubber outsole for long-lasting wear', '- Stay ahead of the trend with platform sandals in 2024']",,
