Product Name,Price,Color,Image URLs,Highlights,Specifications,Selling Points
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,Dark Green,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,Black,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,Dusty Blue,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,Dark Navy,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,Black Gold,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,Fuchsia,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,Dusty Rose,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,Gold,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
Green Embroidered Floral A-Line Evening Gown Elegant Dress Formal Wedding Floor Length Half Sleeve Shirt Collar Satin with Slit Appliques,$163.99,Mint Green,"https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/lulojl1733378446358.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202505/bps/product/inc/qtrcrg1747720433818.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202502/bps/product/inc/tnbghz1739328955245.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202412/bps/product/inc/nohklb1733378447217.jpg","['[Fabric]: Crafted from luxurious satin, this gown offers a smooth, silky texture that drapes beautifully. The fabric’s subtle sheen complements the vivid green hue, enhanced by exquisite embroidery and appliques, creating an effortlessly elegant and sophisticated look.', '[Silhouette]: The dress features an A-line silhouette, known for its flattering fit that cinches at the waist and flows gracefully to the floor-length hem. The built-in bra provides added support and comfort, allowing you to enjoy any occasion with confidence.', '[Design Highlights]: This elegant evening gown boasts a classy shirt collar and an alluring slit that adds a contemporary twist. The intricately embroidered floral patterns, along with the tailored bodice and three-quarter length sleeves, lend a sophisticated yet modern vibe to the ensemble.', '[Occasions]: Perfect for formal events such as weddings or evening gatherings, this gown combines both timeless and trendy elements, making it a standout choice for any significant occasion where style and elegance are paramount.', '[Size Range]: Available in a wide range of sizes, this gown is offered from US 0 to US 26W, catering to various body types. For a perfect fit, the option for custom measurements ensures that every detail is tailored to your unique shape and preferences.']",,
