Product Name,Price,Color,Image URLs,Highlights,Selling Points
Women's White Lace Bridal Flat Sandals with Floral Embellishments - Elegant Beach Wedding Shoes for Brides,$18.99,,"https://litb-cgis.rightinthebox.com/images/170x170/202110/bps/product/inc/zjdayo1634097489319.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202110/bps/product/inc/ecogsm1634097491604.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202110/bps/product/inc/kukzbe1634097493548.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202110/bps/product/inc/hlqser1634097495723.jpg","['[Fabric and Material]: Crafted with beautiful white lace and PU materials, these bridal flats offer both durability and an exquisite feminine touch. The sole is made from a combination of PU and rubber for a supportive yet flexible wear.', '[Shape]: These sandals feature an elegant, flat heel design that ensures comfort throughout the day, perfect for long wear at events or casual outings.', '[Design Highlights]: The sandals are adorned with delicate floral embellishments that add a classic and cute touch. Open toe and loafer-style closure provide an effortless, chic feel.', '[Occasions]: Ideal for beach weddings, daily wear, or any special occasion during spring and summer. These sandals add charm and sophistication to wedding celebrations or casual summer gatherings.', '[Size Range]: Available in a range of sizes from US6 to US10.5, ensuring a comfortable fit for various foot sizes. Perfect for brides, bridesmaids, or anyone looking for elegant summer footwear.']",
"Women's Black and Red Patent Leather Slingback Heels, Pointed Toe Stiletto Pumps for Nightlife, Clubs and Cocktail Parties",$46.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/kvzfva1750844250845.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/yzouwx1750844252574.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ebyekg1750844253776.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/gqixgw1750844254941.jpg","['- Luxurious patent leather upper materials', '- Sleek synthetic leather lining', '- Elegant pointed toe shape', '- Durable rubber outsole materials']",
"Women's Black and Red Patent Leather Slingback Heels, Pointed Toe Stiletto Pumps for Nightlife, Clubs and Cocktail Parties",$46.99,Black,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/kvzfva1750844250845.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/yzouwx1750844252574.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ebyekg1750844253776.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/gqixgw1750844254941.jpg","['- Luxurious patent leather upper materials', '- Sleek synthetic leather lining', '- Elegant pointed toe shape', '- Durable rubber outsole materials']",
"Women's Black and Red Patent Leather Slingback Heels, Pointed Toe Stiletto Pumps for Nightlife, Clubs and Cocktail Parties",$46.99,Nude,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/kvzfva1750844250845.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/yzouwx1750844252574.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ebyekg1750844253776.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/gqixgw1750844254941.jpg","['- Luxurious patent leather upper materials', '- Sleek synthetic leather lining', '- Elegant pointed toe shape', '- Durable rubber outsole materials']",
"Women's Black and Red Patent Leather Slingback Heels, Pointed Toe Stiletto Pumps for Nightlife, Clubs and Cocktail Parties",$46.99,Black / Apricot,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/kvzfva1750844250845.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/yzouwx1750844252574.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ebyekg1750844253776.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/gqixgw1750844254941.jpg","['- Luxurious patent leather upper materials', '- Sleek synthetic leather lining', '- Elegant pointed toe shape', '- Durable rubber outsole materials']",
"Women's Black and Red Patent Leather Slingback Heels, Pointed Toe Stiletto Pumps for Nightlife, Clubs and Cocktail Parties",$46.99,Black+Blue,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/kvzfva1750844250845.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/yzouwx1750844252574.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ebyekg1750844253776.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/gqixgw1750844254941.jpg","['- Luxurious patent leather upper materials', '- Sleek synthetic leather lining', '- Elegant pointed toe shape', '- Durable rubber outsole materials']",
"Women's Black and Red Patent Leather Slingback Heels, Pointed Toe Stiletto Pumps for Nightlife, Clubs and Cocktail Parties",$46.99,Black Green,"https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/kvzfva1750844250845.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/yzouwx1750844252574.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/ebyekg1750844253776.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202506/bps/product/inc/gqixgw1750844254941.jpg","['- Luxurious patent leather upper materials', '- Sleek synthetic leather lining', '- Elegant pointed toe shape', '- Durable rubber outsole materials']",
"Women's Glitter High Heel Sandals with Ankle Strap and Open Toe - Stylish Party Shoes for Nightlife, Clubbing, and Evening Events",$29.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/psoanz1752575209574.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/fbpcpg1752575211054.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/ovapar1752575212430.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/yuewcl1752575213626.jpg",,"['1.', 'Toe Shape: Open Toe', '2.', 'Upper Materials: Sparkling Glitter', '3.', 'Lining Materials: Synthetic Leather', '4.', 'Outsole Materials: Rubber']"
"Women's Glitter High Heel Sandals with Ankle Strap and Open Toe - Stylish Party Shoes for Nightlife, Clubbing, and Evening Events",$29.99,Black,"https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/psoanz1752575209574.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/fbpcpg1752575211054.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/ovapar1752575212430.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/yuewcl1752575213626.jpg",,"['1.', 'Toe Shape: Open Toe', '2.', 'Upper Materials: Sparkling Glitter', '3.', 'Lining Materials: Synthetic Leather', '4.', 'Outsole Materials: Rubber']"
"Women's Glitter High Heel Sandals with Ankle Strap and Open Toe - Stylish Party Shoes for Nightlife, Clubbing, and Evening Events",$29.99,Silver,"https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/psoanz1752575209574.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/fbpcpg1752575211054.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/ovapar1752575212430.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/yuewcl1752575213626.jpg",,"['1.', 'Toe Shape: Open Toe', '2.', 'Upper Materials: Sparkling Glitter', '3.', 'Lining Materials: Synthetic Leather', '4.', 'Outsole Materials: Rubber']"
