Product Name,Price,Color,Image URLs,Highlights,Selling Points,Specifications
Women's Leggings Capri Pants High Elasticity Vacation Fashion Hawaiian Calf-Length Mid Waist Solid Color Printing Breathable Soft Vacation Casual Daily Black White Blue Summer Spring Regular Fit,$18.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/gatukn1741951548158.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/hoydqv1741951548953.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/inunfv1741951549753.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/bnwtvd1741951550490.jpg","['- Experience ultimate comfort with the micro-elastic fabric of these bottoms.', '- Achieve a flattering silhouette with the mid waist design.', '- Move freely and confidently with the elasticity of the material.', '- Feel secure and stylish with the mid waistline fit.']",,
Women's Leggings Capri Pants High Elasticity Vacation Fashion Hawaiian Calf-Length Mid Waist Solid Color Printing Breathable Soft Vacation Casual Daily Black White Blue Summer Spring Regular Fit,$18.99,Blue,"https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/gatukn1741951548158.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/hoydqv1741951548953.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/inunfv1741951549753.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/bnwtvd1741951550490.jpg","['- Experience ultimate comfort with the micro-elastic fabric of these bottoms.', '- Achieve a flattering silhouette with the mid waist design.', '- Move freely and confidently with the elasticity of the material.', '- Feel secure and stylish with the mid waistline fit.']",,
Women's Leggings Capri Pants High Elasticity Vacation Fashion Hawaiian Calf-Length Mid Waist Solid Color Printing Breathable Soft Vacation Casual Daily Black White Blue Summer Spring Regular Fit,$18.99,Black,"https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/gatukn1741951548158.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/hoydqv1741951548953.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/inunfv1741951549753.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202503/bps/product/inc/bnwtvd1741951550490.jpg","['- Experience ultimate comfort with the micro-elastic fabric of these bottoms.', '- Achieve a flattering silhouette with the mid waist design.', '- Move freely and confidently with the elasticity of the material.', '- Feel secure and stylish with the mid waistline fit.']",,
Women's Leggings Vacation Vintage Ethnic Style Ankle-Length High Waist Graphic Geometric 3D Print Quick Dry Breathability Soft Stretchy Outdoor Home Causal Black White Fall Regular Fit,$19.99,,"https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/kzixpr1751520774502.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/dmntvr1751520775602.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/stgftr1751520776885.jpg","['- High waist design provides a flattering silhouette', '- Superior elasticity allows for a stretchy and comfortable fit', '- Features a high waistline for added coverage and support']",,
Women's Leggings Vacation Vintage Ethnic Style Ankle-Length High Waist Graphic Geometric 3D Print Quick Dry Breathability Soft Stretchy Outdoor Home Causal Black White Fall Regular Fit,$19.99,White,"https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/kzixpr1751520774502.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/dmntvr1751520775602.jpg,https://litb-cgis.rightinthebox.com/images/170x226/202507/bps/product/inc/stgftr1751520776885.jpg","['- High waist design provides a flattering silhouette', '- Superior elasticity allows for a stretchy and comfortable fit', '- Features a high waistline for added coverage and support']",,
Women's Slacks Active Vacation Vintage Full Length High Waist Floral Graphic Elastic Waistband Comfy Breathability Soft Micro-elastic Outdoor Street Daily Red Navy Blue Purple Green Summer Spring,$20.99,,"https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ynecxr1751625748678.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/lhudzn1751625749736.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ymdmcu1751625750609.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/wadyax1751625751383.jpg","['- High Waist design for a flattering fit', '- Loose fit for comfort and ease of movement', '- Micro-elastic fabric for added flexibility and comfort']",,
Women's Slacks Active Vacation Vintage Full Length High Waist Floral Graphic Elastic Waistband Comfy Breathability Soft Micro-elastic Outdoor Street Daily Red Navy Blue Purple Green Summer Spring,$20.99,Red,"https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ynecxr1751625748678.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/lhudzn1751625749736.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ymdmcu1751625750609.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/wadyax1751625751383.jpg","['- High Waist design for a flattering fit', '- Loose fit for comfort and ease of movement', '- Micro-elastic fabric for added flexibility and comfort']",,
Women's Slacks Active Vacation Vintage Full Length High Waist Floral Graphic Elastic Waistband Comfy Breathability Soft Micro-elastic Outdoor Street Daily Red Navy Blue Purple Green Summer Spring,$20.99,Purple,"https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ynecxr1751625748678.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/lhudzn1751625749736.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ymdmcu1751625750609.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/wadyax1751625751383.jpg","['- High Waist design for a flattering fit', '- Loose fit for comfort and ease of movement', '- Micro-elastic fabric for added flexibility and comfort']",,
Women's Slacks Active Vacation Vintage Full Length High Waist Floral Graphic Elastic Waistband Comfy Breathability Soft Micro-elastic Outdoor Street Daily Red Navy Blue Purple Green Summer Spring,$20.99,Green,"https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ynecxr1751625748678.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/lhudzn1751625749736.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ymdmcu1751625750609.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/wadyax1751625751383.jpg","['- High Waist design for a flattering fit', '- Loose fit for comfort and ease of movement', '- Micro-elastic fabric for added flexibility and comfort']",,
Women's Slacks Active Vacation Vintage Full Length High Waist Floral Graphic Elastic Waistband Comfy Breathability Soft Micro-elastic Outdoor Street Daily Red Navy Blue Purple Green Summer Spring,$20.99,Gray,"https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ynecxr1751625748678.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/lhudzn1751625749736.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/ymdmcu1751625750609.jpg,https://litb-cgis.rightinthebox.com/images/170x170/202507/bps/product/inc/wadyax1751625751383.jpg","['- High Waist design for a flattering fit', '- Loose fit for comfort and ease of movement', '- Micro-elastic fabric for added flexibility and comfort']",,
